מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,סביון 1,117,2025,2881000,7218-104-25,דירה בבית,4,24624
2,סביון 1,117,2025,3166000,7218-104-27,דירה בבית,5,27060
4,סביון 1,78,2025,2443000,7218-104-31,דירה בבית,3,31321
6,סביון 1,66,2025,2301000,7218-104-18,דירה בבית,3,34864
8,הורד 12,85.3,2025,2050000,6485-179-8,דירה בבית,4,24033
9,העצמאות 93,87,2025,2380000,7218-107-5,דירה בבית,4,27356
10,בן גוריון 7,90.75,2025,3485000,7239-31-13,דירה בבית,4,38402
11,יקותיאל אדם 37,75,2025,2460000,7218-109-10,דירה בבית,4,32800
13,יקותיאל אדם 37,75,2025,2475000,7218-109-13,דירה בבית,4,33000
14,סביון 13,66,2025,2468000,7218-105-9,דירה בבית,3,37394
15,סביון 1,66,2025,2543000,7218-104-15,דירה בבית,3,38530
16,יקותיאל אדם 37,75,2025,2430000,7218-109-2,דירה בבית,4,32400
17,סביון 9,66,2025,2473000,7218-105-5,דירה בבית,3,37470
19,סביון 13,66,2025,2453000,7218-105-3,דירה בבית,3,37167
21,סביון 13,66,2025,2528000,7218-105-22,דירה בבית,3,38303
22,סביון 13,66,2025,2543000,7218-105-16,דירה בבית,3,38530
23,סביון 13,66,2025,2513000,7218-105-15,דירה בבית,3,38076
24,סביון 9,66,2025,2458000,7218-105-11,דירה בבית,3,37242
26,סביון 1,66,2025,2528000,7218-104-14,דירה בבית,3,38303
27,יקותיאל אדם 37,134,2025,3356000,7218-109-15,דירה בבית,5,25045
28,יקותיאל אדם 37,134,2025,3341000,7218-109-14,דירה בבית,5,24933
29,יקותיאל אדם 37,120,2025,2974000,7218-109-5,דירה בבית,5,24783
30,סביון 1,66,2025,2498000,7218-104-12,דירה בבית,3,37848
31,יקותיאל אדם 37,75,2025,2445000,7218-109-6,דירה בבית,4,32600
33,סביון 1,66,2025,2558000,7218-104-13,דירה בבית,3,38758
34,יקותיאל אדם 37,120,2025,2959000,7218-109-1,דירה בבית,5,24658
35,יקותיאל אדם 37,75,2025,2490000,7218-109-9,דירה בבית,4,33200
36,סביון 13,66,2025,2483000,7218-105-23,דירה בבית,3,37621
38,סביון 1,66,2025,2468000,7218-104-19,דירה בבית,3,37394
39,סביון 1,66,2025,2453000,7218-104-23,דירה בבית,3,37167
41,סביון 9,66,2025,2498000,7218-105-21,דירה בבית,3,37848
42,סביון 1,66,2025,2513000,7218-104-6,דירה בבית,3,38076
44,סביון 1,66,2025,2438000,7218-104-17,דירה בבית,3,36939
45,יקותיאל אדם 37,75,2025,2505000,7218-109-8,דירה בבית,4,33400
47,הורד 4,61,2025,1750000,6485-176-15,דירה בבית,3,28689
48,הורד 15,62.9,2025,1930000,6485-174-8,דירה בבית,3,30684
49,הכלנית 31,87.5,2025,500000,7218-12-5,דירה בבית,4,5714
50,יקותיאל אדם 28,66,2025,1710000,7218-95-15,דירה בבית,3,25909
51,השקמה 10,62.9,2025,1950000,6485-167-29,דירה בבית,3,31002
52,הכלנית 13,103,2025,3009000,7218-17-18,דירה בבית,4,29214
53,הסייפן 3,92,2024,2050000,7218-28-12,דירה בבית,4,22283
54,הכלנית 9,131,2024,3185000,7218-17-5,דירה בבית,5.5,24313
55,הכלנית 11,121,2024,2999000,7218-17-7,דירה בבית,5,24785
56,הרותם 13,75,2024,1600000,7218-91-6,דירה בבית,3.5,21333
57,השקמה 8,62.9,2024,1920000,6485-167-4,דירה בבית,3,30525
58,הכלנית 13,107,2024,2920000,7218-17-13,דירה בבית,4,27290
59,הרותם 12,66,2024,1910000,7218-94-1,דירה בבית,3,28939
60,הכלנית 13,121,2024,3155000,7218-17-15,דירה בבית,5,26074
61,הכלנית 9,120,2024,3016000,7218-17-4,דירה בבית,5,25133
62,הכלנית 9,121,2024,3018000,7218-17-2,דירה בבית,5,24942
63,הכלנית 11,107,2024,2903000,7218-17-8,דירה בבית,4,27131
64,הכלנית 13,120,2024,3156000,7218-17-16,דירה בבית,5,26300
65,הכלנית 9,107,2024,2850000,7218-17-3,דירה בבית,4,26636
67,החצב 18,77,2024,1845000,7218-75-16,דירה בבית,4,23961
68,השקמה 4,80,2024,2030000,6485-168-11,דירה בבית,4,25375
69,הכלנית 13,120,2024,3079000,7218-17-14,דירה בבית,5,25658
70,הכלנית 11,120,2024,3001000,7218-17-9,דירה בבית,5,25008
71,הכלנית 9,102,2024,2983000,7218-17-6,דירה בבית,4,29245
72,יקותיאל אדם 4,85.3,2024,1477000,6485-173-2,דירה בבית,4,17315
73,יוסף חיים 4,94,2024,2100000,6504-164-1,דירה בבית,4,22340
74,הכלנית 13,121,2024,3062000,7218-17-17,דירה בבית,5,25306
75,הכלנית 11,130,2024,3267000,7218-17-10,דירה בבית,5,25131
76,יקותיאל אדם 7,43,2024,575000,6485-165-19,דירה בבית,3,13372
77,יקותיאל אדם 52,69,2024,1900000,7218-74-15,דירה בבית,3,27536
78,אבנר 8,68,2024,1860000,6485-170-13,דירה בבית,3,27353
79,יקותיאל אדם 22,87,2024,1950000,7218-88-4,דירה בבית,4,22414
80,היסמין 3,57.7,2024,1751000,7218-70-7,דירה בבית,3,30347
81,הכלנית 23,110,2024,2320000,7218-14-3,דירה בבית,4,21091
82,יקותיאל אדם 41,87,2024,1900000,7218-108-8,דירה בבית,4,21839
83,הכלנית 9,121,2024,3062000,7218-17-1,דירה בבית,5,25306
84,יקותיאל אדם 14,85.3,2024,2220000,6485-178-3,דירה בבית,4,26026
85,בן גוריון 21,142.22,2024,3500000,7239-32-36,דירה בבית,6,24610
86,החצב 18,77,2024,50000,7218-75-18,דירה בבית,4,649
87,איריס 1,71.9,2024,2444000,7218-36-1,דירה בבית,3,33992
88,איריס 3,120,2024,80000,7218-37-6,דירה בבית,5,667
89,איריס 3,72,2024,2183000,7218-37-11,דירה בבית,3,30319
91,איריס 1,71.9,2024,160000,7218-36-8,דירה בבית,3,2225
92,איריס 1,120,2024,71000,7218-36-3,דירה בבית,5,592
93,איריס 1,125,2024,154000,7218-36-6,דירה בבית,5,1232
94,השקמה 10,62.9,2023,1930000,6485-167-23,דירה בבית,3,30684
108,הכלנית 17,59.6,2023,187000,7218-16-2,דירה בבית,3,3138
109,הרותם 2,75,2023,1920000,7218-92-7,דירה בבית,3,25600
110,הוורד 16,93.3,2023,2145000,6485-177-5,דירה בבית,4,22990
111,החצב 20,77,2023,1777700,7218-75-46,דירה בבית,4,23087
112,השקמה 14,62,2023,1725000,6485-166-33,דירה בבית,3,27823
113,החצב 20,61,2023,1500000,7218-75-29,דירה בבית,3,24590
114,יקותיאל אדם 30,66,2023,1750000,7218-95-2,דירה בבית,3,26515
115,הכלנית 11,121,2023,3078000,7218-17-11,דירה בבית,5,25438
116,בן גוריון 7,85.23,2023,2400000,7239-31-10,דירה בבית,4,28159
117,הרותם 9,87,2023,1690000,7218-89-16,דירה בבית,4,19425
118,השקמה 10,62.9,2023,1750000,6485-167-30,דירה בבית,3,27822
119,הכלנית 17,121,2023,285000,7218-16-8,דירה בבית,4,2355
120,בן גוריון 7,90.7,2023,3150000,7239-31-12,דירה בבית,4,34730
121,הכלנית 3,90,2023,106000,7218-33-3,דירה בבית,4,1178
122,העצמאות 50,90,2023,1850000,7218-10-12,דירה בבית,4,20556
123,השקמה 8,62.9,2023,540000,6485-167-13,דירה בבית,3,8585
124,החצב 18,77,2023,650000,7218-75-8,דירה בבית,4,8442
125,הערמון 32,110.1,2022,2220000,6485-205-33,דירה בבית,5,20163
126,השקמה 8,62.9,2022,1570000,6485-167-15,דירה בבית,3,24960
127,הורד 11,85.3,2022,550000,6485-172-2,דירה בבית,3,6448
128,יוסף חיים 4,63,2022,1705000,6504-164-12,דירה בבית,3,27063
129,יקותיאל אדם 22,87,2022,1800000,7218-88-2,דירה בבית,4,20690
130,הרותם 10,66,2022,1900000,7218-94-12,דירה בבית,3,28788
131,אבנר 8,68,2022,1770000,6485-170-5,דירה בבית,3,26029
132,העצמאות 95,87,2022,2020000,7218-107-16,דירה בבית,4,23218
133,בן גוריון 9,104.75,2022,2780000,7239-31-51,דירה בבית,5,26539
134,השלהבת 24,63.8,2022,1800000,6504-161-11,דירה בבית,3,28213
135,היסמין 3,57.7,2022,316000,7218-70-17,דירה בבית,3,5477
136,הכלנית 41,57.3,2022,1650000,7218-51-9,דירה בבית,3,28796
137,החצב 18,61,2022,1675000,7218-75-3,דירה בבית,3,27459
139,העצמאות 79,57.7,2022,450000,7218-63-15,דירה בבית,3,7799
140,יקותיאל אדם 14,61,2022,1835000,6485-178-11,דירה בבית,3,30082
141,השקמה 8,62.9,2022,1750000,6485-167-1,דירה בבית,3,27822
142,החצב 14,65.6,2022,234000,7218-68-8,דירה בבית,3,3567
143,השקמה 4,80,2022,1600000,6485-168-10,דירה בבית,4,20000
144,היסמין 16,83,2022,1720000,7218-64-8,דירה בבית,4,20723
145,הכלנית 23,81,2022,2100000,7218-14-6,דירה בבית,5,25926
146,הורד 2,93,2022,1885000,6485-176-24,דירה בבית,4,20269
147,הכלנית 17,59.6,2022,491000,7218-16-1,דירה בבית,3,8238
148,השקמה 1,68,2022,439000,6485-169-3,דירה בבית,3,6456
149,החצב 24,57.7,2022,534000,7218-59-20,דירה בבית,3,9255
150,הכלנית 41,68,2022,1700000,7218-51-10,דירה בבית,4,25000
151,החצב 13,66,2022,1455000,7218-93-15,דירה בבית,3,22045
152,השקמה 3,68,2022,427000,6485-169-12,דירה בבית,3,6279
153,הכלנית 33,81.6,2022,125000,7218-12-14,דירה בבית,4,1532
154,החצב 20,77,2022,1320000,7218-75-30,דירה בבית,4,17143
155,הכלנית 33,73,2022,1835000,7218-12-10,דירה בבית,3,25137
156,יקותיאל אדם 4,85.3,2022,1950000,6485-173-24,דירה בבית,4,22860
157,הרותם 13,75,2022,1620000,7218-91-1,דירה בבית,3,21600
158,בן גוריון 17,124.9,2021,3050000,7239-32-1,דירה בבית,4,24420
175,יקותיאל אדם 36,57.7,2021,1500000,7218-60-20,דירה בבית,3,25997
176,בן גוריון 17,80.12,2021,2110000,7239-32-40,דירה בבית,3,26335
177,היסמין 16,51.2,2021,1200000,7218-64-6,דירה בבית,3,23438
179,השלהבת 20,63.8,2021,1650000,6504-159-3,דירה בבית,4,25862
180,יקותיאל אדם 30,66,2021,1530000,7218-95-21,דירה בבית,3,23182
181,יקותיאל אדם 9,43,2021,245000,6485-165-29,דירה בבית,2,5698
182,יקותיאל אדם 2,42.8,2021,1130000,6485-171-31,דירה בבית,2,26402
183,הכלנית 27,82.3,2021,1525000,7218-13-8,דירה בבית,4,18530
184,יקותיאל אדם 52,79,2021,1570000,7218-74-16,דירה בבית,4,19873
185,יקותיאל אדם 30,66,2021,1430000,7218-95-7,דירה בבית,3,21667
186,הורד 6,61,2021,1430000,6485-176-8,דירה בבית,4,23443
187,הכלנית 2,92.4,2021,854000,7218-29-8,דירה בבית,4,9242
188,בן גוריון 9,85.23,2021,1950000,7239-31-55,דירה בבית,4,22879
189,העצמאות 71,53.4,2021,1420000,7218-66-7,דירה בבית,3,26592
190,הרדוף 1,66,2021,1210000,6485-164-16,דירה בבית,3,18333
191,אבנר 8,68,2021,1460000,6485-170-18,דירה בבית,3,21471
192,העצמאות 85,79,2021,1625000,7218-74-42,דירה בבית,4,20570
193,היסמין 10,57,2021,1370000,7218-69-6,דירה בבית,3,24035
194,הרדוף 7,66,2021,350000,6485-162-22,דירה בבית,3,5303
195,הכלנית 27,82.3,2021,1610000,7218-13-4,דירה בבית,5,19563
196,הכלנית 21,59.6,2021,1460000,7218-15-9,דירה בבית,3,24497
197,יקותיאל אדם 7,43,2021,1150000,6485-165-24,דירה בבית,2,26744
