city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
אור יהודה,שפרינצק,2,אור יהודה,שפרינצק,איילת השחר 23,39.5,2025,1400000,7214-10-22,דירה בבית,2,35443
אור יהודה,שפרינצק,3,אור יהודה,שפרינצק,איילת השחר 10,49.2,2025,1600000,7215-19-21,דירה בבית,3,32520
אור יהודה,שפרינצק,5,אור יהודה,שפרינצק,אסירי ציון 24,69,2025,1800000,7215-83-21,דירה בבית,3,26087
אור יהודה,שפרינצק,6,אור יהודה,שפרינצק,יאיר שטרן 6,63,2025,1825000,7215-66-20,דירה בבית,3,28968
אור יהודה,שפרינצק,7,אור יהודה,שפרינצק,איילת השחר 25,96,2025,1820000,7214-11-23,דירה בבית,4,18958
אור יהודה,שפרינצק,8,אור יהודה,שפרינצק,יאיר שטרן 10,65.7,2025,1900000,7215-129-28,דירה בבית,3,28919
אור יהודה,שפרינצק,9,אור יהודה,שפרינצק,אסירי ציון 15,59.6,2025,1717100,7215-14-18,דירה בבית,3,28810
אור יהודה,שפרינצק,10,אור יהודה,שפרינצק,יהדות קנדה 37,63.1,2024,1815000,7215-85-37,דירה בבית,3,28764
אור יהודה,שפרינצק,11,אור יהודה,שפרינצק,הרב עובדיה יוסף 27,47.8,2024,1720000,7215-75-5,דירה בבית,3,35983
אור יהודה,שפרינצק,12,אור יהודה,שפרינצק,יהדות קנדה 41,60.7,2024,1630000,7215-85-62,דירה בבית,3,26853
אור יהודה,שפרינצק,13,אור יהודה,שפרינצק,איילת השחר 19,39.5,2024,1310000,7214-8-22,דירה בבית,2,33165
אור יהודה,שפרינצק,14,אור יהודה,שפרינצק,שפרינצק 6,89,2024,1800000,7215-21-5,דירה בבית,4,20225
אור יהודה,שפרינצק,15,אור יהודה,שפרינצק,יהדות קנדה 37,63.1,2024,1200000,7215-85-33,דירה בבית,3,19017
אור יהודה,שפרינצק,16,אור יהודה,שפרינצק,איילת השחר 10,49.2,2024,1500000,7215-19-19,דירה בבית,3,30488
אור יהודה,שפרינצק,17,אור יהודה,שפרינצק,שפרינצק 4,76,2024,600000,7215-21-12,דירה בבית,4,7895
אור יהודה,שפרינצק,18,אור יהודה,שפרינצק,אסירי ציון 2,26.5,2024,750000,7215-15-24,דירה בבית,2,28302
אור יהודה,שפרינצק,19,אור יהודה,שפרינצק,אסירי ציון 2,46.4,2024,1600000,7215-15-25,דירה בבית,3,34483
אור יהודה,שפרינצק,20,אור יהודה,שפרינצק,יאיר שטרן 6,60.7,2024,1360000,7215-66-10,דירה בבית,3,22405
אור יהודה,שפרינצק,21,אור יהודה,שפרינצק,אסירי ציון 24,69,2024,1595000,7215-83-29,דירה בבית,4,23116
אור יהודה,שפרינצק,22,אור יהודה,שפרינצק,אליהו סעדון 100,83,2024,2140000,7215-6-9,דירה בבית,4,25783
אור יהודה,שפרינצק,23,אור יהודה,שפרינצק,איילת השחר 8,49.2,2024,1750000,7215-20-6,דירה בבית,3.5,35569
אור יהודה,שפרינצק,24,אור יהודה,שפרינצק,יאיר שטרן 6,60.7,2024,1770000,7215-66-27,דירה בבית,3,29160
אור יהודה,שפרינצק,25,אור יהודה,שפרינצק,אסירי ציון 2,46.4,2024,1700000,7215-15-9,דירה בבית,3,36638
אור יהודה,שפרינצק,27,אור יהודה,שפרינצק,יהדות קנדה 41,63,2024,1535000,7215-85-64,דירה בבית,3,24365
אור יהודה,שפרינצק,28,אור יהודה,שפרינצק,אסירי ציון 17,82.4,2024,2050000,7215-99-52,דירה בבית,4,24879
אור יהודה,שפרינצק,29,אור יהודה,שפרינצק,איילת השחר 20,54.5,2024,1560000,7215-5-23,דירה בבית,3,28624
אור יהודה,שפרינצק,32,אור יהודה,שפרינצק,אסירי ציון 15,59.6,2024,141000,7215-14-21,דירה בבית,3,2366
אור יהודה,שפרינצק,33,אור יהודה,שפרינצק,יהדות קנדה 41,60.7,2024,1710000,7215-85-58,דירה בבית,3,28171
אור יהודה,שפרינצק,34,אור יהודה,שפרינצק,יאיר שטרן 6,63,2024,1767600,7215-66-24,דירה בבית,3,28057
אור יהודה,שפרינצק,35,אור יהודה,שפרינצק,איילת השחר 3,39.8,2024,425000,7214-3-34,דירה בבית,2,10678
אור יהודה,שפרינצק,36,אור יהודה,שפרינצק,יאיר שטרן 6,60.7,2024,1745000,7215-66-7,דירה בבית,3,28748
אור יהודה,שפרינצק,37,אור יהודה,שפרינצק,אסירי ציון 18,65.7,2023,1800000,7215-127-32,דירה בבית,3,27397
אור יהודה,שפרינצק,38,אור יהודה,שפרינצק,אליהו סעדון 108,75.7,2023,1780000,7215-11-4,דירה בבית,3,23514
אור יהודה,שפרינצק,39,אור יהודה,שפרינצק,איילת השחר 10,49.2,2023,1460000,7215-19-23,דירה בבית,3,29675
אור יהודה,שפרינצק,40,אור יהודה,שפרינצק,איילת השחר 1,39.8,2023,1350000,7214-2-30,דירה בבית,2,33920
אור יהודה,שפרינצק,41,אור יהודה,שפרינצק,שרת 7,102,2023,879000,7215-22-26,דירה בבית,4,8618
אור יהודה,שפרינצק,43,אור יהודה,שפרינצק,יאיר שטרן 6,60.7,2023,533000,7215-66-22,דירה בבית,3,8781
אור יהודה,שפרינצק,44,אור יהודה,שפרינצק,אסירי ציון 18,80.9,2023,1750000,7215-127-14,דירה בבית,4,21632
אור יהודה,שפרינצק,45,אור יהודה,שפרינצק,אסירי ציון 11,59.6,2023,1600000,7215-12-5,דירה בבית,3,26846
אור יהודה,שפרינצק,46,אור יהודה,שפרינצק,יהדות קנדה 41,60.7,2023,591000,7215-85-51,דירה בבית,3,9736
אור יהודה,שפרינצק,47,אור יהודה,שפרינצק,אליהו סעדון 108,75.7,2023,1870000,7215-11-14,דירה בבית,4,24703
אור יהודה,שפרינצק,48,אור יהודה,שפרינצק,יהדות קנדה 37,63,2023,800000,7215-85-28,דירה בבית,3,12698
אור יהודה,שפרינצק,49,אור יהודה,שפרינצק,יאיר שטרן 10,65.7,2023,1900000,7215-129-5,דירה בבית,3,28919
אור יהודה,שפרינצק,50,אור יהודה,שפרינצק,איילת השחר 3,39.8,2023,1470000,7214-3-26,דירה בבית,3,36935
אור יהודה,שפרינצק,51,אור יהודה,שפרינצק,יהדות קנדה 37,60.7,2023,1750000,7215-85-42,דירה בבית,3,28830
