מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
59,הברוש 491,81.5,2023,1270000,10629-36-10,דירה בבית,4,15583
60,המלך דוד 506,85.35,2023,1310000,10628-28-20,דירה בבית,4,15349
62,המלך דוד 496,68,2023,1100000,10628-24-46,דירה בבית,4,16176
63,סמדר 2,133,2023,3100000,12848-4-13,דירה בבית,5,23308
64,המלך דוד 7,80,2023,1330000,10628-29-12,דירה בבית,3,16625
65,המלך דוד 527,47,2023,1120000,10628-42-17,דירה בבית,2,23830
66,התמר 7,121,2023,3000000,12797-22-1,קוטג' דו משפחתי,5,24793
67,המלך דוד 502,80,2023,1300000,10628-27-7,דירה בבית,4,16250
68,הנרקיס 43,105.8,2023,2400000,12797-67-1,קוטג' דו משפחתי,5,22684
69,הברוש 483,68,2023,1225000,10629-34-31,דירה בבית,4,18015
70,המלך דוד 7,101,2023,1365000,10628-29-11,דירה בבית,4,13515
71,המלך דוד 522,67,2023,1080000,10628-40-52,דירה בבית,2,16119
72,הברוש 482,55.5,2023,1150000,10629-34-6,דירה בבית,3,20721
73,הנשיא ויצמן 470,68,2023,1200000,10629-31-12,דירה בבית,4,17647
74,התמר 538,66.95,2023,1275000,12797-48-23,דירה בבית,3.5,19044
76,הנרקיס 13,105.8,2023,2330000,12797-73-2,קוטג' דו משפחתי,5,22023
77,הברוש 529,61,2023,1170000,12797-2-18,דירה בבית,3,19180
79,הברוש 491,68,2023,1200000,10629-36-4,דירה בבית,4,17647
81,המלך דוד 8,100,2023,1350000,10628-26-14,דירה בבית,5,13500
82,המלך דוד 514,108,2023,1300000,10628-43-59,דירה בבית,4,12037
83,המלך דוד 559,84.5,2023,1500000,10628-46-14,דירה בבית,4,17751
85,המלך דוד 508,67.9,2023,1350000,10628-46-12,דירה בבית,3.5,19882
86,סמדר 2,173,2023,3050000,12848-4-14,דירה בבית,5,17630
87,סמדר 2,176,2023,3275000,12848-4-16,דירה בבית,5,18608
88,המלך דוד 8,85,2023,1400000,10628-26-9,דירה בבית,4,16471
89,סמדר 2,173,2023,3000000,12848-4-17,קוטג' דו משפחתי,5,17341
90,סמדר 2,173,2023,2950000,12848-4-3,קוטג' דו משפחתי,5,17052
91,סמדר 2,176,2023,3275000,12848-4-18,קוטג' דו משפחתי,5,18608
93,סמדר 2,176,2023,3200000,12848-4-19,קוטג' דו משפחתי,5,18182
95,סמדר 2,176,2023,3350000,12848-4-20,דירה בבית,5,19034
96,המלך דוד 498,68,2023,1390000,10628-24-7,דירה בבית,4,20441
