מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,אור עקיבא,שזר,שזר 820,49,2025,1150000,10650-97-15,דירה בבית,2,23469
2,אור עקיבא,שזר,שזר 814,60.75,2025,1300000,10650-91-15,דירה בבית,3,21399
3,אור עקיבא,שזר,שזר 813,61.2,2025,1500000,10650-90-14,דירה בבית,3,24510
5,אור עקיבא,שזר,שזר 819,60,2025,1490000,10650-96-30,דירה בבית,3,24833
6,אור עקיבא,שזר,שזר 816,67.43,2025,1500000,10650-93-3,דירה בבית,3,22245
7,אור עקיבא,שזר,שזר 818,60.75,2025,1250000,10650-95-15,דירה בבית,3,20576
8,אור עקיבא,שזר,שזר 818,60.75,2025,1125000,10650-95-11,דירה בבית,3,18519
9,אור עקיבא,שזר,שזר 819,60,2025,1535000,10650-96-4,דירה בבית,3,25583
10,אור עקיבא,שזר,מנחם ציוני 805,60.7,2024,1450000,10650-82-13,דירה בבית,3,23888
11,אור עקיבא,שזר,שזר 812,77.8,2024,1680000,10650-88-39,דירה בבית,4,21594
12,אור עקיבא,שזר,שזר 818,60.75,2024,1165000,10650-95-16,דירה בבית,3,19177
13,אור עקיבא,שזר,שזר 820,49,2024,1070000,10650-97-20,דירה בבית,2,21837
14,אור עקיבא,שזר,שזר 809,60.7,2024,1200000,10650-86-9,דירה בבית,3,19769
15,אור עקיבא,שזר,שזר 813,61.2,2024,1500000,10650-90-5,דירה בבית,3,24510
16,אור עקיבא,שזר,מנחם ציוני 801,72.1,2024,1458000,10650-78-2,דירה בבית,3,20222
17,אור עקיבא,שזר,מנחם ציוני 801,72.1,2024,1400000,10650-78-9,דירה בבית,3,19417
18,אור עקיבא,שזר,שזר 808,61.2,2024,1500000,10650-85-19,דירה בבית,3,24510
19,אור עקיבא,שזר,שזר 820,49,2024,1020000,10650-97-25,דירה בבית,2,20816
20,אור עקיבא,שזר,שזר 813,61.2,2024,1389000,10650-90-15,דירה בבית,3,22696
21,אור עקיבא,שזר,שזר 817,60.75,2024,1030000,10650-94-9,דירה בבית,3,16955
22,אור עקיבא,שזר,שזר 819,60,2024,1015000,10650-96-26,דירה בבית,3,16917
23,אור עקיבא,שזר,שזר 810,62.1,2024,1430000,10650-87-6,דירה בבית,3,23027
24,אור עקיבא,שזר,שזר 809,60.7,2024,1400000,10650-86-1,דירה בבית,3,23064
25,אור עקיבא,שזר,מנחם ציוני 805,75,2024,1560000,10650-82-20,דירה בבית,4,20800
26,אור עקיבא,שזר,שזר 804,77.8,2024,1550000,10650-81-13,דירה בבית,4,19923
27,אור עקיבא,שזר,שזר 817,60.75,2024,1380000,10650-94-3,דירה בבית,3,22716
28,אור עקיבא,שזר,שזר 816,67.43,2024,1420000,10650-93-13,דירה בבית,3,21059
29,אור עקיבא,שזר,שזר 809,60.7,2024,1400000,10650-86-11,דירה בבית,3,23064
30,אור עקיבא,שזר,שזר 819,49,2024,1170000,10650-96-8,דירה בבית,2,23878
31,אור עקיבא,שזר,שזר 814,60.75,2024,1420000,10650-91-6,דירה בבית,3,23374
32,אור עקיבא,שזר,שזר 815,60.75,2023,1100000,10650-92-15,דירה בבית,3,18107
33,אור עקיבא,שזר,שזר 823,49,2023,1175000,10650-100-10,דירה בבית,3,23980
34,אור עקיבא,שזר,שזר 808,61.2,2023,1370000,10650-85-17,דירה בבית,3,22386
35,אור עקיבא,שזר,שזר 816,67.43,2023,1420000,10650-93-18,דירה בבית,3,21059
36,אור עקיבא,שזר,שזר 803,47.1,2023,1070000,10650-80-21,דירה בבית,2,22718
37,אור עקיבא,שזר,שזר 803,61,2023,1430000,10650-80-5,דירה בבית,3,23443
38,אור עקיבא,שזר,שזר 811,28.2,2023,850000,10650-88-25,דירה בבית,2,30142
39,אור עקיבא,שזר,מנחם ציוני 805,75,2023,1410000,10650-82-18,דירה בבית,4,18800
40,אור עקיבא,שזר,שזר 821,60.75,2023,1160000,10650-98-3,דירה בבית,3,19095
41,אור עקיבא,שזר,שזר 812,77.8,2023,1460000,10650-88-38,דירה בבית,4,18766
42,אור עקיבא,שזר,שזר 809,60.7,2023,1300000,10650-86-7,דירה בבית,3,21417
43,אור עקיבא,שזר,שזר 804,77.8,2023,1420000,10650-81-7,דירה בבית,4,18252
44,אור עקיבא,שזר,שזר 821,60.75,2023,1105000,10650-98-11,דירה בבית,3,18189
45,אור עקיבא,שזר,שזר 809,60.7,2023,1270000,10650-86-13,דירה בבית,3,20923
46,אור עקיבא,שזר,שזר 821,60.75,2023,1165000,10650-98-12,דירה בבית,3,19177
47,אור עקיבא,שזר,שזר 811,57.9,2023,501000,10650-88-17,דירה בבית,3,8653
48,אור עקיבא,שזר,שזר 812,77.8,2023,1450000,10650-88-32,דירה בבית,4,18638
49,אור עקיבא,שזר,שזר 813,61.2,2023,1200000,10650-90-23,דירה בבית,3,19608
50,אור עקיבא,שזר,שזר 810,60.7,2023,600000,10650-87-1,דירה בבית,3,9885
51,אור עקיבא,שזר,שזר 818,60.75,2022,810000,10650-95-13,דירה בבית,3,13333
52,אור עקיבא,שזר,שזר 802,60.7,2022,1035000,10650-79-13,דירה בבית,3,17051
53,אור עקיבא,שזר,שזר 810,62.1,2022,1270000,10650-87-11,דירה בבית,3,20451
54,אור עקיבא,שזר,שזר 815,60.75,2022,186000,10650-92-9,דירה בבית,3,3062
55,אור עקיבא,שזר,שזר 802,60.7,2022,1300000,10650-79-7,דירה בבית,3,21417
