מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
101,מלכת שבא 7,60,2022,830000,40045-1-52,דירה בבית,3,13833
102,מלכית 3,63.2,2022,1150000,40046-47-7,דירה בבית,3,18196
103,ששת הימים 172,76.3,2022,1400000,40046-50-14,דירה בבית,3,18349
104,מלכת שבא 3,35.4,2022,630000,40045-16-96,דירה בבית,2,17797
105,מלכת שבא 15,63.2,2022,1190000,40045-12-29,דירה בבית,4,18829
107,הספורטאים 2,79.2,2022,1400000,40046-49-6,דירה בבית,4,17677
108,ששת הימים 158,71,2022,1250000,40045-26-46,דירה בבית,3,17606
109,הספורטאים 2,85.1,2022,1285000,40046-49-10,דירה בבית,4,15100
110,הספורטאים 4,63.2,2022,1304000,40046-38-1,דירה בבית,4,20633
111,מלכת שבא 3,36,2022,740000,40045-16-43,דירה בבית,2,20556
113,חלמיש 5,75.8,2022,1280000,40045-4-11,דירה בבית,4,16887
114,מלכת שבא 9,63.2,2022,1150000,40045-3-32,דירה בבית,4,18196
115,מלכת שבא 7,39,2022,730000,40045-1-22,דירה בבית,2,18718
116,מלכת שבא 7,34,2022,550000,40045-1-55,דירת נופש,2,16176
117,הספורטאים 2,80.9,2022,1410000,40046-49-35,דירה בבית,4,17429
118,ששת הימים 166,69.2,2022,1100000,40046-52-11,דירה בבית,3,15896
119,ששת הימים 158,44,2022,950000,40045-26-1,דירה בבית,2,21591
120,העורב 16,60,2022,1045000,40046-43-14,דירה בבית,3,17417
121,מלכת שבא 7,43,2022,880000,40045-1-57,דירה בבית,2.5,20465
122,מלכת שבא 7,53,2022,655000,40045-1-58,דירת נופש,3,12358
123,מלכת שבא 15,63.2,2022,1220000,40045-12-20,דירה בבית,4,19304
124,מלכת שבא 7,72,2022,770000,40045-1-59,דירה בבית,3,10694
125,מלכת שבא 7,35,2022,620000,40045-1-21,דירה בבית,2,17714
126,העורב 16,60,2022,1100000,40046-43-3,דירה בבית,3,18333
127,אזורית 4,63.2,2022,1280000,40045-18-2,דירה בבית,4,20253
129,מלכית 5,72.1,2022,1010000,40046-46-15,דירה בבית,3,14008
130,גרניט 7,60.7,2022,890000,40045-20-16,דירה בבית,3,14662
131,ששת הימים 170,81.5,2022,1300000,40046-50-48,דירה בבית,4,15951
132,ששת הימים 166,58,2022,1114000,40046-52-5,דירה בבית,3,19207
133,ששת הימים 158,41,2022,900000,40045-26-57,דירה בבית,2,21951
134,מלכת שבא 7,43,2022,600000,40045-1-63,דירה בבית,2,13953
135,ששת הימים 168,65.6,2022,1250000,40046-51-4,דירה בבית,3,19055
137,מלכת שבא 7,43,2022,650000,40045-1-64,דירה בבית,2,15116
138,מלכת שבא 7,56,2022,700000,40045-1-66,דירה בבית,3,12500
139,צור 10,75.8,2022,1142000,40045-10-2,דירה בבית,4,15066
140,העורב 14,71.3,2022,1080000,40046-42-6,דירה בבית,4,15147
141,צפחה 3,71.3,2022,965000,40046-40-24,דירה בבית,4,13534
142,מלכת שבא 7,43,2022,670000,40045-1-67,דירה בבית,2,15581
143,מלכת שבא 7,53,2022,750000,40045-1-68,דירה בבית,3,14151
144,מלכית 1,63.2,2022,973000,40046-48-22,דירה בבית,3,15396
145,מלכית 9,85.1,2022,1270000,40045-22-28,דירה בבית,4,14924
146,ששת הימים 168,63.9,2022,1200000,40046-51-35,דירה בבית,3,18779
147,חלמיש 5,75.8,2022,1065000,40045-4-5,דירה בבית,4,14050
148,הספורטאים 4,63.2,2022,962000,40046-38-11,דירה בבית,4,15222
149,צור 11,75.8,2022,1110000,40045-11-2,דירה בבית,4,14644
150,מלכת שבא 7,55,2022,1210000,40045-1-69,דירה בבית,3,22000
151,מלכת שבא 3,43.54,2022,600000,40045-16-67,דירה בבית,2,13780
152,צור 10,75.8,2022,1010000,40045-10-3,דירה בבית,4,13325
153,אזורית 4,63.2,2022,920000,40045-18-24,דירה בבית,4,14557
154,גרניט 5,60.7,2022,870000,40045-19-7,דירה בבית,3,14333
155,צור 11,75.8,2022,1025000,40045-11-11,דירה בבית,4,13522
156,מלכת שבא 7,53,2022,715000,40045-1-70,דירת נופש,3,13491
157,מלכית 3,63.2,2022,940000,40046-47-11,דירה בבית,3,14873
158,ששת הימים 168,83.8,2022,1200000,40046-51-3,דירה בבית,4,14320
159,מלכית 1,63.2,2022,900000,40046-48-24,דירה בבית,3,14241
160,ששת הימים 160,52.8,2022,760000,40045-25-40,דירה בבית,3,14394
161,הספורטאים 4,63.2,2022,800000,40046-38-25,דירה בבית,4,12658
162,הספורטאים 4,63.2,2022,860000,40046-38-16,דירה בבית,4,13608
