מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
234,0,122,2017,1875000,40085-80-13,דירה בבית,5,15369
235,דפדוף 13,130.1,2017,2070000,40085-16-6,דירה בבית,5,15911
236,יהושפט 49,130.2,2017,1630000,40048-1-1,דירה בבית,5,12519
237,זהרון 1,63.6,2017,840000,40081-20-11,דירה בבית,3,13208
238,דקר 201,83.15,2017,930000,40081-19-27,דירה בבית,3,11185
239,תוכינון 8,326,2017,2150000,40140-43-1,קוטג' דו משפחתי,6,6595
240,דקר 201,82.5,2017,1100000,40081-19-31,דירת גן,3,13333
241,בתרן 11,130,2017,1990000,40085-3-1,דירה בבית,5,15308
242,פזית 20,157,2017,1900000,40138-30-2,דירה בבית,6,12102
243,זהרון 2,83.1,2017,1025000,40085-1-41,דירה בבית,4,12335
244,דקר 14,82.6,2017,1100000,40081-6-38,דירה בבית,4,13317
245,דקר 201,99.55,2017,1530000,40081-19-3,דירת גן,4,15369
246,פטישן 22,172.75,2017,2300000,40081-23-1,דירה בבית,6,13314
247,זהרון 1,87,2017,1050000,40081-20-12,דירה בבית,4,12069
248,המלך אחז 19,89,2017,1115000,40048-9-16,דירה בבית,4,12528
249,חלילן 17,96.8,2017,1140000,40085-59-5,דירה בבית,4,11777
251,זהרון 3,63.6,2017,890000,40081-21-15,דירה בבית,3,13994
252,בתרן 11,121.9,2017,1650000,40085-3-7,דירה בבית,5,13536
253,המלך אחז 19,87,2017,950000,40048-9-11,דירה בבית,4,10920
254,זהרון 15,84.25,2017,1150000,40081-5-42,דירה בבית,4,13650
255,המלך אחז 1,99.59,2017,1150000,40048-7-4,דירה בבית,4,11547
