מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,האמוראים 11,92,2025,2350000,472-47-7,דירה בבית,4,25543
3,רבינא 3,116.44,2025,3000000,472-124-7,דירה בבית,4,25764
5,אלטלנה 10,75.9,2025,1840000,472-160-57,דירה בבית,3,24242
7,רב חיסדא 11,106,2025,2815000,2023-79-19,דירה בבית,5,26557
9,התנאים 4,104,2025,2920000,472-46-23,דירה בבית,4,28077
10,רב חיסדא 11,110,2025,2200000,2023-79-18,דירה בבית,5,20000
11,הרים לוין 9,151.9,2025,3200000,472-157-64,דירה בבית,6,21066
12,הרים לוין 13,82.15,2025,1900000,472-159-112,דירה בבית,4,23128
13,שמאי 12,135.1,2025,3980000,472-123-36,דירה בבית,5,29460
14,רב ינאי 32,137,2025,2475000,2023-19-74,דירה בבית,5,18066
15,אליעזר בן הורקנוס 8,88.6,2025,2482000,472-152-58,דירה בבית,5,28014
16,הלל 7,136,2025,3210000,472-122-23,דירה בבית,5,23603
17,אלטלנה 4,81.95,2025,2250000,472-160-16,דירה בבית,4,27456
18,רב ינאי 28,100,2025,2150000,2023-16-30,דירה בבית,4,21500
19,רשבי 36,71.7,2025,1700000,2023-83-78,דירה בבית,3,23710
20,רב ינאי 12,82,2025,2100000,2023-16-31,דירה בבית,4,25610
22,רשבי 36,71,2025,1950000,2023-83-113,דירה בבית,4,27465
24,רשבי 21,141,2024,2800000,472-188-10,דירה בבית,5,19858
25,הלל 3,67.5,2024,1750000,472-121-31,דירה בבית,3,25926
26,הלל 7,97,2024,1680000,472-122-25,דירה בבית,3,17320
28,רב ינאי 50,80,2024,2100000,2023-21-12,דירה בבית,3,26250
30,רשבי 36,72.5,2024,2000000,2023-83-167,דירה בבית,3,27586
32,שמאי 12,112.11,2024,2300000,472-123-33,דירה בבית,5,20516
33,הרים לוין 13,84.95,2024,2400000,472-159-118,דירה בבית,4,28252
34,יוסי בר חלפתא 2,112.9,2024,2500000,472-44-22,דירה בבית,4,22143
35,אלטלנה 4,111.9,2024,2400000,472-160-14,דירה בבית,5,21448
36,הלל 2,75.4,2024,2020000,472-125-42,דירה בבית,4,26790
37,רבא 1,130,2024,3480000,2023-75-32,דירה בבית,5,26769
38,אליעזר בן הורקנוס 8,75.65,2024,1790000,472-152-59,דירה בבית,3,23662
39,רשבי 23,199,2024,3100000,472-188-9,דירה בבית,5,15578
