city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
אשדוד,רובע יג,410,יהויכין המלך 2,83.89,2019,2150000,2393-17-20,דירת גן,5,25629
אשדוד,רובע יג,411,שאול המלך 6,67.7,2019,1295000,2394-6-12,דירה בבית,3,19129
אשדוד,רובע יג,412,יותם המלך 4,81,2019,2000000,2395-25-12,דירה בבית,5,24691
אשדוד,רובע יג,413,יהויכין המלך 7,65,2019,1550000,2393-8-60,דירה בבית,4,23846
אשדוד,רובע יג,414,יהוא המלך 3,77.9,2019,1420000,2395-26-236,דירה בבית,4,18228
אשדוד,רובע יג,415,0,130,2019,1580000,2395-36-1,דירה בבית,4,12154
אשדוד,רובע יג,416,חזקיה המלך 55,65,2019,1525000,2396-35-8,דירה בבית,3,23462
אשדוד,רובע יג,418,המלך ירבעם 7,93,2019,1775000,2393-15-31,דירה בבית,4,19086
אשדוד,רובע יג,419,המלך ירבעם 4,128,2019,1950000,2393-14-15,דירה בבית,5,15234
אשדוד,רובע יג,420,יהויכין המלך 9,65,2019,1420000,2393-11-19,דירה בבית,3,21846
אשדוד,רובע יג,422,יהויכין המלך 15,65,2019,1600000,2393-10-33,דירה בבית,4,24615
אשדוד,רובע יג,423,יהוא המלך 3,49,2019,1320000,2395-26-99,דירה בבית,3,26939
אשדוד,רובע יג,424,רחבעם המלך 26,80.7,2019,1420000,2395-16-49,דירה בבית,4,17596
אשדוד,רובע יג,425,הגלימה 20,108,2019,2550000,2393-6-17,דירה בבית,5,23611
אשדוד,רובע יג,426,המלך אמציה 23,82.33,2019,1345000,2396-28-4,דירה בבית,4,16337
אשדוד,רובע יג,427,יהוא המלך 3,77.9,2019,1390000,2395-26-88,דירה בבית,4,17843
אשדוד,רובע יג,428,רחבעם המלך 26,80.8,2019,1445000,2395-16-38,דירה בבית,4,17884
אשדוד,רובע יג,429,המלך יהושפט 1,89.68,2019,1450000,2396-7-4,דירה בבית,4.5,16169
אשדוד,רובע יג,433,המלך דוד 13,109,2019,1550000,2395-11-18,דירה בבית,5,14220
אשדוד,רובע יג,434,אסא המלך 3,63,2019,1615000,2395-4-26,דירה בבית,3,25635
אשדוד,רובע יג,435,יותם המלך 4,57.05,2019,1275000,2395-25-29,דירה בבית,3,22349
אשדוד,רובע יג,436,חזקיה המלך 55,65,2019,1360000,2396-35-3,דירה בבית,3,20923
אשדוד,רובע יג,437,המלך שאול 10,64.7,2019,1530000,2394-7-18,דירה בבית,3,23648
אשדוד,רובע יג,438,המלך יהושפט 2,84,2019,1620000,2395-9-25,דירה בבית,4,19286
אשדוד,רובע יג,439,אוריה החיתי 9,49.8,2019,1040000,2395-20-8,דירה בבית,2,20884
אשדוד,רובע יג,440,המלך עמרי 1,66.96,2019,1330000,2396-23-19,דירה בבית,3,19863
אשדוד,רובע יג,441,עזריה המלך 87,91.04,2019,2100000,2396-39-2,דירת גן,4,23067
אשדוד,רובע יג,442,חזקיה המלך 15,103.34,2019,1580000,2396-11-18,דירה בבית,4.5,15289
אשדוד,רובע יג,443,המלך אמציה 13,62.06,2019,1300000,2396-19-27,דירה בבית,3,20947
אשדוד,רובע יג,444,אוריה החיתי 19,81.7,2019,1730000,2395-19-18,דירה בבית,4,21175
