מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
83,יהדות ספרד 25,60.9,2023,1120000,3047-55-7,דירה בבית,3,18391
84,יהדות ספרד 38,167,2023,2300000,3051-7-1,קוטג' דו משפחתי,7,13772
85,יוטבתה 2,33.1,2023,1045000,3054-32-31,דירה בבית,2,31571
86,יהדות ספרד 29,60.9,2023,1100000,3047-61-3,דירה בבית,3,18062
87,שאר ישוב 5,60.9,2023,1250000,3043-46-7,דירה בבית,3,20525
88,עשרת השבטים 6,66.67,2023,1280000,3050-45-134,דירה בבית,3,19199
89,כנפי נשרים 13,63.9,2023,1050000,3053-61-20,דירה בבית,3,16432
91,כנפי נשרים 5,108,2023,1650000,3053-78-24,דירה בבית,4,15278
92,אקסודוס 48,60.9,2023,1080000,3041-5-5,דירה בבית,3,17734
93,אקסודוס 48,75.1,2023,1475000,3041-5-4,דירה בבית,3,19640
94,עמיעד 13,70,2023,2075000,3051-72-1,קוטג' דו משפחתי,3,29643
95,הבשן 17,60,2023,3320000,3041-48-2,קוטג' דו משפחתי,3,55333
96,עשרת השבטים 19,60,2023,844000,3050-42-1,דירה בבית,3,14067
97,שאר ישוב 14,119,2023,2040000,3043-42-2,קוטג' דו משפחתי,4,17143
98,אופירה 14,100,2023,2260000,3051-79-1,קוטג' דו משפחתי,5,22600
99,מנחם בגין 31,70.91,2023,1150000,3050-51-24,דירה בבית,3,16218
100,צדק 30,60,2023,2500000,3044-70-1,קוטג' דו משפחתי,3,41667
101,עמיעד 41,200,2023,3070000,3045-39-2,דירה בבית,6,15350
102,אקסודוס 22,60.9,2023,1280000,3046-4-13,דירה בבית,3,21018
103,שאר ישוב 5,78.1,2023,1472000,3043-46-10,דירת גן,4,18848
104,קדומים 25,75,2023,2075000,3043-85-1,קוטג' דו משפחתי,3,27667
105,הכורמים 20,64,2023,1575000,1203-8-2,דירה בבית,3,24609
106,אקסודוס 15,60.8,2023,1100000,3047-66-8,דירה בבית,3,18092
107,אקסודוס 25,63.95,2023,1150000,3045-132-9,דירה בבית,3,17983
108,כל ישראל חברים 38,59.4,2023,1240000,3044-2-12,דירה בבית,3,20875
109,יוטבתה 2,81.7,2023,1290000,3054-32-14,דירה בבית,4,15789
110,היוצרים 1,77,2023,1500000,1203-14-1,דירה בבית,3,19481
111,תמנע 6,60,2023,189000,3054-13-1,דירה בבית,3,3150
112,צין 1,72,2023,1330000,3052-34-10,דירה בבית,3,18472
113,אקסודוס 41,59.45,2023,1150000,3042-49-2,דירה בבית,3,19344
114,שבתאי 22,226,2023,3050000,3044-123-1,קוטג' חד משפחתי,7,13496
115,עמיעד 40,60,2023,2400000,3047-4-1,דירה בבית,3,40000
116,מנחם בגין 17,65,2023,1284000,3052-36-19,דירה בבית,3,19754
117,אקסודוס 22,36.45,2023,1250000,3046-4-11,דירה בבית,2,34294
118,אקסודוס 30,63.95,2023,1570000,3044-26-9,דירה בבית,3,24550
