מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,אשקלון,נוה דקלים,חצבה 161,207,2025,3250000,3053-16-3,קוטג' דו משפחתי,7,15700
2,אשקלון,נוה דקלים,סלעית 4,60,2025,1075000,3046-79-1,קוטג' דו משפחתי,3,17917
3,אשקלון,נוה דקלים,יהדות ספרד 2,62.9,2025,1080000,3053-61-40,דירה בבית,3,17170
4,אשקלון,נוה דקלים,יהדות ספרד 40,100,2025,1920000,3051-6-2,דירה בבית,4,19200
5,אשקלון,נוה דקלים,כנפי נשרים 11,107.8,2025,1700000,3053-77-52,דירה בבית,4,15770
6,אשקלון,נוה דקלים,כנפי נשרים 5,107.8,2025,1650000,3053-78-53,דירה בבית,4,15306
7,אשקלון,נוה דקלים,קדומים 5,107,2025,726000,3049-71-2,קוטג' דו משפחתי,4,6785
8,אשקלון,נוה דקלים,יוטבתה 1,66.45,2025,700000,3054-42-34,דירה בבית,3,10534
9,אשקלון,נוה דקלים,ארגמן 3,134,2025,2025000,1203-15-1,דירה בבית,5,15112
10,אשקלון,נוה דקלים,הכורמים 20,104,2025,1826000,1203-8-3,דירה בבית,4,17558
11,אשקלון,נוה דקלים,יהדות ספרד 7,63.95,2025,1300000,3049-24-4,דירה בבית,3,20328
12,אשקלון,נוה דקלים,יהדות ספרד 54,69.35,2025,1060000,3050-47-21,דירה בבית,4,15285
13,אשקלון,נוה דקלים,יהדות ספרד 2,87.4,2025,1350000,3053-61-41,דירה בבית,4,15446
14,אשקלון,נוה דקלים,אקסודוס 35,84.3,2025,1800000,3045-129-5,דירת גן,4,21352
15,אשקלון,נוה דקלים,יוטבתה 1,81.7,2025,1170000,3054-42-59,דירה בבית,4,14321
16,אשקלון,נוה דקלים,אקסודוס 45,77.4,2025,1350000,3042-37-8,דירה בבית,4,17442
17,אשקלון,נוה דקלים,הכורמים 20,76,2025,1670000,1203-8-4,דירה בבית,3,21974
18,אשקלון,נוה דקלים,אקסודוס 31,77.4,2025,1800000,3045-131-6,דירת גן,4,23256
19,אשקלון,נוה דקלים,אקסודוס 35,60.9,2025,1200000,3045-129-3,דירה בבית,3,19704
20,אשקלון,נוה דקלים,יוטבתה 2,78.65,2024,1305000,3054-32-37,דירה בבית,4,16592
21,אשקלון,נוה דקלים,עשרת השבטים 8,66.67,2024,1260000,3050-45-163,דירה בבית,3,18899
23,אשקלון,נוה דקלים,כנפי נשרים 11,107.8,2024,1650000,3053-77-51,דירה בבית,4,15306
24,אשקלון,נוה דקלים,אקסודוס 26,60.8,2024,1350000,3044-131-1,דירה בבית,3,22204
