מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
151,העבודה 284,113.5,2017,900000,2383-32-12,דירה בבית,4,7930
152,דוד רזיאל 2007,76.5,2017,890000,1995-17-7,דירה בבית,4,11634
153,דוד רזיאל 10,48.3,2017,500000,1994-28-16,דירה בבית,3,10352
154,העבודה 7,48.3,2017,590000,1995-4-12,דירה בבית,3,12215
155,הרב יוסף קארו 285,63.7,2017,766000,2383-31-12,דירה בבית,3,12025
156,דוד רזיאל 32,46.8,2017,560000,2383-36-10,דירה בבית,2,11966
157,העבודה 11,48.3,2017,712000,1995-2-10,דירה בבית,3,14741
158,דוד רזיאל 38,119,2017,950000,2383-11-7,דירה בבית,4.5,7983
159,האורים 5,87,2017,1049000,1995-9-4,דירה בבית,4,12057
160,העבודה 7,48.3,2017,340000,1995-4-16,דירה בבית,3,7039
161,העבודה 7,73,2017,724000,1995-4-4,דירה בבית,4,9918
162,העבודה 7,48.3,2017,500000,1995-4-9,דירה בבית,3,10352
163,דוד רזיאל 16,63.4,2017,650000,2383-44-8,דירה בבית,3,10252
164,העבודה 9,48.3,2017,675000,1995-3-23,דירה בבית,3,13975
165,דוד רזיאל 2007,48.3,2017,575000,1995-17-11,דירה בבית,3,11905
166,דוד רזיאל 24,92,2017,795000,2383-40-10,דירה בבית,5,8641
167,דוד רזיאל 24,80.2,2017,650000,2383-40-5,דירה בבית,4,8105
