מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הגולן 15,173,2024,4750000,4040-475-5,קוטג' דו משפחתי,6,27457
2,החרמון 6,160,2024,4648000,4040-503-1,קוטג' דו משפחתי,5,29050
4,התבור 22,247,2023,4100000,4040-529-2,קוטג' דו משפחתי,6,16599
6,התבור 14,223,2022,277000,4040-528-1,קוטג' דו משפחתי,5,1242
7,0,280,2021,3800000,4040-472-1,קוטג' חד משפחתי,5,13571
8,התבור 14,239,2021,3775000,4040-517-2,דירה בבית,6,15795
10,התבור 8,143,2021,3630000,4040-524-2,קוטג' דו משפחתי,6,25385
12,החרמון 12,195,2020,4260000,4040-500-2,קוטג' דו משפחתי,5,21846
13,החרמון 42,160,2020,4000000,4040-485-1,קוטג' דו משפחתי,6,25000
14,שחף 1,217,2020,3850000,4040-76-9,קוטג' דו משפחתי,6,17742
16,חיים 3,250,2020,2520000,4040-425-2,קוטג' דו משפחתי,6,10080
18,החרמון 2,380,2020,2180000,4040-505-2,קוטג' חד משפחתי,7,5737
20,איילה 6,100,2020,1250000,4040-570-3,קוטג' חד משפחתי,3,12500
21,איילה 6,70,2020,1450000,4040-570-2,קוטג' חד משפחתי,3,20714
22,איילה 6,60,2019,1150000,4040-570-1,קוטג' דו משפחתי,2,19167
24,איילה 9,114,2019,5300000,4040-579-1,קוטג' חד משפחתי,4,46491
25,החרמון 2,380,2019,3800000,4040-505-1,קוטג' חד משפחתי,7,10000
26,שחף 3,210,2019,2980000,4040-76-8,קוטג' דו משפחתי,6,14190
27,הגולן 23,157,2019,2649000,4040-479-1,קוטג' דו משפחתי,5,16873
28,הגולן 15,160,2018,2920000,4040-475-4,קוטג' דו משפחתי,6,18250
29,איילה 7,70,2018,1400000,4040-581-1,קוטג' חד משפחתי,3,20000
31,שמחה הולצברג 3,174.6,2018,565000,4040-397-4,קוטג' דו משפחתי,5,3236
32,שחף 8,200,2018,2950000,4040-427-1,דירה בבית,7,14750
33,שחף 1,167,2017,2580000,4040-76-7,דירה בבית,6,15449
34,החרמון 19,260,2017,2850000,4040-514-1,קוטג' דו משפחתי,7,10962
36,נחליאלי 2,125.1,2017,2510000,4040-147-4,קוטג' חד משפחתי,5,20064
37,נחליאלי 2,125.1,2017,2550000,4040-147-3,קוטג' דו משפחתי,5,20384
38,פשוש 4,153,2017,2700000,4040-75-5,קוטג' דו משפחתי,5,17647
39,שמחה הולצברג 3,174.6,2017,2200000,4040-397-3,קוטג' דו משפחתי,6,12600
41,התבור 7,297,2016,2580000,4040-523-2,דירה בבית,7,8687
42,הגולן 26,181,2016,2425000,4040-470-2,דירה בבית,5.5,13398
43,נחליאלי 2,125.1,2015,2440000,4040-147-2,קוטג' דו משפחתי,5,19504
44,התבור 15,220,2015,2635000,4040-520-2,קוטג' דו משפחתי,6,11977
45,התבור 8,150,2015,2300000,4040-524-3,קוטג' דו משפחתי,5,15333
46,התבור 19,200,2015,2620000,4040-518-1,קוטג' דו משפחתי,6,13100
47,חיים 3,250,2015,2049000,4040-425-3,דירה בבית,6,8196
49,איילה 13,100,2014,2195000,4040-148-3,קוטג' דו משפחתי,7,21950
50,התבור 12,186,2014,2250000,4040-507-1,דירה בבית,6,12097
51,החרמון 4,192,2014,2699000,4040-504-2,קוטג' דו משפחתי,5,14057
52,איילה 18,180,2014,2090000,4040-466-2,קוטג' חד משפחתי,6,11611
53,התבור 17,250,2014,2900000,4040-519-2,קוטג' דו משפחתי,6,11600
54,הגולן 19,263.79,2014,2450000,4040-477-2,קוטג' דו משפחתי,6,9288
55,התבור 17,200,2013,2500000,4040-519-1,קוטג' דו משפחתי,9,12500
56,איילה 13,172,2013,1970000,4040-148-2,דירה בבית,6,11453
57,פשוש 1,153,2013,2050000,4040-90-1,דירה בבית,5,13399
58,החרמון 30,150,2013,2200000,4040-491-2,קוטג' דו משפחתי,6,14667
59,הגולן 19,263.79,2013,2360000,4040-477-1,דירה בבית,6,8947
60,איילה 18,170,2013,1925000,4040-466-1,קוטג' דו משפחתי,6,11324
61,0,600,2013,2600000,4040-513-0,קוטג' דו משפחתי,6,4333
62,החרמון 17,238.73,2013,2700000,4040-513-2,קוטג' דו משפחתי,7,11310
63,חיים 5,205.22,2012,2000000,4040-426-1,דירת גן,6,9746
64,הגולן 27,180,2012,2000000,4040-481-2,קוטג' דו משפחתי,6,11111
65,התבור 22,180,2012,2300000,4040-529-1,קוטג' דו משפחתי,5,12778
66,הגולן 15,232,2012,2314000,4040-475-3,קוטג' דו משפחתי,5,9974
67,החרמון 24,170,2012,2340000,4040-494-1,קוטג' דו משפחתי,6,13765
68,החרמון 38,183,2012,2500000,4040-487-1,קוטג' דו משפחתי,5,13661
69,החרמון 18,200,2011,2245000,4040-497-1,קוטג' דו משפחתי,8,11225
71,הגולן 36,165.7,2011,1780000,4040-468-9,קוטג' דו משפחתי,5,10742
72,החרמון 4,195,2011,2049000,4040-504-1,קוטג' דו משפחתי,5,10508
73,הגולן 17,120,2011,1988000,4040-476-1,קוטג' דו משפחתי,4,16567
74,התבור 8,240,2011,2325000,4040-524-1,קוטג' חד משפחתי,6,9688
75,החרמון 21,180,2010,1975000,4040-537-2,דירה בבית,7,10972
76,דוכיפת 6,196,2010,1574000,4040-73-2,קוטג' דו משפחתי,6,8031
77,החרמון 12,215,2010,2372000,4040-500-1,קוטג' דו משפחתי,6,11033
78,ז'בוטינסקי 10,80,2009,1025000,4040-521-2,קוטג' דו משפחתי,3,12813
79,הגולן 26,180,2009,1850000,4040-470-1,קוטג' דו משפחתי,6,10278
80,הגולן 15,160,2009,1760000,4040-475-2,קוטג' דו משפחתי,6,11000
81,החרמון 24,145,2009,750000,4040-494-2,דירה בבית,6,5172
82,שחף 1,175,2008,650000,4040-76-5,דירת גן,6,3714
83,שחף 1,170,2008,1245000,4040-76-4,קוטג' דו משפחתי,6,7324
84,החרמון 34,180,2008,1450000,4040-489-1,קוטג' דו משפחתי,6,8056
85,התבור 14,200,2008,1385000,4040-517-1,דירה בבית,5,6925
86,שחף 1,160,2008,1040000,4040-76-3,דירה בבית,6,6500
87,0,166,2008,1260000,4040-468-0,קוטג' דו משפחתי,6,7590
88,התבור 15,200,2008,1250000,4040-520-1,קוטג' דו משפחתי,6,6250
89,התבור 10,170,2007,1360000,4040-525-1,דירה בבית,7,8000
