מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,משה לוי 1,139,2025,2270000,7323-18-16,דירה בבית,5,16331
3,משה לוי 2,238,2025,4000000,7323-17-21,דירת,6,16807
4,משה לוי 3,150,2025,2400000,7323-18-15,דירה בבית,5,16000
5,משה לוי 2,127,2025,2460000,7323-17-20,דירה בבית,5,19370
6,0,125,2025,2400000,4351-5-218,דירה בבית,5,19200
7,משה לוי 5,137,2025,2350000,7323-18-14,דירה בבית,5,17153
8,משה לוי 1,125,2025,2250000,7323-18-12,דירה בבית,5,18000
9,משה לוי 2,127,2025,2250000,7323-17-18,דירה בבית,5,17717
10,משה לוי 3,108,2025,2210000,7323-18-11,דירה בבית,4,20463
11,משה לוי 1,110,2025,2400000,7323-18-9,דירה בבית,4,21818
12,משה לוי 3,150,2025,2170000,7323-18-8,דירה בבית,5,14467
