מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
612,האלונים 3,90.48,2018,1700000,4041-100-62,דירה בבית,4,18789
613,שא נס 17,97.71,2018,1855000,4041-126-3,דירה בבית,4,18985
614,שא נס 7,93.31,2018,1820000,4041-91-28,דירה בבית,4,19505
615,שא נס 13,94.65,2018,1830000,4041-90-82,דירה בבית,4,19334
616,שא נס 17,97.38,2018,2100000,4041-126-69,דירה בבית,4,21565
617,יצחק רבין 4,101.1,2018,1880000,4041-93-67,דירה בבית,4,18595
618,שא נס 17,97.38,2018,1845000,4041-126-5,דירה בבית,4,18946
619,יצחק רבין 10,118.7,2018,2180000,4041-98-60,דירה בבית,5,18366
620,האלונים 4,111.34,2018,2050000,4041-97-40,דירה בבית,5,18412
621,האלונים 6,111.34,2018,2050000,4041-97-76,דירה בבית,5,18412
622,האלונים 1,109.26,2018,1980000,4041-100-29,דירה בבית,5,18122
623,שא נס 5,99.72,2018,1700000,4041-92-67,דירה בבית,4,17048
624,יצחק רבין 8,93.31,2018,1820000,4041-102-10,דירה בבית,4,19505
625,שא נס 11,94.65,2018,1815000,4041-90-46,דירה בבית,4,19176
626,האלונים 6,104.44,2018,1860000,4041-97-99,דירה בבית,4.5,17809
627,יצחק רבין 12,114.3,2018,1950000,4041-98-92,דירה בבית,4,17060
628,יצחק רבין 8,92.47,2018,1750000,4041-102-29,דירה בבית,4,18925
629,האלונים 10,106.6,2018,2100000,4041-96-66,דירה בבית,4,19700
630,יצחק רבין 8,92.47,2018,1750000,4041-102-17,דירה בבית,4,18925
631,שא נס 15,112.05,2018,1950000,4041-90-164,דירה בבית,5,17403
632,האלונים 6,94.15,2018,1800000,4041-97-57,דירה בבית,4,19118
633,יצחק רבין 4,115.14,2018,1960000,4041-93-25,דירה בבית,5,17023
634,יצחק רבין 8,93.48,2018,1860000,4041-102-7,דירה בבית,4,19897
635,האלונים 5,89.5,2018,1750000,4041-99-19,דירה בבית,4,19553
636,האלונים 10,96.6,2018,1800000,4041-96-51,דירה בבית,4,18634
637,יצחק רבין 10,129.2,2018,2030000,4041-98-16,דירה בבית,5,15712
638,האלונים 3,104.81,2018,2000000,4041-100-45,דירה בבית,5,19082
639,האלונים 8,96.6,2018,1805000,4041-96-11,דירה בבית,4,18685
640,שא נס 1,109.63,2018,1870000,4041-101-10,דירה בבית,4,17057
641,האלונים 10,98.9,2018,1850000,4041-96-56,דירה בבית,4,18706
642,שא נס 15,155.8,2018,3000000,4041-90-177,דירה בבית,5,19255
643,האלונים 3,109.06,2018,1940000,4041-100-47,דירה בבית,5,17788
644,האלונים 7,97.1,2018,2040000,4041-99-61,דירה בבית,5,21009
645,האלונים 8,96.6,2018,1830000,4041-96-44,דירה בבית,4,18944
646,יצחק רבין 4,113.09,2018,2240000,4041-93-44,דירה בבית,5,19807
647,שא נס 3,99.72,2018,1945000,4041-92-28,דירה בבית,4,19505
648,שא נס 15,94.65,2018,1850000,4041-90-150,דירה בבית,4,19546
649,שא נס 1,109.63,2018,1855000,4041-101-31,דירה בבית,4,16921
