city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
באר שבע,א,469,בזל 41,93.9,2021,1390000,38261-17-1,דירה בבית,4,14803
באר שבע,א,470,סוקולוב 32,139,2021,1170000,38116-51-21,דירה בבית,6,8417
באר שבע,א,471,המשחררים 35,57.5,2021,770000,38129-1-18,דירה בבית,3,13391
באר שבע,א,472,המשחררים 19,57.8,2021,710000,38129-3-21,דירה בבית,3,12284
באר שבע,א,473,סוקולוב 26,118.8,2021,1460000,38116-63-72,דירה בבית,4,12290
באר שבע,א,474,מוריה 14,75,2021,860000,38116-14-13,דירה בבית,4,11467
באר שבע,א,475,המשחררים 119,78.9,2021,857000,38116-4-17,דירה בבית,4,10862
באר שבע,א,476,בלפור 50,93.7,2021,1180000,38025-70-4,דירה בבית,4,12593
באר שבע,א,477,המשחררים 79,83.1,2021,860000,38057-13-4,דירה בבית,4,10349
באר שבע,א,479,בזל 35,62,2021,850000,38024-70-3,דירה בבית,3,13710
באר שבע,א,480,המשחררים 73,72.3,2021,750000,38057-12-24,דירה בבית,3,10373
באר שבע,א,482,בורוכוב 15,109,2021,1290000,38129-53-2,דירה בבית,4,11835
באר שבע,א,483,ברנר 13,59,2021,660000,38023-11-9,דירה בבית,3,11186
באר שבע,א,485,סוקולוב 24,137.7,2021,1575000,38116-63-163,דירה בבית,5,11438
באר שבע,א,486,בלפור 36,97.8,2021,1200000,38025-63-2,דירה בבית,4,12270
באר שבע,א,488,המשחררים 111,74.15,2021,820000,38116-3-19,דירה בבית,4,11059
באר שבע,א,489,בזל 55,61.9,2021,720000,38261-27-10,דירה בבית,3,11632
באר שבע,א,491,הכותל המערבי 53,83,2021,1085000,38629-1-1,דירה בבית,4,13072
באר שבע,א,492,בזל 29,51,2021,500000,38024-73-10,דירה בבית,2,9804
באר שבע,א,494,קפלן 12,84.4,2021,910000,38264-11-8,דירה בבית,5,10782
באר שבע,א,495,בזל 55,61.9,2021,780000,38261-27-13,דירה בבית,3,12601
באר שבע,א,496,שחל 36,135.4,2021,1110000,38025-87-4,קוטג' דו משפחתי,5,8198
באר שבע,א,497,בזל 30,103.5,2021,1090000,38262-16-4,דירה בבית,5,10531
באר שבע,א,498,המשחררים 119,100.57,2021,950000,38116-4-7,דירה בבית,4,9446
באר שבע,א,499,המשחררים 111,74.15,2021,850000,38116-3-3,דירה בבית,4,11463
באר שבע,א,500,סוקולוב 8,95.7,2021,910000,38264-4-42,דירה בבית,4,9509
באר שבע,א,581,מוריה 14,83,2021,818000,38116-14-12,דירה בבית,4,9855
באר שבע,א,582,ברנר 7,77.7,2021,895000,38023-13-5,דירה בבית,4,11519
באר שבע,א,583,המשחררים 19,57.8,2021,815000,38129-3-26,דירה בבית,3,14100
באר שבע,א,584,קפלן 12,69.1,2021,700000,38264-11-4,דירה בבית,3,10130
באר שבע,א,585,סוקולוב 8,108.2,2021,870000,38264-4-41,דירה בבית,4,8041
באר שבע,א,586,0,87.18,2021,790000,38116-24-15,דירה בבית,4,9062
באר שבע,א,588,בלפור 24,48,2021,560000,38025-269-1,דירה בבית,2,11667
באר שבע,א,589,מוריה 40,73.6,2021,800000,38116-19-42,דירה בבית,4,10870
באר שבע,א,590,סוקולוב 26,138,2021,1610000,38116-63-53,דירה בבית,5,11667
באר שבע,א,591,תל חי 6,108,2021,930000,38022-19-1,דירה בבית,4,8611
באר שבע,א,592,אד גורדון 6,42,2021,372000,38023-53-5,דירה בבית,2,8857
באר שבע,א,594,הכותל המערבי 63,118,2021,1150000,38024-3-2,דירה בבית,4,9746
באר שבע,א,595,ביאליק 105,81,2021,800000,38116-42-54,דירה בבית,4,9877
באר שבע,א,596,המשחררים 73,83.1,2021,850000,38057-11-15,דירה בבית,4,10229
באר שבע,א,597,0,61,2021,930000,38024-29-4,דירה בבית,4,15246
באר שבע,א,598,0,87.18,2021,800000,38116-24-10,דירה בבית,4,9176
באר שבע,א,600,סוקולוב 8,101.5,2021,850000,38264-4-44,דירה בבית,4,8374
באר שבע,א,601,מוריה 18,49,2021,760000,38116-14-29,דירה בבית,3,15510
באר שבע,א,602,אד גורדון 6,42,2021,590000,38023-53-7,דירה בבית,2,14048
באר שבע,א,603,בזל 38,75.2,2021,810000,38262-12-3,דירה בבית,3,10771
באר שבע,א,604,בלפור 6,93,2021,980000,38025-45-1,דירה בבית,3,10538
באר שבע,א,605,אוסישקין 2,77,2021,825000,38023-10-19,דירה בבית,4,10714
באר שבע,א,606,אוסישקין 2,77,2021,840000,38023-10-21,דירה בבית,4,10909
באר שבע,א,607,ביאליק 83,60.6,2021,875000,38264-10-1,דירה בבית,3,14439
באר שבע,א,608,כצנלסון 15,68.9,2021,650000,38129-52-2,דירה בבית,2,9434
באר שבע,א,609,ביאליק 105,81,2021,830000,38116-42-51,דירה בבית,4,10247
באר שבע,א,610,בורוכוב 27,110.7,2021,1255000,38129-35-1,דירה בבית,4,11337
באר שבע,א,611,המשחררים 111,83.43,2021,845000,38116-3-5,דירה בבית,4,10128
באר שבע,א,612,מוריה 8,83,2021,780000,38116-8-30,דירה בבית,4,9398
באר שבע,א,613,ביאליק 135,54.11,2021,860000,38116-38-55,דירה בבית,3,15894
באר שבע,א,614,כצנלסון 8,106,2021,1180000,38129-9-3,דירה בבית,4,11132
באר שבע,א,615,המשחררים 75,82.2,2021,830000,38057-13-20,דירה בבית,4,10097
באר שבע,א,616,בזל 19,115,2021,1200000,38024-78-2,דירה בבית,4,10435
באר שבע,א,617,בלפור 22,63.9,2021,720000,38025-56-3,דירה בבית,4,11268
באר שבע,א,618,בלפור 27,92.66,2021,655000,38025-230-16,דירה בבית,3,7069
באר שבע,א,619,ביאליק 129,52.63,2021,670000,38116-38-32,דירה בבית,3,12730
באר שבע,א,620,סוקולוב 1,101,2021,940000,38025-1-1,דירה בבית,4,9307
באר שבע,א,621,ברנר 6,97.5,2021,1185000,38023-19-2,דירה בבית,4,12154
באר שבע,א,622,המשחררים 65,83.1,2021,735000,38057-31-15,דירה בבית,4,8845
באר שבע,א,623,אד גורדון 4,59,2021,650000,38023-52-15,דירה בבית,3,11017
באר שבע,א,624,כצנלסון 16,190.2,2021,1330000,38129-13-3,דירה בבית,5,6993
באר שבע,א,625,סוקולוב 28,112.1,2021,950000,38116-51-42,דירה בבית,4,8475
