מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
105,יא הספורטאים 20,130,2024,1999000,38020-38-43,דירה בבית,5,15377
106,יהודה הלוי 2,60.4,2024,815000,38057-6-14,דירה בבית,3,13493
107,יא הספורטאים 20,100,2024,1653000,38020-38-46,דירה בבית,4,16530
108,המשחררים 46,60.1,2024,725000,38071-168-8,דירה בבית,3,12063
109,יצחק רגר 57,185,2024,2040000,38412-1-142,דירה בבית,5,11027
110,יא הספורטאים 20,108,2024,1724000,38020-38-47,דירה בבית,4,15963
111,יא הספורטאים 20,108,2024,1711000,38020-38-49,דירה בבית,4,15843
112,יא הספורטאים 20,130,2024,2036000,38020-38-50,דירה בבית,5,15662
113,בן יהודה 20,70,2024,1145000,38074-23-4,דירה בבית,3,16357
114,מצדה 41,58.9,2024,940000,38075-12-25,דירה בבית,3,15959
116,בצלאל 29,90,2024,1170000,38057-34-18,דירה בבית,4,13000
117,בצלאל 36,56.8,2024,880000,38071-69-17,דירה בבית,3,15493
118,מצדה 113,61.3,2024,760000,38101-7-5,דירה בבית,3,12398
120,חיים הזז 5,80.1,2024,1180000,38074-25-37,דירה בבית,4,14732
121,מינץ 20,32.4,2024,545000,38101-13-14,דירה בבית,2,16821
122,יא הספורטאים 20,130,2024,1892000,38020-38-52,דירה בבית,5,14554
123,בני אור 21,81.4,2024,720000,38020-14-14,דירה בבית,4,8845
124,ביאליק 11,55.6,2024,1100000,38074-16-21,דירה בבית,3,19784
125,ביאליק 9,55.6,2024,1213000,38074-15-19,דירה בבית,3,21817
126,בני אור 62,66.8,2024,770000,38021-12-3,דירה בבית,3,11527
127,יא הספורטאים 20,130,2024,1926000,38020-38-53,דירה בבית,5,14815
128,המשחררים 22,89,2024,1050000,38074-133-24,דירה בבית,4,11798
129,בן יהודה 18,93,2024,1100000,38074-22-14,דירה בבית,4,11828
130,מצדה 113,66.7,2024,825000,38101-7-6,דירה בבית,3,12369
131,יא הספורטאים 20,130,2024,1846000,38020-38-54,דירה בבית,5,14200
132,חיים הזז 5,80.1,2024,1120000,38074-25-15,דירה בבית,4,13983
134,בני אור 50,68.4,2024,630000,38021-14-29,דירה בבית,3,9211
135,חזל 102,70,2024,1070000,38071-8-2,דירה בבית,2,15286
137,יא הספורטאים 20,176,2024,2663500,38020-38-55,דירה בבית,5,15134
138,שניאור 8,57.1,2024,1000000,38074-44-3,דירה בבית,3,17513
139,ביאליק 53,85,2024,920000,38074-48-67,דירה בבית,4,10824
140,איינשטיין 10,71.34,2024,1015000,38070-39-4,דירה בבית,4,14228
141,שמעוני 8,93,2024,1020000,38074-6-4,דירה בבית,4,10968
142,יא הספורטאים 20,130,2024,1836000,38020-38-56,דירה בבית,5,14123
143,מצדה 41,58.9,2024,897000,38075-12-10,דירה בבית,3,15229
144,יא הספורטאים 20,108,2024,1691000,38020-38-57,דירה בבית,4,15657
146,חיים הזז 4,109.9,2024,1600000,38074-136-24,דירה בבית,4,14559
147,שמשון 10,80.5,2024,740000,38021-31-12,דירה בבית,4,9193
148,בני אור 7,68.4,2024,630000,38020-12-11,דירה בבית,3,9211
149,שטרוק 3,39,2024,900000,38071-73-2,דירה בבית,2,23077
150,יא הספורטאים 21,107.93,2024,1650000,38020-35-264,דירה בבית,4,15288
151,יא הספורטאים 20,130,2024,1856500,38020-38-58,דירה בבית,5,14281
152,בן יהודה 14,48.47,2024,1055000,38074-47-11,דירה בבית,3,21766
154,מצדה 15,73.05,2024,1080000,38075-99-67,דירה בבית,4.5,14784
155,בני אור 66,73.6,2024,740000,38021-11-22,דירה בבית,3.5,10054
157,יא הספורטאים 20,130,2024,1871000,38020-38-59,דירה בבית,5,14392
159,יא הספורטאים 20,108,2024,1672000,38020-38-60,דירה בבית,4,15481
160,בצלאל 30,48,2024,920000,38071-67-12,דירה בבית,3,19167
162,בצלאל 6,68.8,2024,1100000,38071-82-7,דירה בבית,4,15988
163,מצדה 9,73.05,2024,1065000,38075-99-24,דירה בבית,4,14579
164,ביאליק 1,67.3,2024,970000,38074-1-1,דירה בבית,4,14413
165,בני אור 50,66.9,2024,620000,38021-14-32,דירה בבית,3,9268
166,יא הספורטאים 20,130,2024,1951000,38020-38-61,דירה בבית,5,15008
167,המשחררים 32,71.5,2024,880000,38071-170-20,דירה בבית,3,12308
168,כהן יעקב 15,115,2024,1950000,38074-146-39,דירה בבית,5,16957
172,יא הספורטאים 20,108,2024,1686000,38020-38-63,דירה בבית,4,15611
173,מינץ 4,81.4,2024,958000,38101-10-29,דירה בבית,4,11769
174,יא הספורטאים 20,108,2024,1731000,38020-38-64,דירה בבית,4,16028
175,ביאליק 15,33.7,2024,700000,38074-18-46,דירה בבית,2,20772
176,יא הספורטאים 20,100,2024,1645000,38020-38-65,דירה בבית,4,16450
179,מינץ 32,44.4,2024,510000,38101-15-42,דירה בבית,2,11486
180,מצדה 9,64.54,2024,1100000,38075-99-27,דירה בבית,3,17044
181,יא הספורטאים 20,130,2024,1896000,38020-38-68,דירה בבית,5,14585
182,בצלאל 29,90,2024,1210000,38057-34-3,דירה בבית,4,13444
184,הוברמן 8,160,2024,1650000,38071-86-6,דירה בבית,6,10313
185,מצדה 41,58.9,2024,1050000,38075-12-33,דירה בבית,3,17827
186,ביאליק 53,64,2024,1025000,38074-48-24,דירה בבית,4,16016
187,שמשון 16,62.1,2024,665000,38021-30-26,דירה בבית,3,10709
188,יא הספורטאים 20,108,2024,1724500,38020-38-69,דירה בבית,4,15968
189,מצדה 59,100.7,2024,980000,38085-29-28,דירה בבית,5,9732
190,יא הספורטאים 21,99.57,2024,1610000,38020-35-150,דירה בבית,4,16170
192,המשחררים 26,76,2024,1070000,38074-134-43,דירה בבית,3.5,14079
193,ביאליק 7,42.6,2024,775000,38074-11-12,דירה בבית,3,18192
194,טשרניחובסקי 10,48,2024,950000,38070-70-31,דירה בבית,3,19792
195,בני אור 24,89.2,2024,820000,38128-20-11,דירה בבית,4,9193
196,פרופ' אברהם מחרז 12,108,2024,1640000,38020-48-142,דירה בבית,4,15185
197,יא הספורטאים 20,108,2024,1726000,38020-38-70,דירה בבית,4,15981
200,מצדה 25,58.9,2024,940000,38075-10-22,דירה בבית,3,15959
201,בן יהודה 4,53.1,2024,1120000,38074-49-10,דירה בבית,3,21092
202,מצדה 19,58.9,2024,1125000,38075-9-9,דירה בבית,3,19100
203,בני אור 36,89.1,2024,920000,38020-7-6,דירה בבית,4,10325
204,בן יהודה 9,77.83,2024,900000,38074-12-17,דירה בבית,4,11564
205,מינץ 26,56.2,2024,800000,38101-14-6,דירה בבית,3,14235
206,מצדה 15,73.05,2024,1250000,38075-99-80,דירה בבית,3.5,17112
207,מצדה 73,68.4,2024,770000,38085-25-12,דירה בבית,3,11257
208,פרופ' אברהם מחרז 12,130,2024,1845000,38020-48-143,דירה בבית,5,14192
