city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
באר שבע,נחל בקע,1,באר שבע,נחל בקע,יעקב חמזה 37,60,2025,1090000,38305-31-1,דירה בבית,3,18167
באר שבע,נחל בקע,2,באר שבע,נחל בקע,אפרים די-זהב 39,59,2025,1200000,38307-28-1,דירה בבית,3,20339
באר שבע,נחל בקע,3,באר שבע,נחל בקע,יצחק ויטנברג 8,130,2025,1775000,38316-29-1,דירה בבית,4,13654
באר שבע,נחל בקע,4,באר שבע,נחל בקע,חמדה וצבי זינדר 5,65,2025,1290000,38310-60-1,דירה בבית,3,19846
באר שבע,נחל בקע,5,באר שבע,נחל בקע,ארבע הגיבורות 11,153,2025,2390000,38317-31-1,דירה בבית,5,15621
באר שבע,נחל בקע,6,באר שבע,נחל בקע,אפרים די-זהב 1,133,2025,1500000,38308-37-1,קוטג' חד משפחתי,5,11278
באר שבע,נחל בקע,8,באר שבע,נחל בקע,חנוך גיבתון 9,60,2025,1300000,38310-40-3,דירה בבית,3,21667
באר שבע,נחל בקע,9,באר שבע,נחל בקע,הצנחנים 30,118,2025,1610000,38316-58-1,דירה בבית,4,13644
באר שבע,נחל בקע,10,באר שבע,נחל בקע,מרק לברי 32,104,2024,1400000,38305-38-2,דירה בבית,5,13462
באר שבע,נחל בקע,11,באר שבע,נחל בקע,רות סמילן 37,59,2024,1150000,38305-43-1,דירה בבית,3,19492
באר שבע,נחל בקע,12,באר שבע,נחל בקע,תלמה (ילין) 56,64,2024,1145000,38303-27-1,קוטג' דו משפחתי,3,17891
באר שבע,נחל בקע,13,באר שבע,נחל בקע,אפרים די-זהב 51,245,2024,1700000,38307-12-4,דירה בבית,5,6939
באר שבע,נחל בקע,14,באר שבע,נחל בקע,רפאל רייס 18,59,2024,1240000,38312-43-2,קוטג' חד משפחתי,3,21017
באר שבע,נחל בקע,15,באר שבע,נחל בקע,מרק לברי 23,105,2024,1730000,38304-3-2,קוטג' דו משפחתי,4.5,16476
באר שבע,נחל בקע,16,באר שבע,נחל בקע,חנוך גיבתון 30,110,2024,1510000,38310-2-1,קוטג' דו משפחתי,4,13727
באר שבע,נחל בקע,17,באר שבע,נחל בקע,משה חובב 4,60,2024,545000,38302-41-1,קוטג' דו משפחתי,3,9083
באר שבע,נחל בקע,18,באר שבע,נחל בקע,מרק לברי 12,60,2024,713000,38306-60-1,קוטג' דו משפחתי,3,11883
באר שבע,נחל בקע,19,באר שבע,נחל בקע,ידידיה אדמון 40,60,2024,709000,38301-32-1,דירה בבית,3,11817
באר שבע,נחל בקע,20,באר שבע,נחל בקע,מנחם אבידום 9,60,2024,640000,38304-67-1,קוטג' דו משפחתי,3,10667
באר שבע,נחל בקע,21,באר שבע,נחל בקע,יצחק ויטנברג 19,60,2024,1020000,38316-75-1,דירה בבית,3,17000
באר שבע,נחל בקע,22,באר שבע,נחל בקע,פאול בן חיים 34,60,2024,1190000,38307-24-1,דירה בבית,3,19833
באר שבע,נחל בקע,23,באר שבע,נחל בקע,מנחם אבידום 4,59,2024,800000,38304-57-1,קוטג' דו משפחתי,3,13559
באר שבע,נחל בקע,24,באר שבע,נחל בקע,פרץ גולדשטיין 17,59,2024,1155000,38053-56-1,קוטג' חד משפחתי,3,19576
באר שבע,נחל בקע,25,באר שבע,נחל בקע,אלכסנדר בוסקוביץ 28,60,2024,653000,38301-61-1,דירה בבית,3,10883
באר שבע,נחל בקע,26,באר שבע,נחל בקע,משה חובב 39,75,2024,1330000,38306-22-2,דירה בבית,3,17733
באר שבע,נחל בקע,27,באר שבע,נחל בקע,תלמה (ילין) 25,60,2024,508000,38302-91-1,קוטג' דו משפחתי,3,8467
באר שבע,נחל בקע,28,באר שבע,נחל בקע,0,209,2024,3200000,38312-29-2,קוטג' דו משפחתי,6,15311
באר שבע,נחל בקע,29,באר שבע,נחל בקע,אריה וילנר 8,70,2024,1000000,38314-21-2,דירה בבית,3,14286
באר שבע,נחל בקע,30,באר שבע,נחל בקע,מרק לברי 9,140,2024,1600000,38304-96-1,קוטג' דו משפחתי,5,11429
באר שבע,נחל בקע,31,באר שבע,נחל בקע,רות סמילן 20,60,2024,476000,38308-64-1,קוטג' דו משפחתי,3,7933
באר שבע,נחל בקע,34,באר שבע,נחל בקע,חנוך גיבתון 14,128,2023,1715000,38310-10-2,דירה בבית,5,13398
באר שבע,נחל בקע,35,באר שבע,נחל בקע,אפרים די-זהב 15,100,2023,1320000,38308-60-1,דירה בבית,3,13200
באר שבע,נחל בקע,36,באר שבע,נחל בקע,יעקב חמזה 22,60,2023,634000,38306-16-1,דירה בבית,3,10567
באר שבע,נחל בקע,37,באר שבע,נחל בקע,מנחם אבידום 48,61,2023,589000,38303-19-1,קוטג' דו משפחתי,3,9656
באר שבע,נחל בקע,38,באר שבע,נחל בקע,אפרים די-זהב 45,131,2023,1400000,38307-18-1,קוטג' דו משפחתי,6,10687
באר שבע,נחל בקע,39,באר שבע,נחל בקע,משה חובב 27,60,2023,640000,38306-40-1,דירה בבית,3,10667
באר שבע,נחל בקע,40,באר שבע,נחל בקע,0,79,2023,1530000,38305-14-3,קוטג' דו משפחתי,3,19367
באר שבע,נחל בקע,41,באר שבע,נחל בקע,רפאל רייס 11,61,2023,525000,38312-60-1,דירה בבית,3,8607
באר שבע,נחל בקע,42,באר שבע,נחל בקע,מנחם אבידום 51,61,2023,458000,38303-30-1,דירה בבית,3,7508
באר שבע,נחל בקע,43,באר שבע,נחל בקע,משה חובב 41,61,2023,538000,38306-21-1,קוטג' דו משפחתי,3,8820
באר שבע,נחל בקע,44,באר שבע,נחל בקע,פאול בן חיים 8,61,2023,447000,38303-51-1,קוטג' דו משפחתי,3,7328
באר שבע,נחל בקע,45,באר שבע,נחל בקע,ידידיה אדמון 26,100,2022,1490000,38301-109-2,דירת גן,3,14900
