מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
1,בית שאן,מרכז העיר,שאול המלך 86,83.8,2025,870000,22918-15-16,דירה בבית,4,10382
2,בית שאן,מרכז העיר,יהושע אביטן 6,128.5,2025,1200000,22918-11-3,דירה בבית,7,9339
3,בית שאן,מרכז העיר,השישה 18,98.4,2025,850000,22918-48-11,דירה בבית,5,8638
4,בית שאן,מרכז העיר,הרצל 19,99.2,2025,836000,22918-17-9,דירה בבית,4,8427
5,בית שאן,מרכז העיר,הארבעה 25,125.3,2025,745000,22923-47-22,דירה בבית,4,5946
6,בית שאן,מרכז העיר,השישה 18,84.7,2025,790000,22918-48-15,דירה בבית,4,9327
7,בית שאן,מרכז העיר,שאול המלך 92,72.5,2025,620000,22918-12-27,דירה בבית,4,8552
8,בית שאן,מרכז העיר,הארבעה 25,61.8,2024,525000,22923-47-27,דירה בבית,3,8495
9,בית שאן,מרכז העיר,הארבעה 15,126.1,2024,910000,22923-46-9,דירה בבית,5,7216
10,בית שאן,מרכז העיר,הארבעה 37,137.1,2024,1280000,22923-48-44,דירה בבית,6,9336
11,בית שאן,מרכז העיר,הארבעה 39,70.6,2024,730000,22923-49-31,דירה בבית,4,10340
12,בית שאן,מרכז העיר,שאול המלך 84,62.7,2024,680000,22918-16-7,דירה בבית,4,10845
13,בית שאן,מרכז העיר,0,120,2024,1100000,22923-7-48,דירה בבית,4,9167
14,בית שאן,מרכז העיר,0,122,2024,1300000,22923-7-47,דירה בבית,5,10656
15,בית שאן,מרכז העיר,שאול המלך 86,83.8,2024,760000,22918-15-18,דירה בבית,4,9069
16,בית שאן,מרכז העיר,הארבעה 19,61.6,2024,670000,22923-46-32,דירה בבית,3,10877
17,בית שאן,מרכז העיר,הארבעה 41,62.2,2024,670000,22923-49-23,דירה בבית,3,10772
18,בית שאן,מרכז העיר,הארבעה 33,80.7,2024,720000,22923-48-21,דירה בבית,4,8922
19,בית שאן,מרכז העיר,הארבעה 21,62,2024,350000,22923-46-56,דירה בבית,3,5645
20,בית שאן,מרכז העיר,שאול המלך 86,63.8,2024,685000,22918-15-12,דירה בבית,4,10737
22,בית שאן,מרכז העיר,הארבעה 23,63.8,2024,520000,22923-47-14,דירה בבית,3,8150
24,בית שאן,מרכז העיר,שאול המלך 86,82.7,2024,660000,22918-15-11,דירה בבית,4,7981
26,בית שאן,מרכז העיר,הארבעה 15,127.5,2024,830000,22923-46-6,דירה בבית,5,6510
27,בית שאן,מרכז העיר,הארבעה 31,62.2,2024,700000,22923-48-3,דירה בבית,3,11254
28,בית שאן,מרכז העיר,הארבעה 29,62.2,2024,620000,22923-47-47,דירה בבית,3,9968
29,בית שאן,מרכז העיר,רמז 11,78.6,2023,700000,22918-40-8,דירה בבית,4,8906
31,בית שאן,מרכז העיר,הארבעה 27,127.4,2023,820000,22923-47-38,דירה בבית,5,6436
33,בית שאן,מרכז העיר,הארבעה 33,61,2023,540000,22923-48-27,דירה בבית,3,8852
35,בית שאן,מרכז העיר,הארבעה 19,79.4,2023,600000,22923-46-33,דירה בבית,4,7557
36,בית שאן,מרכז העיר,שאול המלך 92,72.5,2023,650000,22918-12-16,דירה בבית,4,8966
37,בית שאן,מרכז העיר,הארבעה 29,61.8,2023,475000,22923-47-55,דירה בבית,3,7686
38,בית שאן,מרכז העיר,הארבעה 39,81.8,2023,535000,22923-49-12,דירה בבית,3,6540
41,בית שאן,מרכז העיר,רמז 11,113.1,2023,750000,22918-40-10,דירה בבית,5,6631
42,בית שאן,מרכז העיר,הארבעה 17,70.4,2023,645000,22923-46-20,דירה בבית,4,9162
43,בית שאן,מרכז העיר,הארבעה 33,62.1,2023,630000,22923-48-19,דירה בבית,3,10145
44,בית שאן,מרכז העיר,הארבעה 39,137.7,2023,1172000,22923-49-1,דירת גן,5,8511
47,בית שאן,מרכז העיר,הארבעה 23,79.2,2023,700000,22923-47-5,דירה בבית,4,8838
48,בית שאן,מרכז העיר,השישה 17,96,2023,800000,22918-48-4,דירה בבית,5,8333
49,בית שאן,מרכז העיר,רמז 9,75.35,2023,630000,22918-42-12,דירה בבית,4,8361
50,בית שאן,מרכז העיר,הארבעה 39,126.9,2023,820000,22923-49-6,דירת גן,5,6462
51,בית שאן,מרכז העיר,שאול המלך 86,83.8,2023,720000,22918-15-6,דירה בבית,4,8592
52,בית שאן,מרכז העיר,שאול המלך 92,72.5,2023,685000,22918-12-10,דירה בבית,4,9448
53,בית שאן,מרכז העיר,רמז 13,108.55,2023,635000,22918-41-12,דירה בבית,4,5850
54,בית שאן,מרכז העיר,הארבעה 39,61.8,2023,610000,22923-49-35,דירה בבית,3,9871
55,בית שאן,מרכז העיר,הארבעה 21,61.6,2023,440000,22923-46-55,דירה בבית,3,7143
56,בית שאן,מרכז העיר,הארבעה 23,93.3,2023,815000,22923-47-2,דירת גן,4,8735
57,בית שאן,מרכז העיר,0,120,2023,1230000,22923-7-46,דירה בבית,4,10250
58,בית שאן,מרכז העיר,הרצל 19,99.2,2023,785000,22918-17-10,דירה בבית,4,7913
59,בית שאן,מרכז העיר,רמז 10,76,2023,730000,22872-143-17,דירה בבית,3,9605
60,בית שאן,מרכז העיר,הארבעה 33,63.8,2023,516000,22923-48-24,דירה בבית,3,8088
61,בית שאן,מרכז העיר,הארבעה 25,126.1,2023,830000,22923-47-17,דירה בבית,5,6582
62,בית שאן,מרכז העיר,שאול המלך 92,71,2023,480000,22918-12-17,דירה בבית,3,6761
63,בית שאן,מרכז העיר,רמז 9,75.35,2023,665000,22918-42-6,דירה בבית,4.5,8825
64,בית שאן,מרכז העיר,הארבעה 41,78.1,2022,420000,22923-49-28,דירה בבית,4,5378
65,בית שאן,מרכז העיר,הארבעה 35,61.8,2022,510000,22923-48-32,דירה בבית,3,8252
66,בית שאן,מרכז העיר,הארבעה 37,64.4,2022,505000,22923-48-54,דירה בבית,3,7842
67,בית שאן,מרכז העיר,שאול המלך 92,71,2022,370000,22918-12-23,דירה בבית,4,5211
68,בית שאן,מרכז העיר,שאול המלך 96,112.9,2022,900000,22918-4-5,דירה בבית,5,7972
69,בית שאן,מרכז העיר,הארבעה 33,64.4,2022,485000,22923-48-26,דירה בבית,3,7531
70,בית שאן,מרכז העיר,0,140,2022,1290000,22923-7-45,דירה בבית,5,9214
71,בית שאן,מרכז העיר,שאול המלך 96,107.6,2022,730000,22918-4-2,דירה בבית,5,6784
72,בית שאן,מרכז העיר,שאול המלך 84,65,2022,715000,22918-16-6,דירה בבית,4,11000
76,בית שאן,מרכז העיר,הארבעה 27,114,2022,830000,22923-47-39,דירה בבית,6,7281
77,בית שאן,מרכז העיר,הארבעה 19,61.6,2022,250000,22923-46-42,דירה בבית,3,4058
78,בית שאן,מרכז העיר,שאול המלך 90,64.4,2022,555000,22918-13-10,דירה בבית,3,8618
79,בית שאן,מרכז העיר,הארבעה 33,80.7,2022,660000,22923-48-17,דירה בבית,4,8178
80,בית שאן,מרכז העיר,יהושע אביטן 3,75.7,2022,420000,22918-36-9,דירה בבית,3,5548
81,בית שאן,מרכז העיר,הארבעה 27,114.1,2022,620000,22923-47-40,דירה בבית,5,5434
82,בית שאן,מרכז העיר,שאול המלך 86,105.5,2022,630000,22918-15-3,דירה בבית,5,5972
83,בית שאן,מרכז העיר,הארבעה 35,77.6,2022,360000,22923-48-42,דירה בבית,3,4639
84,בית שאן,מרכז העיר,הארבעה 17,62.6,2022,500000,22923-46-28,דירה בבית,3,7987
85,בית שאן,מרכז העיר,שאול המלך 100,82.2,2022,710000,22918-47-3,דירה בבית,4,8637
86,בית שאן,מרכז העיר,הארבעה 15,95.5,2022,560000,22923-46-13,דירה בבית,4,5864
87,בית שאן,מרכז העיר,הרצל 19,99.2,2022,720000,22918-17-6,דירה בבית,4,7258
88,בית שאן,מרכז העיר,רמז 9,109.3,2022,800000,22918-42-7,דירה בבית,5,7319
89,בית שאן,מרכז העיר,רמז 9,75.35,2022,575000,22918-42-8,דירה בבית,4,7631
90,בית שאן,מרכז העיר,הארבעה 29,125.2,2022,580000,22923-47-54,דירה בבית,4,4633
91,בית שאן,מרכז העיר,0,130,2022,1000000,22923-7-44,דירה בבית,4,7692
93,בית שאן,מרכז העיר,השישה 16,76.4,2022,610000,22918-9-4,דירה בבית,4,7984
94,בית שאן,מרכז העיר,שאול המלך 100,116.6,2022,590000,22918-47-4,דירה בבית,4,5060
95,בית שאן,מרכז העיר,0,150,2022,700000,22923-7-43,דירה בבית,5,4667
96,בית שאן,מרכז העיר,0,130,2022,700000,22923-7-42,דירה בבית,5,5385
97,בית שאן,מרכז העיר,השישה 18,76.7,2022,96000,22918-48-14,דירה בבית,4,1252
98,בית שאן,מרכז העיר,השישה 13,127.11,2022,725000,22918-65-7,דירה בבית,5,5704
99,בית שאן,מרכז העיר,שאול המלך 88,63.8,2021,408000,22918-14-6,דירה בבית,3,6395
100,בית שאן,מרכז העיר,השישה 17,102,2021,620000,22918-48-7,דירה בבית,5,6078
101,בית שאן,מרכז העיר,יהושע אביטן 3,85.8,2021,460000,22918-36-5,דירה בבית,4,5361
102,בית שאן,מרכז העיר,רמז 11,78.6,2021,380000,22918-40-12,דירה בבית,4,4835
103,בית שאן,מרכז העיר,הארבעה 29,62.2,2021,400000,22923-47-51,דירה בבית,3,6431
104,בית שאן,מרכז העיר,שאול המלך 88,83.8,2021,590000,22918-14-17,דירה בבית,4,7041
105,בית שאן,מרכז העיר,הארבעה 19,62,2021,360000,22923-46-41,דירה בבית,3,5806
106,בית שאן,מרכז העיר,הרצל 19,81.4,2021,665000,22918-17-5,דירה בבית,5,8170
107,בית שאן,מרכז העיר,שאול המלך 86,82.7,2021,650000,22918-15-15,דירה בבית,4,7860
108,בית שאן,מרכז העיר,שאול המלך 92,72.5,2021,420000,22918-12-8,דירה בבית,4,5793
109,בית שאן,מרכז העיר,הארבעה 31,62.1,2021,510000,22923-48-7,דירה בבית,3,8213
110,בית שאן,מרכז העיר,הארבעה 21,140.3,2021,865000,22923-46-43,דירת גן,5,6165
111,בית שאן,מרכז העיר,רמז 7,127.4,2021,650000,22918-43-10,דירה בבית,6,5102
112,בית שאן,מרכז העיר,הארבעה 35,62.2,2021,300000,22923-48-41,דירה בבית,3,4823
113,בית שאן,מרכז העיר,שאול המלך 88,83.8,2021,512000,22918-14-8,דירה בבית,4,6110
114,בית שאן,מרכז העיר,שאול המלך 92,88.4,2021,550000,22918-12-5,דירה בבית,4,6222
115,בית שאן,מרכז העיר,שאול המלך 92,71,2021,440000,22918-12-18,דירה בבית,4,6197
116,בית שאן,מרכז העיר,0,135,2021,700000,22923-7-39,דירה בבית,5,5185
117,בית שאן,מרכז העיר,0,125,2021,880000,22923-7-38,דירה בבית,4,7040
118,בית שאן,מרכז העיר,הארבעה 21,61.6,2021,440000,22923-46-53,דירה בבית,3,7143
119,בית שאן,מרכז העיר,הארבעה 15,71.1,2021,520000,22923-46-3,דירה בבית,3,7314
120,בית שאן,מרכז העיר,השישה 13,119.11,2021,613000,22918-65-8,דירה בבית,6,5147
122,בית שאן,מרכז העיר,הארבעה 17,79,2020,650000,22923-46-18,דירה בבית,4,8228
123,בית שאן,מרכז העיר,הארבעה 25,112,2020,480000,22923-47-26,דירה בבית,4,4286
124,בית שאן,מרכז העיר,רמז 7,78.6,2020,401000,22918-43-5,דירה בבית,4,5102
125,בית שאן,מרכז העיר,הארבעה 33,127.5,2020,740000,22923-48-18,דירה בבית,4,5804
126,בית שאן,מרכז העיר,השישה 14,82.2,2020,765000,22918-10-6,דירה בבית,4,9307
127,בית שאן,מרכז העיר,0,140,2020,870000,22923-7-37,דירה בבית,5,6214
128,בית שאן,מרכז העיר,הארבעה 33,62.1,2020,360000,22923-48-23,דירה בבית,3,5797
129,בית שאן,מרכז העיר,הארבעה 37,61.6,2020,300000,22923-48-55,דירה בבית,3,4870
131,בית שאן,מרכז העיר,השישה 14,76.4,2020,865000,22918-10-4,דירה בבית,4,11322
132,בית שאן,מרכז העיר,הארבעה 21,81.1,2020,360000,22923-46-46,דירה בבית,4,4439
134,בית שאן,מרכז העיר,רמז 3,124,2020,670000,22872-143-15,דירה בבית,5,5403
135,בית שאן,מרכז העיר,0,130,2020,840000,22923-7-33,דירה בבית,5,6462
136,בית שאן,מרכז העיר,שאול המלך 84,82,2020,630000,22918-16-13,דירה בבית,5,7683
137,בית שאן,מרכז העיר,שאול המלך 98,87.9,2020,650000,22918-3-8,דירה בבית,4,7395
138,בית שאן,מרכז העיר,שאול המלך 86,82.7,2019,500000,22918-15-5,דירה בבית,5,6046
139,בית שאן,מרכז העיר,0,124,2019,800000,22923-7-32,דירה בבית,5,6452
140,בית שאן,מרכז העיר,הארבעה 21,62.2,2019,300000,22923-46-51,דירה בבית,3,4823
141,בית שאן,מרכז העיר,רמז 7,115.5,2019,510000,22918-43-3,דירה בבית,5,4416
142,בית שאן,מרכז העיר,שאול המלך 90,63.1,2019,425000,22918-13-5,דירה בבית,3,6735
143,בית שאן,מרכז העיר,שאול המלך 92,72.5,2019,650000,22918-12-26,דירה בבית,4,8966
144,בית שאן,מרכז העיר,רמז 3,76,2019,585000,22872-143-14,דירה בבית,3,7697
145,בית שאן,מרכז העיר,שאול המלך 92,71,2019,340000,22918-12-11,דירה בבית,4,4789
146,בית שאן,מרכז העיר,שאול המלך 84,62.7,2019,210000,22918-16-9,דירה בבית,4,3349
147,בית שאן,מרכז העיר,שאול המלך 84,131,2019,640000,22918-16-3,דירה בבית,5,4885
148,בית שאן,מרכז העיר,שאול המלך 90,113,2019,605000,22918-13-13,דירה בבית,5,5354
149,בית שאן,מרכז העיר,שאול המלך 90,107.8,2019,620000,22918-13-16,דירה בבית,4,5751
150,בית שאן,מרכז העיר,רמז 9,108.85,2019,730000,22918-42-11,דירה בבית,5,6706
151,בית שאן,מרכז העיר,0,140,2019,850000,22923-7-31,דירה בבית,5,6071
152,בית שאן,מרכז העיר,שאול המלך 98,61.1,2018,330000,22918-3-3,דירה בבית,4,5401
153,בית שאן,מרכז העיר,שאול המלך 88,63.8,2018,235000,22918-14-11,דירה בבית,4,3683
154,בית שאן,מרכז העיר,0,140,2018,860000,22923-7-49,דירה בבית,5,6143
155,בית שאן,מרכז העיר,הארבעה 25,62.2,2018,375000,22923-47-23,דירה בבית,3,6029
156,בית שאן,מרכז העיר,הארבעה 17,64.4,2018,385000,22923-46-23,דירה בבית,3,5978
157,בית שאן,מרכז העיר,0,150,2018,750000,22923-7-29,דירה בבית,5,5000
158,בית שאן,מרכז העיר,רמז 10,70,2018,580000,22872-143-13,דירה בבית,3,8286
159,בית שאן,מרכז העיר,הארבעה 23,62.2,2018,490000,22923-47-3,דירה בבית,3,7878
160,בית שאן,מרכז העיר,רמז 10,110,2018,600000,22872-143-12,דירה,4,5455
161,בית שאן,מרכז העיר,0,123,2018,860000,22923-7-50,דירה בבית,5,6992
162,בית שאן,מרכז העיר,הארבעה 37,81.1,2018,640000,22923-48-50,דירה בבית,5,7891
163,בית שאן,מרכז העיר,שאול המלך 92,72.5,2018,455000,22918-12-25,דירה בבית,4,6276
164,בית שאן,מרכז העיר,הארבעה 29,128,2018,615000,22923-47-45,דירה בבית,5,4805
165,בית שאן,מרכז העיר,רמז 10,106,2018,580000,22872-143-11,דירה בבית,4,5472
166,בית שאן,מרכז העיר,הארבעה 35,127.5,2018,550000,22923-48-38,דירה בבית,5,4314
167,בית שאן,מרכז העיר,הארבעה 39,61.9,2018,360000,22923-49-11,דירה בבית,3,5816
168,בית שאן,מרכז העיר,שאול המלך 86,63.1,2018,585000,22918-15-17,דירה בבית,4,9271
169,בית שאן,מרכז העיר,0,140,2018,560000,22923-7-52,דירה בבית,5,4000
170,בית שאן,מרכז העיר,0,122,2018,560000,22923-7-26,דירה,5,4590
171,בית שאן,מרכז העיר,הארבעה 37,61.8,2018,310000,22923-48-53,דירה בבית,3,5016
173,בית שאן,מרכז העיר,0,122,2017,860000,22923-7-53,דירה בבית,5,7049
174,בית שאן,מרכז העיר,שאול המלך 90,63.1,2017,557000,22918-13-4,דירה בבית,4,8827
175,בית שאן,מרכז העיר,הארבעה 21,61.6,2017,515000,22923-46-48,דירה בבית,3,8360
176,בית שאן,מרכז העיר,הרצל 19,81.4,2017,280000,22918-17-15,דירה בבית,5,3440
177,בית שאן,מרכז העיר,יהושע אביטן 3,85.8,2017,550000,22918-36-4,דירה בבית,4,6410
178,בית שאן,מרכז העיר,רמז 11,113.1,2017,560000,22918-40-4,דירה בבית,5,4951
180,בית שאן,מרכז העיר,הארבעה 23,62.2,2017,279000,22923-47-13,דירה בבית,3,4486
181,בית שאן,מרכז העיר,הארבעה 15,70.8,2017,589000,22923-46-8,דירה בבית,4,8319
182,בית שאן,מרכז העיר,רמז 3,172,2016,779000,22872-143-18,דירה בבית,5,4529
184,בית שאן,מרכז העיר,הארבעה 39,125.9,2016,602000,22923-49-37,דירה בבית,5,4782
