מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
192,0,90,2016,1447000,5203-3-217,דירה,4,16078
193,העלייה 3,113.1,2016,1447000,5203-10-8,דירה בבית,4,12794
194,0,140,2016,1780000,5203-3-194,דירה,6,12714
195,העלייה 3,153.5,2016,1780000,5203-10-25,דירה בבית,6,11596
196,העלייה 3,130.8,2016,1573000,5203-10-108,דירה בבית,5,12026
197,העלייה 3,139.8,2016,1774000,5203-10-50,דירה בבית,5,12690
198,0,110,2016,1573000,5203-3-82,דירה,5,14300
199,0,120,2016,1775000,5203-3-81,דירה,5,14792
200,0,112,2016,1671000,5203-3-46,דירה,5,14920
201,0,120,2016,1550000,5203-3-47,דירה,5,12917
202,העלייה 3,108.75,2016,1550000,5203-10-59,דירה בבית,5,14253
203,העלייה 3,130.8,2016,1671000,5203-10-118,דירה בבית,5,12775
204,0,110,2016,1830000,5203-3-251,דירה בבית,4,16636
205,0,110,2016,1582000,5203-3-168,דירה,5,14382
206,העלייה 3,122.35,2016,1582000,5203-10-90,דירה בבית,5,12930
207,0,90,2016,1500000,5203-3-169,דירה,4,16667
208,העלייה 3,113.1,2016,1500000,5203-10-28,דירה בבית,4,13263
209,0,110,2016,1550000,5203-3-230,דירה,5,14091
210,העלייה 3,128.33,2016,1550000,5203-10-95,דירה בבית,5,12078
211,העלייה 3,136.21,2016,1725000,5203-10-113,דירה בבית,5,12664
212,העלייה 3,133.74,2016,1730000,5203-10-114,דירה בבית,5,12936
213,0,115,2016,1518000,5203-3-193,דירה,5,13200
214,0,110,2016,1725000,5203-3-192,דירה,5,15682
215,0,115,2016,1730000,5203-3-191,דירה,5,15043
216,העלייה 3,122.35,2016,1518000,5203-10-85,דירה בבית,5,12407
217,העלייה 3,110,2016,1573000,5203-10-51,דירה בבית,4,14300
218,העלייה 3,127.2,2016,1500000,5203-10-55,דירה בבית,4,11792
219,0,95,2016,1573000,5203-3-53,דירה,4,16558
220,0,95,2016,1500000,5203-3-54,דירה,4,15789
221,0,120,2016,1718000,5203-3-154,דירה,5,14317
222,העלייה 3,118.38,2016,1462000,5203-10-23,דירה בבית,4,12350
223,העלייה 3,133.74,2016,1718000,5203-10-109,דירה בבית,5,12846
224,0,117,2016,1635000,5203-3-141,דירה,5,13974
225,0,90,2016,1462000,5203-3-142,דירה,4,16244
226,העלייה 3,127.5,2016,1635000,5203-10-52,דירה בבית,5,12824
227,0,127,2016,1740000,5203-3-252,דירה בבית,5,13701
228,העלייה 3,127.5,2016,1477000,5203-10-37,דירה בבית,5,11584
229,העלייה 3,118.38,2016,1471000,5203-10-33,דירה בבית,4,12426
230,העלייה 3,134.79,2016,1630000,5203-10-36,דירה בבית,5,12093
231,0,130,2016,1630000,5203-3-72,דירה,5,12538
232,0,118,2016,1477000,5203-3-73,דירה,5,12517
233,0,115,2016,1471000,5203-3-74,דירה,5,12791
234,העלייה 3,128.07,2016,1523000,5203-10-92,דירה בבית,5,11892
235,0,115,2016,1524000,5203-3-44,דירה,5,13252
236,0,120,2016,1642000,5203-3-43,דירה,5,13683
237,העלייה 3,113.1,2016,1480000,5203-10-43,דירה בבית,4,13086
238,0,115,2016,1492000,5203-3-240,דירה,5,12974
239,0,90,2016,1480000,5203-3-241,דירה,4,16444
240,0,118,2016,1446500,5203-3-242,דירה,5,12258
241,העלייה 3,146.34,2016,1580000,5203-10-142,דירה בבית,6,10797
242,0,140,2016,1580000,5203-3-203,דירה,6,11286
244,0,90,2016,1530000,5203-3-9,דירה,4,17000
245,העלייה 3,127.66,2016,1419000,5203-10-158,דירה בבית,5,11115
246,0,110,2016,1420000,5203-3-10,דירה,5,12909
247,העלייה 3,129.99,2016,1550000,5203-10-97,דירה בבית,5,11924
248,0,140,2016,1780000,5203-3-124,דירה,6,12714
249,0,116,2016,1650000,5203-3-125,דירה,5,14224
250,0,110,2016,1550000,5203-3-126,דירה,5,14091
251,העלייה 3,133.74,2016,1650000,5203-10-99,דירה בבית,5,12337
252,העלייה 3,152.24,2016,1780000,5203-10-84,דירה בבית,6,11692
253,0,120,2016,1460000,5203-3-31,דירה,5,12167
254,0,112,2016,1440000,5203-3-32,דירה,5,12857
255,0,115,2016,1522500,5203-3-30,דירה,5,13239
256,העלייה 3,122.35,2016,1440000,5203-10-226,דירה בבית,5,11770
257,0,117,2016,1525000,5203-3-29,דירה,5,13034
258,העלייה 3,126.86,2016,1522000,5203-10-82,דירה בבית,5,11997
259,העלייה 3,127.66,2016,1520000,5203-10-153,דירה בבית,5,11907
260,0,117,2016,1250000,5203-3-163,דירה,5,10684
261,0,116,2016,1520000,5203-3-151,דירה,5,13103
262,0,90,2016,1250000,5203-3-153,דירה,4,13889
263,העלייה 3,117.58,2016,1466000,5203-10-139,דירה בבית,4,12468
264,0,90,2016,1446000,5203-3-152,דירה,4,16067
265,0,118,2016,1700000,5203-3-120,דירה,5,14407
266,העלייה 3,150.58,2016,1650000,5203-10-277,דירה בבית,6,10958
267,0,140,2016,1650000,5203-3-121,דירה,6,11786
268,העלייה 3,137.92,2016,1700000,5203-10-181,דירה בבית,5,12326
269,העלייה 3,122.35,2016,1440000,5203-10-105,דירה בבית,5,11770
270,0,112,2016,1440000,5203-3-89,דירה,5,12857
271,0,117,2016,1477000,5203-3-88,דירה,5,12624
272,0,110,2016,1620000,5203-3-23,דירה,4,14727
274,העלייה 3,148.3,2016,1640000,5203-10-83,דירה בבית,6,11059
275,0,130,2016,1640315,5203-3-183,דירה,6,12618
276,העלייה 3,133.74,2016,1550000,5203-10-94,דירה בבית,5,11590
277,0,107,2016,1550000,5203-4-1,דירה,5,14486
278,0,110,2016,1519000,5203-4-14,דירה,5,13809
279,העלייה 3,130.14,2016,1570000,5203-10-187,דירה בבית,4.5,12064
280,העלייה 3,122.35,2016,1379000,5203-10-107,דירה בבית,5,11271
281,0,100,2016,1570000,5203-4-11,דירה,4,15700
282,0,120,2016,1379585,5203-4-12,דירה,5,11497
284,העלייה 3,126.84,2016,1430000,5203-10-122,דירה בבית,5,11274
285,0,110,2016,1430500,5203-3-207,דירה,5,13005
286,העלייה 3,149.5,2016,1668000,5203-10-89,דירה בבית,6,11157
287,0,120,2016,1668876,5203-3-206,דירה,6,13907
288,0,111,2016,1850000,5203-3-145,דירה,4,16667
289,0,90,2016,1451747,5203-3-26,דירה,4,16131
290,העלייה 3,117.58,2016,1451000,5203-10-207,דירה בבית,4,12341
291,העלייה 3,135.22,2016,1545000,5203-10-98,דירה בבית,5,11426
292,0,110,2016,1545000,5203-3-105,דירה,5,14045
293,0,107,2016,1383000,5203-3-92,דירה,5,12925
294,העלייה 3,100,2016,1525000,5203-10-119,דירה בבית,4,15250
295,0,110,2016,1525459,5203-3-83,דירה,5,13868
296,העלייה 3,108.75,2016,1401000,5203-10-127,דירה בבית,5,12883
297,העלייה 3,122.35,2016,1374000,5203-10-102,דירה בבית,5,11230
298,העלייה 3,153.67,2016,1650000,5203-10-88,דירה בבית,6,10737
299,העלייה 3,122.35,2016,1389000,5203-10-117,דירה בבית,5,11353
300,0,110,2016,1390500,5203-3-58,דירה,5,12641
301,0,140,2016,1650860,5203-3-56,דירה,6,11792
302,0,114,2016,1401429,5203-3-57,דירה,5,12293
303,0,105,2016,1374124,5203-3-59,דירה,5,13087
304,0,110,2016,1449430,5203-3-35,דירה,5,13177
305,העלייה 3,127.79,2016,1449000,5203-10-216,דירה בבית,5,11339
306,0,110,2016,1374124,5203-3-235,דירה,5,12492
307,העלייה 3,122.35,2016,1395000,5203-10-188,דירה בבית,5,11402
308,העלייה 3,122.35,2016,1374000,5203-10-100,דירה בבית,5,11230
309,0,118,2016,1395968,5203-3-234,דירה,5,11830
311,העלייה 3,126.63,2016,1380000,5203-10-77,דירה בבית,5,10898
312,0,115,2016,1380155,5203-3-170,דירה,5,12001
313,0,118,2016,1411360,5203-3-157,דירה,5,11961
314,0,120,2016,1422552,5203-3-156,דירה,5,11855
315,0,140,2016,1673387,5203-3-84,דירה,6,11953
316,0,118,2016,1346819,5203-3-85,דירה,5,11414
317,העלייה 3,146.34,2016,1673000,5203-10-206,דירה בבית,6,11432
