מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
155,רשי 9,146,2016,1800000,5545-6-1,דירה בבית,6,12329
156,בנימין 24,235,2016,2529000,5544-94-1,דירה בבית,6,10762
157,0,114,2016,1440000,5546-10-7,דירה בבית,4,12632
158,0,253,2016,2530000,5544-71-20,חד משפחתי (וילה),5,10000
160,0,235,2016,2300000,5544-71-19,חד משפחתי (וילה),6,9787
161,0,189,2016,2200000,5544-71-49,דירה בבית,7,11640
162,רשי 1,112,2016,1299000,5546-1-3,דירה בבית,4,11598
163,0,239,2016,2300000,5544-71-18,חד משפחתי (וילה),5,9623
165,בנימין 4,230,2016,2800000,5544-116-1,דירה בבית,5,12174
166,בנימין 4,231,2016,2800000,5544-115-1,דירה בבית,5,12121
167,0,235,2016,2800000,5544-71-17,חד משפחתי (וילה),5,11915
168,0,235,2016,2500000,5544-71-50,דירה בבית,5,10638
169,0,239,2016,2500000,5544-71-16,חד משפחתי (וילה),5,10460
170,גד 11,123.2,2016,1800000,5546-81-9,דירה בבית,5,14610
171,0,134,2016,1515000,5546-49-5,דירה בבית,5,11306
172,גד 9,122.9,2016,1700000,5546-80-14,דירה בבית,5,13832
173,גד 5,115.1,2016,1524000,5546-78-11,דירה בבית,5,13241
174,0,125,2016,2300000,5544-71-51,חד משפחתי (וילה),6,18400
175,0,116,2016,1755000,5546-10-8,דירה בבית,4,15129
176,גד 9,124.6,2016,1597000,5546-80-13,דירה בבית,5,12817
177,0,189,2016,2300000,5544-71-14,חד משפחתי (וילה),6,12169
178,ראובן 24,100,2016,2300000,5544-140-1,דירה בבית,5,23000
179,בן אליעזר 2,60.9,2016,945000,5240-57-24,דירה בבית,3,15517
180,ראובן 14,114,2016,1390000,5545-8-9,דירה בבית,4,12193
181,ראובן 24,120,2016,2300000,5544-141-1,דירה בבית,5,19167
182,0,189,2016,2300000,5544-71-13,חד משפחתי (וילה),6,12169
183,ראובן 28,150,2016,2299000,5544-137-1,דירה בבית,5,15327
184,0,189,2016,2300000,5544-71-12,חד משפחתי (וילה),6,12169
185,מעפילי אגוז 10,142,2016,1640000,5546-7-2,דירה בבית,6,11549
186,0,235,2016,2500000,5544-71-11,חד משפחתי (וילה),6,10638
187,0,150,2016,2499000,5544-71-52,דירה בבית,5,16660
188,0,133,2016,1685000,5546-49-6,דירה בבית,5,12669
189,0,134,2016,1520000,5546-49-7,דירה בבית,5,11343
190,גד 13,138.2,2016,1850000,5546-82-16,דירה בבית,5,13386
191,גד 11,151.8,2016,1860000,5546-81-5,דירה בבית,5,12253
192,0,116,2016,1275000,5545-9-4,דירה בבית,4,10991
193,רשי 11,78,2016,1185000,5545-5-10,דירה בבית,3,15192
194,נפתלי 33,150,2016,2095000,5544-7-1,קוטג' דו משפחתי,6,13967
196,0,134,2016,1449000,5546-49-9,דירה בבית,5,10813
