city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
בית שמש,רמת בית שמש ג,571,אמרי נועם 23,132.8,2021,2580000,34357-12-1,דירה בבית,5,19428
בית שמש,רמת בית שמש ג,572,נריה הנביא 11,74.8,2021,1380000,34356-6-112,דירה בבית,3,18449
בית שמש,רמת בית שמש ג,573,0,75,2021,1635000,34515-23-21,דירה בבית,3,21800
בית שמש,רמת בית שמש ג,574,מרים הנביאה 17,75.3,2021,1485000,34518-29-32,דירה בבית,3,19721
בית שמש,רמת בית שמש ג,575,יחזקאל הנביא 22,146,2021,2180000,34357-16-5,דירה בבית,5,14932
בית שמש,רמת בית שמש ג,576,יחזקאל הנביא 3,90.4,2021,1790000,34356-25-48,דירה בבית,4,19801
בית שמש,רמת בית שמש ג,577,יואל הנביא 22,84.5,2021,2000000,34355-85-19,דירה בבית,4,23669
בית שמש,רמת בית שמש ג,578,שמואל הנביא 12,200,2021,2625000,34515-38-13,דירה בבית,6,13125
בית שמש,רמת בית שמש ג,579,יחזקאל הנביא 5,119.55,2021,2080000,34356-22-47,דירה בבית,5,17399
בית שמש,רמת בית שמש ג,580,משה רבנו 5,80.3,2021,1282000,34356-23-14,דירה בבית,3,15965
בית שמש,רמת בית שמש ג,581,יחזקאל הנביא 2,71.9,2021,1200000,34356-9-13,דירה בבית,3,16690
בית שמש,רמת בית שמש ג,582,נריה הנביא 9,76.7,2021,1530000,34356-6-75,דירה בבית,3,19948
בית שמש,רמת בית שמש ג,583,יחזקאל הנביא 4,70.6,2021,1400000,34356-9-22,דירה בבית,3,19830
בית שמש,רמת בית שמש ג,584,נתן הנביא 8,100,2021,1935000,34515-44-20,דירה,4,19350
בית שמש,רמת בית שמש ג,586,אחיה השילוני 1,126.95,2021,2265000,34356-22-41,דירה בבית,5,17842
בית שמש,רמת בית שמש ג,587,יחזקאל הנביא 5,89.15,2021,1870000,34356-22-51,דירה בבית,4,20976
בית שמש,רמת בית שמש ג,588,חגי הנביא 10,65.9,2021,1365000,34356-15-29,דירה בבית,3,20713
בית שמש,רמת בית שמש ג,589,מרים הנביאה 27,141.8,2021,2300000,34518-31-17,דירה בבית,5,16220
בית שמש,רמת בית שמש ג,591,ירמיהו הנביא 12,86.7,2021,1800000,34356-7-65,דירה בבית,4,20761
בית שמש,רמת בית שמש ג,592,יחזקאל הנביא 11,75.3,2021,1555000,34355-91-3,דירה בבית,3,20651
בית שמש,רמת בית שמש ג,593,אלישע הנביא 1,67.25,2021,1540000,34357-13-7,דירה בבית,3,22900
בית שמש,רמת בית שמש ג,594,הנביא עובדיה 19,111.6,2021,2050000,34515-52-31,דירה בבית,5,18369
בית שמש,רמת בית שמש ג,595,יונה בן אמיתי 27,67.25,2021,1500000,34357-11-11,דירה בבית,3,22305
בית שמש,רמת בית שמש ג,597,חגי הנביא 7,150,2021,2500000,34356-13-9,דירה בבית,6,16667
בית שמש,רמת בית שמש ג,598,שמואל הנביא 19,130.2,2021,1900000,34515-31-51,קוטג' חד משפחתי,5,14593
בית שמש,רמת בית שמש ג,599,יונה בן אמיתי 23,66.6,2021,1450000,34357-11-19,דירה בבית,3,21772
בית שמש,רמת בית שמש ג,600,נריה הנביא 9,76.4,2021,1440000,34356-6-86,דירה בבית,3,18848
בית שמש,רמת בית שמש ג,602,הנביא עמוס 7,90.7,2021,1650000,34517-10-5,דירה בבית,4,18192
בית שמש,רמת בית שמש ג,603,מרים הנביאה 22,123,2021,2000000,34518-13-10,דירה בבית,5,16260
בית שמש,רמת בית שמש ג,604,אלישע הנביא 8,95,2021,1540000,34517-6-7,דירה בבית,4,16211
בית שמש,רמת בית שמש ג,605,יונה בן אמיתי 14,73.3,2021,1420000,34357-24-99,דירה בבית,3,19372
בית שמש,רמת בית שמש ג,607,נתן הנביא 3,96,2021,1935000,34515-39-13,דירה בבית,4,20156
בית שמש,רמת בית שמש ג,608,נריה הנביא 17,72.1,2021,1545000,34356-14-37,דירה בבית,4,21429
בית שמש,רמת בית שמש ג,609,ירמיהו הנביא 8,75.7,2021,1700000,34356-7-31,דירה בבית,3,22457
בית שמש,רמת בית שמש ג,610,דבורה הנביאה 17,207.4,2021,2800000,34515-48-60,דירת,6,13500
בית שמש,רמת בית שמש ג,611,יונה בן אמיתי 7,161.8,2021,2700000,34357-10-23,דירה בבית,5,16687
בית שמש,רמת בית שמש ג,612,הנביא עובדיה 12,144.76,2021,2300000,34517-13-52,דירה בבית,6,15888
בית שמש,רמת בית שמש ג,613,דבורה הנביאה 12,129,2021,2200000,34515-53-75,דירה בבית,5,17054
בית שמש,רמת בית שמש ג,614,יוכבד 4,74,2021,1300000,34518-16-9,דירה בבית,3,17568
בית שמש,רמת בית שמש ג,615,יונה בן אמיתי 15,87.3,2021,1950000,34357-10-64,דירה בבית,4,22337
בית שמש,רמת בית שמש ג,616,דבורה הנביאה 12,113,2021,2100000,34515-53-76,דירה בבית,5,18584
בית שמש,רמת בית שמש ג,617,משה רבנו 9,80.6,2021,1400000,34356-23-37,דירה בבית,3,17370
בית שמש,רמת בית שמש ג,618,יואל הנביא 26,106.25,2021,2250000,34355-84-2,דירה בבית,4,21176
בית שמש,רמת בית שמש ג,619,הנביא עובדיה 4,99.5,2021,1600000,34517-19-12,דירה בבית,4,16080
בית שמש,רמת בית שמש ג,621,יחזקאל הנביא 6,74.3,2021,1300000,34356-9-36,דירה בבית,4,17497
בית שמש,רמת בית שמש ג,622,יוכבד 2,74,2021,1250000,34518-14-4,דירה בבית,3,16892
בית שמש,רמת בית שמש ג,623,חבקוק הנביא 33,123,2021,1600000,34355-114-19,דירה בבית,4,13008
בית שמש,רמת בית שמש ג,624,מרים הנביאה 4,105.75,2021,1900000,34518-9-3,דירה בבית,5,17967
בית שמש,רמת בית שמש ג,625,נריה הנביא 3,69.6,2021,1390000,34356-6-34,דירה בבית,3,19971
בית שמש,רמת בית שמש ג,627,0,78,2021,1280000,34517-27-30,דירה בבית,3,16410
בית שמש,רמת בית שמש ג,628,נריה הנביא 7,75,2021,1440000,34356-6-59,דירה בבית,3,19200
בית שמש,רמת בית שמש ג,630,חבקוק הנביא 43,82.1,2021,1550000,34355-113-12,דירה בבית,4,18879
בית שמש,רמת בית שמש ג,631,0,78,2021,1300000,34517-27-29,דירה בבית,3,16667
בית שמש,רמת בית שמש ג,632,יונה בן אמיתי 14,77.5,2021,1385000,34357-24-101,דירה בבית,3,17871
בית שמש,רמת בית שמש ג,633,יואל הנביא 26,130,2021,2750000,34355-84-22,דירה בבית,6,21154
בית שמש,רמת בית שמש ג,634,ירמיהו הנביא 10,75.55,2021,1550000,34356-7-47,דירה בבית,3,20516
בית שמש,רמת בית שמש ג,635,חבקוק הנביא 43,133,2021,2400000,34355-113-4,דירה בבית,5,18045
בית שמש,רמת בית שמש ג,636,ירמיהו הנביא 24,120,2021,1750000,34357-4-80,דירה בבית,5,14583
בית שמש,רמת בית שמש ג,637,0,120,2021,2065000,34517-5-2,דירה בבית,5,17208
בית שמש,רמת בית שמש ג,638,משה רבנו 6,71,2021,1420000,34356-11-20,דירה בבית,3,20000
בית שמש,רמת בית שמש ג,639,חגי הנביא 15,68.8,2021,1370000,34356-24-11,דירה בבית,3,19913
בית שמש,רמת בית שמש ג,640,יונה בן אמיתי 5,87.3,2021,1730000,34357-10-6,דירה בבית,4,19817
בית שמש,רמת בית שמש ג,641,נחום הנביא 9,68.9,2021,1420000,34357-6-34,דירה בבית,3,20610
בית שמש,רמת בית שמש ג,642,נריה הנביא 54,70.7,2021,1450000,34356-5-14,דירה בבית,3,20509
בית שמש,רמת בית שמש ג,643,שמואל הנביא 16,117,2021,2550000,34516-4-11,דירה בבית,5,21795
בית שמש,רמת בית שמש ג,644,0,102,2021,1700000,34515-8-1,דירה בבית,4,16667
בית שמש,רמת בית שמש ג,645,חגי הנביא 4,65.4,2021,1425000,34356-15-56,דירה בבית,3,21789
בית שמש,רמת בית שמש ג,646,נריה הנביא 11,147.7,2021,2300000,34356-6-103,דירה בבית,5,15572
בית שמש,רמת בית שמש ג,647,ירמיהו הנביא 4,85.6,2021,1416000,34356-7-12,דירה בבית,3,16542
בית שמש,רמת בית שמש ג,648,0,106,2021,1800000,34515-23-22,דירה בבית,5,16981
בית שמש,רמת בית שמש ג,649,חגי הנביא 7,82,2021,1535000,34356-13-8,דירה בבית,3,18720
בית שמש,רמת בית שמש ג,650,הנביא עובדיה 16,71.26,2021,1580000,34517-13-76,דירה בבית,3,22172
בית שמש,רמת בית שמש ג,651,חבקוק הנביא 2,120.45,2021,2200000,34357-5-17,דירה בבית,5,18265
בית שמש,רמת בית שמש ג,652,נריה הנביא 1,75.6,2021,1420000,34356-6-8,דירה בבית,3,18783
בית שמש,רמת בית שמש ג,653,נריה הנביא 4,134.8,2021,2540000,34356-4-15,דירה בבית,5,18843
בית שמש,רמת בית שמש ג,654,דבורה הנביאה 9,80.4,2021,1485000,34515-48-2,דירה בבית,3,18470
בית שמש,רמת בית שמש ג,655,יונה בן אמיתי 1,106.4,2021,1900000,34357-9-29,דירה בבית,4,17857
בית שמש,רמת בית שמש ג,656,נריה הנביא 3,135.3,2021,2050000,34356-6-25,דירה בבית,5,15152
בית שמש,רמת בית שמש ג,657,אמרי נועם 23,71.3,2021,1440000,34357-12-3,דירה בבית,3,20196
בית שמש,רמת בית שמש ג,659,0,74,2021,1350000,34515-23-23,דירה בבית,3,18243
בית שמש,רמת בית שמש ג,660,יחזקאל הנביא 17,68.5,2021,1420000,34357-8-25,דירה בבית,3,20730
בית שמש,רמת בית שמש ג,661,נריה הנביא 44,69.6,2021,1400000,34356-5-46,דירה בבית,3,20115
בית שמש,רמת בית שמש ג,662,יונה בן אמיתי 20,68,2021,1350000,34357-24-61,דירה בבית,3,19853
בית שמש,רמת בית שמש ג,663,חבקוק הנביא 33,110,2021,2015000,34355-114-20,דירה בבית,5,18318
בית שמש,רמת בית שמש ג,664,יואל הנביא 26,105.15,2021,1610000,34355-84-14,דירה בבית,4,15311
בית שמש,רמת בית שמש ג,665,יונה בן אמיתי 27,133.15,2021,2180000,34357-11-9,דירה בבית,5,16373
