מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
796,רבי עקיבא 99,49.86,2015,1250000,6122-1365-5,דירה בבית,2,25070
797,שבטי ישראל 27,80,2015,1570000,6122-1702-2,דירה בבית,4,19625
799,סוקולוב 47,44.63,2015,1538000,6122-1545-35,דירה בבית,2,34461
801,אבן גבירול 6,68.6,2015,1450000,6122-1814-11,דירה בבית,3,21137
802,הלוחמים 1,200,2015,3000000,6122-1058-1,דירה,8,15000
803,רמבם 4,29,2015,730000,6122-973-5,דירה בבית,1.5,25172
804,ז'בוטינסקי 96,52.5,2015,879000,6122-1313-10,דירה בבית,2,16743
806,הרב מימון 54,120,2015,1900000,6122-1533-11,דירה בבית,5,15833
807,סוקולוב 57,81.97,2015,1519000,6122-1821-4,דירה בבית,4,18531
808,אבן שפרוט 13,42.34,2015,900000,6122-1546-22,דירה בבית,2,21256
809,הרב שטרסר 3,86.5,2015,1825000,6122-776-5,דירה בבית,4.5,21098
810,הרב מימון 49,45,2015,1350000,6122-1524-37,דירה בבית,2,30000
811,אבן גבירול 12,29,2015,1019000,6122-344-2,דירה בבית,2,35138
812,רבי עקיבא 69,48.25,2015,1395000,6122-1389-18,דירה בבית,3,28912
813,אבן גבירול 13,43.7,2015,1770000,6122-1525-10,דירה בבית,4.5,40503
814,שבזי 12,85,2015,1049000,6122-349-30,דירה בבית,4,12341
815,שבזי 12,85,2015,1050000,6122-349-2,דירה,4,12353
816,הלוחמים 19,101,2015,1600000,6122-1758-5,דירה בבית,3,15842
817,ז'בוטינסקי 112,68,2015,1199000,6122-807-19,דירה בבית,3,17632
818,הרב שטרסר 12,54,2015,1785000,6122-763-4,דירה בבית,4.5,33056
819,הרב בלוי 2,34,2015,225000,6122-564-6,דירה בבית,2,6618
820,שבטי ישראל 36,51,2015,1220000,6122-817-5,דירה בבית,2,23922
821,סוקולוב 35,120,2015,1899000,6122-1520-16,דירה בבית,5,15825
822,סוקולוב 47,42.34,2015,1280000,6122-1545-22,דירה בבית,2,30231
823,אבן עזרא 8,64,2015,1480000,6122-336-3,דירה בבית,3,23125
824,ז'בוטינסקי 112,70,2015,1150000,6122-807-20,דירה בבית,3,16429
825,במברגר 4,71,2015,2000000,6122-1129-6,דירה בבית,3,28169
826,אבן גבירול 12,55,2015,1300000,6122-344-10,דירה בבית,3,23636
827,אבטליון 8,75.5,2015,1925000,6122-756-6,דירה בבית,4,25497
828,אבטליון 1,69.5,2015,1469000,6122-749-3,דירה בבית,3,21137
829,ז'בוטינסקי 112,60,2015,1150000,6122-807-21,דירה בבית,3,19167
830,ז'בוטינסקי 110,120,2015,1335000,6122-808-2,דירה בבית,4,11125
832,אבן גבירול 6,71.1,2015,1420000,6122-1814-7,דירה בבית,3,19972
833,הרב מימון 34,69,2015,1500000,6122-1088-8,דירה בבית,4,21739
835,ז'בוטינסקי 110,130,2015,1299000,6122-808-1,דירה בבית,5,9992
836,סוקולוב 17,60,2015,1359000,6122-420-9,דירה בבית,3,22650
838,הרב מימון 33,135,2015,2170000,6122-1059-3,דירה בבית,6,16074
839,אבן שפרוט 4,31.5,2015,820000,6122-1548-36,דירה בבית,2,26032
840,רבי עקיבא 77,100.79,2015,1790000,6122-913-13,דירה בבית,5,17760
841,רמבם 8,45,2015,1500000,6122-1315-12,דירה בבית,2,33333
842,סוקולוב 53,45.56,2015,1350000,6122-1545-21,דירה בבית,2,29631
