מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
25,ההגנה 15,33.5,2024,1280000,7150-352-12,דירה בבית,1.5,38209
26,ברל כצנלסון 18,57,2024,1690000,7151-227-14,דירה בבית,3,29649
27,ברל כצנלסון 18,43.5,2024,1400000,7151-227-18,דירה בבית,2,32184
28,אתרוג 5,43.58,2024,1550000,7150-287-10,דירה בבית,2,35567
29,טרומפלדור 13,39.5,2024,1700000,7150-450-7,דירה בבית,2,43038
30,ברל כצנלסון 6,85.7,2024,2000000,7151-195-11,דירה בבית,4,23337
31,טרומפלדור 6,33.86,2024,500000,7149-155-9,דירה בבית,1.5,14767
32,ברל כצנלסון 8,44,2024,1541600,7151-202-26,דירה בבית,2,35036
33,0,43.4,2024,1250000,7150-363-9,דירה בבית,3,28802
34,טרומפלדור 9,60.7,2024,1870000,7150-260-6,דירה בבית,2.5,30807
35,ההגנה 15,60.8,2024,163000,7150-352-6,דירה בבית,3,2681
36,רימון 4,44.4,2024,1590000,7151-214-5,דירה בבית,2.5,35811
37,ירושלים 62,30.73,2024,1300000,7150-229-3,דירה בבית,2,42304
38,קלויזנר 8,40.9,2024,1520000,7150-347-9,דירה בבית,2,37164
39,ירושלים 68,43.14,2024,1000000,7151-174-1,דירה בבית,2,23180
40,בית וגן 7,67.11,2024,1830000,7150-272-17,דירה בבית,3,27269
41,ירושלים 54,47.15,2024,1490000,7149-138-4,דירה בבית,3,31601
42,קורצ'אק 4,52.3,2024,1770000,7149-157-41,דירה בבית,2,33843
43,הגדוד העברי 24,49.1,2024,1390000,7151-190-3,דירה בבית,2,28310
44,כינרת 7,56.09,2024,1750000,7151-206-2,דירה בבית,3,31200
45,קלויזנר 6,68.7,2024,2110000,7150-346-3,דירה בבית,3,30713
46,בית וגן 17,39.4,2024,1500000,7151-191-2,דירה בבית,2,38071
47,רימון 6,55,2024,1430000,7151-215-9,דירה בבית,2.5,26000
48,אתרוג 2,58.1,2024,1695000,7150-291-16,דירה בבית,3,29174
49,כינרת 13,42,2024,1570000,7151-223-1,דירה בבית,2,37381
50,הגדוד העברי 12,47.5,2024,2300000,7150-268-1,דירה בבית,2,48421
51,טרומפלדור 1,67.6,2024,900000,7149-156-1,דירה בבית,3,13314
52,דניאל 15,53.7,2024,1870000,7149-150-1,דירה בבית,2,34823
53,כינרת 5,43.55,2024,1460000,7151-203-6,דירה בבית,2,33525
54,ברל כצנלסון 6,87.33,2024,2020000,7151-195-12,דירה בבית,4,23131
55,טרומפלדור 10,50.7,2024,1660000,7150-258-12,דירה בבית,2.5,32742
56,ירושלים 74,57.4,2024,1870000,7151-177-4,דירה בבית,3,32578
57,בית וגן 10,57,2024,900000,7150-284-4,דירה בבית,2.5,15789
58,הגדוד העברי 20,62.96,2024,1500000,7151-186-2,דירה בבית,3,23825
59,טרומפלדור 11,39.5,2024,1520000,7150-449-11,דירה בבית,2,38481
60,הגדוד העברי 4,74,2024,2526000,7149-151-15,דירה בבית,3,34135
61,0,78.37,2024,1825000,7150-342-23,דירה בבית,3,23287
62,ירושלים 68,43,2024,1590000,7151-174-9,דירה בבית,2,36977
63,רימון 2,32.1,2024,1290000,7150-358-4,דירה בבית,2,40187
64,כצנלסון ברל 22,52,2024,73000,7151-229-12,דירה בבית,2,1404
65,הגדוד העברי 25,45,2024,1500000,7151-180-7,דירה בבית,2.5,33333
66,כינרת 3,87,2024,2000000,7151-204-5,דירה בבית,3.5,22989
67,הגדוד העברי 12,47.5,2024,1975000,7150-268-6,דירה בבית,2,41579
68,ההגנה 33,44,2024,1540000,7151-225-14,דירה בבית,3,35000
69,הגדוד העברי 12,47.5,2024,1969000,7150-268-12,דירה בבית,2,41453
70,כינרת 11,47.37,2024,1510000,7151-222-4,דירה בבית,2,31877
71,הגדוד העברי 24,54,2024,1820000,7151-190-1,דירה בבית,3,33704
72,ירושלים 62,45.43,2024,1500000,7150-229-10,דירה בבית,2,33018
73,0,49.5,2024,400000,7150-294-12,דירה בבית,3,8081
74,רימון 4,44.05,2024,1460000,7151-214-9,דירה בבית,2,33144
75,בית וגן 11,74.73,2024,1000000,7150-277-4,דירה בבית,3.5,13382
76,ירושלים 66,61,2024,1480000,7150-237-8,דירה בבית,3,24262
77,טרומפלדור 4,22.2,2024,920000,7149-152-3,דירה בבית,1,41441
78,ירושלים 54,52.39,2024,1400000,7149-138-6,דירה בבית,2,26723
79,אתרוג 3,50,2024,1925000,7150-285-1,דירה בבית,3,38500
80,קורצ'אק 5,48.7,2024,1638000,7150-267-3,דירה בבית,2,33634
81,רימון 5,46,2024,1550000,7151-211-9,דירה בבית,2.5,33696
