city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
בת ים,מתחם גן העיר,1,בת ים,מתחם גן העיר,הנביאים 62,110,2025,3180000,7120-155-92,דירה בבית,4,28909
בת ים,מתחם גן העיר,2,בת ים,מתחם גן העיר,הנביאים 62,110,2025,3480000,7120-155-91,דירה בבית,4,31636
בת ים,מתחם גן העיר,5,בת ים,מתחם גן העיר,יצחק שדה 2,140.22,2025,4575000,7120-184-196,דירה בבית,5,32627
בת ים,מתחם גן העיר,6,בת ים,מתחם גן העיר,יצחק שדה 8,82.4,2025,3150000,7120-154-153,דירה בבית,3.5,38228
בת ים,מתחם גן העיר,7,בת ים,מתחם גן העיר,הנביאים 60,130,2025,4375000,7120-155-90,דירה בבית,5,33654
בת ים,מתחם גן העיר,10,בת ים,מתחם גן העיר,יצחק שדה 8,104.1,2025,3325000,7120-154-212,דירה בבית,4,31940
בת ים,מתחם גן העיר,11,בת ים,מתחם גן העיר,הנביאים 58,104.7,2024,3225000,7120-158-52,דירה בבית,4,30802
בת ים,מתחם גן העיר,12,בת ים,מתחם גן העיר,הנביאים 58,80.3,2024,3070000,7120-158-46,דירה בבית,3,38232
בת ים,מתחם גן העיר,13,בת ים,מתחם גן העיר,יצחק שדה 8,104.1,2024,3070000,7120-154-227,דירה בבית,4,29491
בת ים,מתחם גן העיר,14,בת ים,מתחם גן העיר,הנביאים 60,110,2024,3050000,7120-155-88,דירה בבית,4,27727
בת ים,מתחם גן העיר,15,בת ים,מתחם גן העיר,יצחק שדה 8,104.3,2024,3390000,7120-154-214,דירה בבית,4,32502
בת ים,מתחם גן העיר,16,בת ים,מתחם גן העיר,הנביאים 62,110,2024,3300000,7120-155-87,דירה בבית,4,30000
בת ים,מתחם גן העיר,17,בת ים,מתחם גן העיר,יצחק שדה 6,152.4,2024,5485000,7120-187-117,דירה בבית,5,35991
בת ים,מתחם גן העיר,18,בת ים,מתחם גן העיר,יצחק שדה 2,140.24,2024,4020000,7120-184-233,דירה בבית,5,28665
בת ים,מתחם גן העיר,19,בת ים,מתחם גן העיר,יצחק שדה 2,139.89,2024,4000000,7120-184-130,דירה בבית,5,28594
בת ים,מתחם גן העיר,20,בת ים,מתחם גן העיר,יצחק שדה 2,139.89,2024,3650000,7120-184-155,דירה בבית,5,26092
בת ים,מתחם גן העיר,21,בת ים,מתחם גן העיר,יצחק שדה 2,98,2024,3150000,7120-184-15,דירה בבית,4,32143
בת ים,מתחם גן העיר,22,בת ים,מתחם גן העיר,יצחק שדה 2,117,2024,3300000,7120-184-50,דירה בבית,5,28205
בת ים,מתחם גן העיר,23,בת ים,מתחם גן העיר,יצחק שדה 2,140.22,2024,5000000,7120-184-212,דירה בבית,5,35658
בת ים,מתחם גן העיר,24,בת ים,מתחם גן העיר,יצחק שדה 2,140.22,2024,5000000,7120-184-246,דירה בבית,5,35658
בת ים,מתחם גן העיר,25,בת ים,מתחם גן העיר,הנביאים 60,109,2024,1350000,7120-155-98,דירה בבית,4,12385
בת ים,מתחם גן העיר,26,בת ים,מתחם גן העיר,יצחק שדה 8,104.3,2024,775000,7120-154-234,דירה בבית,4,7430
בת ים,מתחם גן העיר,27,בת ים,מתחם גן העיר,יצחק שדה 2,104,2024,3500000,7120-184-72,דירה בבית,4,33654
בת ים,מתחם גן העיר,28,בת ים,מתחם גן העיר,יצחק שדה 8,82.4,2023,2620000,7120-154-157,דירה בבית,3.5,31796
בת ים,מתחם גן העיר,29,בת ים,מתחם גן העיר,הנביאים 60,110,2023,3100000,7120-155-99,דירה בבית,4,28182
בת ים,מתחם גן העיר,30,בת ים,מתחם גן העיר,יצחק שדה 8,117.5,2023,3100000,7120-154-184,דירה בבית,4,26383
בת ים,מתחם גן העיר,31,בת ים,מתחם גן העיר,יצחק שדה 6,132.3,2023,4200000,7120-187-91,דירה בבית,5,31746
בת ים,מתחם גן העיר,32,בת ים,מתחם גן העיר,יצחק שדה 2,98.24,2023,3600000,7120-184-24,דירה בבית,4,36645
בת ים,מתחם גן העיר,33,בת ים,מתחם גן העיר,יצחק שדה 8,104.3,2023,3400000,7120-154-244,דירה בבית,4,32598
בת ים,מתחם גן העיר,34,בת ים,מתחם גן העיר,יצחק שדה 2,140.22,2023,3600000,7120-184-101,דירה בבית,5,25674
בת ים,מתחם גן העיר,35,בת ים,מתחם גן העיר,יצחק שדה 6,131.4,2023,4500000,7120-187-138,דירה בבית,5,34247
בת ים,מתחם גן העיר,37,בת ים,מתחם גן העיר,יצחק שדה 6,132.3,2023,3980000,7120-187-143,דירה בבית,5,30083
בת ים,מתחם גן העיר,38,בת ים,מתחם גן העיר,הנביאים 58,104.7,2023,2525000,7120-158-25,דירה בבית,4.5,24117
בת ים,מתחם גן העיר,39,בת ים,מתחם גן העיר,יצחק שדה 6,130.1,2023,4420000,7120-187-64,דירה בבית,5,33974
בת ים,מתחם גן העיר,40,בת ים,מתחם גן העיר,יצחק שדה 2,159.44,2023,654000,7120-184-252,דירה בבית,5,4102
בת ים,מתחם גן העיר,41,בת ים,מתחם גן העיר,יצחק שדה 8,107.5,2022,3620000,7120-154-349,דירה בבית,4,33674
בת ים,מתחם גן העיר,42,בת ים,מתחם גן העיר,יצחק שדה 6,121.7,2022,3600000,7120-187-26,דירה בבית,5,29581
בת ים,מתחם גן העיר,43,בת ים,מתחם גן העיר,יצחק שדה 2,140.24,2022,3620000,7120-184-228,דירה בבית,5,25813
בת ים,מתחם גן העיר,44,בת ים,מתחם גן העיר,יצחק שדה 2,216.35,2022,7300000,7120-184-262,דירה בבית,6,33742
בת ים,מתחם גן העיר,45,בת ים,מתחם גן העיר,יצחק שדה 2,140.22,2022,4500000,7120-184-226,דירה בבית,5,32092
בת ים,מתחם גן העיר,46,בת ים,מתחם גן העיר,יצחק שדה 6,122.5,2022,3650000,7120-187-71,דירה בבית,5,29796
בת ים,מתחם גן העיר,47,בת ים,מתחם גן העיר,הנביאים 58,80.3,2022,2760000,7120-158-50,דירה בבית,3,34371
בת ים,מתחם גן העיר,48,בת ים,מתחם גן העיר,יצחק שדה 6,217.6,2022,8000000,7120-187-161,דירה בבית,5,36765
בת ים,מתחם גן העיר,49,בת ים,מתחם גן העיר,הנביאים 62,134,2022,3950000,7120-155-86,דירה בבית,5,29478
