מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
51,גוש עציון 4,77.1,2023,2100000,6189-954-17,דירה בבית,4,27237
52,0,67,2023,2200000,6189-881-1,דירה בבית,3,32836
55,0,68,2023,2050000,6189-881-2,דירה בבית,3,30147
56,בן גוריון 21,90.38,2023,2500000,6189-782-7,דירה בבית,4,27661
57,בארי 7,53.3,2023,1800000,6189-575-7,דירה בבית,2,33771
58,הנשיא 18,77,2023,2270000,6189-890-2,דירה בבית,3,29481
60,דוד אלעזר 8,114.2,2023,2600000,6189-786-1,דירה בבית,5,22767
61,הציונות 5,65,2023,2180000,6189-825-7,דירה בבית,3,33538
63,דוד אלעזר 7,104.6,2023,2272700,6189-1019-15,דירה בבית,4,21728
64,שלמה הללס 9,244,2023,5300000,6189-615-2,קוטג' דו משפחתי,8,21721
65,הנשיא 7,54.5,2023,1483000,6189-879-55,דירה בבית,3,27211
66,הנשיא 17,75,2023,2200000,6189-886-2,דירה בבית,3,29333
67,ביאליק 3,92,2023,2500000,6189-1058-2,דירה בבית,4,27174
68,הנשיא 19,51,2023,1800000,6189-888-2,דירה בבית,2,35294
69,דוד אלעזר 4,98,2023,3080000,6189-1023-10,דירה בבית,5,31429
