מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
46,עין שמש 19,64.4,2015,1250000,6720-1046-175,דירה בבית,3,19410
47,עין שמש 19,90.9,2015,1530000,6720-1046-165,דירה בבית,3,16832
48,עין שמש 19,173.5,2015,2560000,6720-1046-119,דירה בבית,6,14755
49,עין שמש 19,112.6,2015,1766000,6720-1046-105,דירה בבית,4,15684
50,עין שמש 19,107.6,2015,1665000,6720-1046-16,דירה בבית,4,15474
51,עין שמש 19,65.8,2015,1350000,6720-1046-174,דירה בבית,3,20517
52,עין שמש 19,94,2015,1600000,6720-1046-122,דירה בבית,4,17021
53,עין שמש 19,87.6,2015,1830000,6720-1046-24,דירה בבית,4,20890
54,עין שמש 19,73.7,2015,1285000,6720-1046-37,דירה בבית,3,17436
55,עין שמש 19,93,2015,1549000,6720-1046-100,דירה בבית,4,16656
56,עין שמש 19,127.7,2015,2100000,6720-1046-117,דירה בבית,5,16445
