מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
25,הרמה 27,60.02,2021,509000,6720-900-12,דירה בבית,3,8481
26,הרמה 59,89.13,2021,1795000,6720-892-18,דירה בבית,4,20139
27,הרמה 59,58.59,2021,1640000,6720-892-2,דירה בבית,3,27991
28,הרי יהודה 49,70.7,2021,1650000,6720-740-3,דירה בבית,4,23338
30,הרמה 15,65.66,2021,1580000,6720-901-28,דירה בבית,3,24063
31,הרמה 41,60.2,2021,1390000,6720-891-8,דירה בבית,3,23090
32,הרמה 5,60.02,2021,1500000,6720-887-16,דירה בבית,3,24992
33,הרמה 53,58.59,2021,1470000,6720-897-14,דירה בבית,3,25090
34,הרמה 71,58.59,2021,1525000,6720-896-8,דירה בבית,3,26028
35,הרמה 71,58.59,2021,1680000,6720-896-7,דירה בבית,3,28674
37,הרמה 75,92.82,2021,1735000,6720-896-19,דירה בבית,4,18692
38,הרמה 65,95.41,2021,1680000,6720-893-3,דירה בבית,4,17608
