מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
283,בר כוכבא 1,63.7,2020,295000,39510-32-44,דירה בבית,3,4631
284,בר כוכבא 1,63.7,2020,300000,39510-32-37,דירה בבית,3,4710
285,בר כוכבא 6,103.4,2020,540000,39510-23-1,דירה בבית,5,5222
286,הסנהדרין 16,53.7,2020,210000,39510-76-1,דירה בבית,3,3911
287,מג המעפילים 2,63.8,2020,340000,39510-14-18,דירה בבית,3,5329
288,המכבים 246,71,2020,337000,39510-50-4,דירה בבית,4,4746
289,עזרא ונחמיה 243,49.3,2020,325000,39510-34-15,דירה בבית,3,6592
291,מג המעפילים 38,54.1,2020,310000,39510-40-20,דירה בבית,3,5730
292,מג המעפילים 2,63.8,2020,390000,39510-14-10,דירה בבית,3.5,6113
293,מג המעפילים 228,54.1,2020,355000,39510-37-17,דירה בבית,3,6562
294,מתתיהו הכהן 223,54.1,2020,300000,39510-70-8,דירה בבית,3,5545
295,מתתיהו הכהן 224,54.1,2020,188700,39510-71-16,דירה בבית,2,3488
296,מתתיהו הכהן 226,73,2020,157000,39510-73-9,דירה בבית,4,2151
298,עזרא ונחמיה 243,49.3,2020,320000,39510-34-17,דירה בבית,3,6491
299,החשמונאים 6,36,2020,252500,39510-54-17,דירה בבית,2,7014
300,מג המעפילים 8,53.9,2020,390000,39510-17-21,דירה בבית,3,7236
302,מתתיהו הכהן 222,73,2020,275000,39510-69-15,דירה בבית,4,3767
303,בר כוכבא 5,49.3,2020,329000,39510-30-14,דירה בבית,3,6673
304,בר כוכבא 4,88.6,2020,250000,39510-22-3,דירה בבית,4,2822
305,מתתיהו הכהן 250,49.5,2020,258000,39510-57-27,דירה בבית,4.5,5212
306,יגאל אלון 47,72,2020,450000,39510-78-21,דירה בבית,4,6250
307,החשמונאים 6,36,2020,250000,39510-54-9,דירה בבית,2,6944
308,יגאל אלון 29,63.8,2020,400000,39510-27-31,דירה בבית,3,6270
