מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
127,אבן גבירול 36,61.5,2022,625000,39526-2-3,דירה בבית,3,10163
128,אבן גבירול 3,74.4,2022,540000,39526-10-9,דירה בבית,4,7258
129,אבן גבירול 41,74.4,2022,610000,39526-3-12,דירה בבית,4,8199
130,יוסף קארו 471,69.5,2022,540000,39527-18-20,דירה בבית,3,7770
131,שלום שבזי 46,77,2022,570000,39527-16-11,דירה בבית,4,7403
132,אבן עזרא 3,63.7,2022,557000,39527-8-8,דירה בבית,3,8744
133,אבן עזרא 7,61.6,2022,570000,39527-8-16,דירה בבית,3,9253
134,אלחריזי 9,67.1,2022,565000,39526-20-2,דירה בבית,3,8420
135,אבן גבירול 31,77,2022,625000,39526-7-6,דירה בבית,4,8117
136,שלום שבזי 32,64,2022,1100000,39527-5-13,דירה בבית,3,17188
137,אלחריזי 7,67.1,2022,600000,39526-19-22,דירה בבית,3,8942
138,אבן גבירול 7,77,2022,1200000,39526-10-19,דירה בבית,4,15584
139,אבן גבירול 30,61.5,2022,480000,39526-2-24,דירה בבית,3,7805
140,אלחריזי 9,69.5,2022,520000,39526-20-17,דירה בבית,3,7482
141,יוסף קארו 472,67.1,2022,525000,39527-19-30,דירה בבית,3,7824
142,אלחריזי 7,67.1,2022,514000,39526-19-7,דירה בבית,3,7660
143,הרב שלום שבזי 8,64,2022,785000,39527-3-2,דירה בבית,3,12266
144,יהודה הלוי 37,74.4,2022,645000,39527-15-11,דירה בבית,4,8669
145,שמעון בר יוחאי 4,62.2,2022,520000,39527-1-8,דירה בבית,3,8360
146,יהודה הלוי 4,69.5,2022,500000,39526-17-32,דירה בבית,3,7194
147,יוסף קארו 471,67.1,2022,640000,39527-18-15,דירה בבית,3,9538
148,אבן גבירול 29,74.4,2022,620000,39526-7-15,דירה בבית,4,8333
149,יוסף קארו 471,69.5,2022,644000,39527-18-21,דירה בבית,3,9266
150,יהודה הלוי 4,67.1,2022,570000,39526-17-23,דירה בבית,3,8495
151,יהודה הלוי 33,74.4,2022,572000,39527-15-22,דירה בבית,4,7688
152,יהודה הלוי 2,67.1,2022,577000,39526-16-31,דירה בבית,3,8599
153,משה דיין 177,60,2022,410000,39518-106-12,דירה בבית,3,6833
154,אבן גבירול 51,64,2022,530000,39526-1-3,דירה בבית,3,8281
155,שלום שבזי 46,80.8,2022,820000,39527-16-7,דירה בבית,4,10149
156,משה דיין 177,60,2022,410000,39518-106-15,דירה בבית,3,6833
157,אלחריזי 9,67.1,2022,580000,39526-20-11,דירה בבית,3,8644
158,יוסף קארו 470,67.1,2022,485000,39527-17-22,דירה בבית,3,7228
159,אבן גבירול 16,77,2022,620000,39526-6-17,דירה בבית,4,8052
160,אלחריזי 9,69.5,2022,495000,39526-20-29,דירה בבית,3,7122
161,יוסף קארו 9,77,2022,510000,39527-13-6,דירה בבית,4,6623
162,אבן גבירול 41,74.4,2022,640000,39526-3-11,דירה בבית,4,8602
163,שלום שבזי 32,61.5,2022,545000,39527-5-7,דירה בבית,3,8862
164,יוסף קארו 470,69.5,2022,470000,39527-17-28,דירה בבית,3,6763
165,יהודה הלוי 11,61.5,2022,485000,39526-14-5,דירה בבית,3,7886
166,אלחריזי 5,67.1,2022,495000,39526-18-11,דירה בבית,3,7377
167,אבן גבירול 29,77,2022,570000,39526-7-10,דירה בבית,4,7403
168,אבן גבירול 4,77,2022,617000,39526-12-11,דירה בבית,4,8013
169,יהודה הלוי 15,74.4,2022,840000,39526-14-14,דירה בבית,4,11290
170,יוסף קארו 11,64,2022,452000,39527-13-15,דירה בבית,3,7063
171,אבן גבירול 1,61.5,2022,570000,39526-10-3,דירה בבית,3,9268
172,אלחריזי 9,67.1,2022,630000,39526-20-7,דירה בבית,3,9389
173,אבן גבירול 35,77,2022,850000,39526-5-8,דירת גן,4,11039
174,משה דיין 177,60,2022,345000,39518-106-13,דירה בבית,3,5750
175,יהודה הלוי 4,69.5,2022,470000,39526-17-29,דירה בבית,3,6763
176,אלחריזי 7,67.1,2022,225000,39526-19-14,דירה בבית,3,3353
177,יהודה הלוי 21,61.5,2022,484000,39526-15-30,דירה בבית,3,7870
178,יהודה הלוי 17,74.4,2022,590000,39526-14-23,דירה בבית,4,7930
179,הרב שלום שבזי 9,64.3,2022,460000,39527-12-20,דירה בבית,3,7154
180,אלחריזי 14,64,2022,455000,39527-9-16,דירה בבית,3,7109
181,אבן גבירול 37,64,2022,525000,39526-5-5,דירה בבית,3,8203
182,אלחריזי 9,67.1,2022,500000,39526-20-18,דירה בבית,3,7452
183,יהודה הלוי 13,77,2022,510000,39526-14-10,דירה בבית,4,6623
184,אבן גבירול 23,74.4,2022,520000,39526-8-11,דירה בבית,3,6989
185,יהודה הלוי 27,64,2022,470000,39526-15-18,דירה בבית,3,7344
186,אבן גבירול 13,77,2022,580000,39526-9-12,דירה בבית,4,7532
187,שלום שבזי 14,64,2022,440000,39527-4-9,דירה בבית,3,6875
188,יוסף קארו 471,67.1,2022,550000,39527-18-2,דירה בבית,3,8197
189,יהודה הלוי 15,74.4,2022,570000,39526-14-17,דירה בבית,4,7661
190,אבן גבירול 19,64,2022,530000,39526-9-30,דירה בבית,3,8281
191,אלחריזי 5,69.5,2022,495000,39526-18-21,דירה בבית,3,7122
192,אבן גבירול 47,74.4,2022,555000,39526-1-18,דירה בבית,4,7460
193,משה דיין 177,60,2022,435000,39518-106-8,דירה בבית,3,7250
194,יוסף קארו 472,67.1,2022,500000,39527-19-23,דירה בבית,3,7452
195,אלחריזי 14,64,2022,237000,39527-9-11,דירה בבית,3,3703
196,אבן גבירול 24,74.4,2022,520000,39526-4-18,דירה בבית,4,6989
197,שלום שבזי 32,61.5,2022,500000,39527-5-11,דירה בבית,3,8130
198,יהודה הלוי 33,74.4,2022,830000,39527-15-19,דירה בבית,4,11156
