city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
דימונה,מלכי ישראל,231,בן גוריון 3,46.6,2018,280000,39515-47-64,דירה בבית,3,6009
דימונה,מלכי ישראל,232,הספורט 42,39,2018,292000,39520-7-11,דירה בבית,2,7487
דימונה,מלכי ישראל,233,הספורט 46,75,2018,320000,39520-2-30,דירה בבית,4,4267
דימונה,מלכי ישראל,234,בן גוריון 1,53.6,2018,300000,39515-48-14,דירה בבית,3,5597
דימונה,מלכי ישראל,235,בן גוריון 5,39.7,2018,380000,39515-45-42,דירה בבית,2,9572
דימונה,מלכי ישראל,236,בן גוריון 55,47.4,2018,325000,39515-32-21,דירה בבית,3,6857
דימונה,מלכי ישראל,237,בן גוריון 1,53.6,2018,360000,39515-48-35,דירה בבית,3,6716
דימונה,מלכי ישראל,238,הספורט 42,39,2018,300000,39520-7-30,דירה בבית,2,7692
דימונה,מלכי ישראל,239,המעפיל 10,38.6,2018,150000,39515-26-17,דירה בבית,2,3886
דימונה,מלכי ישראל,240,בן גוריון 19,47.4,2018,349000,39515-36-35,דירה בבית,3,7363
