מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,0,128,2025,1270000,39509-69-28,דירה בבית,4,9922
2,0,137,2025,1750000,39833-60-1,דירה בבית,5,12774
3,0,170,2025,2080000,39833-59-1,דירה בבית,5,12235
4,0,161,2025,2250000,39833-55-1,דירה בבית,5,13975
5,0,117,2025,895000,39833-56-1,דירה בבית,4,7650
6,0,117,2025,895000,39833-57-1,דירה בבית,4,7650
7,0,117,2025,895000,39833-58-1,דירה בבית,4,7650
8,0,117,2025,895000,39833-55-2,דירה בבית,4,7650
9,0,95,2025,603000,39834-49-1,דירה בבית,3,6347
10,0,117,2025,896000,39833-69-1,דירה בבית,4,7658
11,0,117,2025,895000,39833-67-1,דירה בבית,4,7650
12,0,143,2025,1023000,39834-45-1,דירה בבית,6,7154
13,0,117,2025,895000,39833-55-3,דירה בבית,4,7650
14,0,137,2025,891000,39834-45-4,דירה בבית,5,6504
15,0,117,2025,895000,39833-57-2,דירה בבית,4,7650
16,0,116,2025,748000,39833-66-1,דירה בבית,4,6448
17,0,128,2025,748000,39833-58-2,דירה בבית,4,5844
18,0,128,2025,842000,39833-68-1,דירה בבית,4,6578
19,0,117,2025,869000,39833-69-2,דירה בבית,4,7427
20,0,171,2025,2250000,39833-55-4,דירה בבית,5,13158
23,בבא סאלי 78,34.9,2025,430000,39509-43-7,דירה בבית,2,12321
24,תל ערד 29,150,2025,1200000,39496-32-1,דירה בבית,5,8000
25,כובשי אילת 12,71,2025,470000,39511-25-9,דירה בבית,3,6620
26,0,161,2025,2380000,39833-55-5,דירה בבית,6,14783
28,כובשי אילת 14,87.9,2025,580000,39511-26-16,דירה בבית,4,6598
30,בבא סאלי 126,38.6,2025,453000,39511-20-27,דירה בבית,2,11736
32,קצרין 1,107,2025,1170000,39607-39-3,דירה בבית,4,10935
33,בבא סאלי 104,77,2025,530000,39509-65-5,דירה בבית,4,6883
34,בבא סאלי 78,34.9,2025,490000,39509-43-10,דירה בבית,2,14040
35,0,134,2025,1450000,39509-100-1,דירה בבית,5,10821
36,0,137,2025,1600000,39509-100-2,דירה בבית,5,11679
37,0,123,2025,1490000,39833-53-3,דירה בבית,5,12114
38,0,151,2025,1720000,39833-59-2,דירה בבית,5,11391
39,0,123,2025,1490000,39833-53-5,דירה בבית,5,12114
41,0,123,2025,1490000,39833-53-6,דירה בבית,5,12114
42,0,138,2025,1430000,39833-59-5,דירה בבית,5,10362
44,0,88,2025,1200000,39833-53-7,דירה בבית,3,13636
45,0,86,2025,1200000,39833-53-9,דירה בבית,3,13953
47,בבא סאלי 69,40.7,2024,275000,39509-62-12,דירה בבית,3,6757
48,גמלא 50,126,2024,1490000,39496-85-1,דירה בבית,4.5,11825
49,חמת גדר 6,60,2024,500000,39530-20-2,דירה בבית,3,8333
50,0,135,2024,1480000,39509-100-3,דירה בבית,5,10963
51,יגאל אלון 60,46.9,2024,550000,39511-10-1,דירה בבית,3,11727
52,0,95,2024,594000,39833-59-6,דירה בבית,3,6253
53,0,161,2024,2130000,39833-53-11,דירה בבית,5,13230
54,0,95,2024,593000,39833-59-7,דירה בבית,3,6242
55,קרני חיטין 36,144.5,2024,1960000,39497-63-14,דירה בבית,5,13564
56,יגאל אלון 58,75.4,2024,600000,39511-16-11,דירה בבית,3,7958
57,0,95,2024,595000,39833-61-1,דירה בבית,3,6263
58,0,97,2024,595000,39833-59-8,דירה בבית,3,6134
59,בבא סאלי 126,47.3,2024,380000,39511-20-24,דירה בבית,3,8034
60,0,97,2024,592000,39833-59-9,דירה בבית,3,6103
61,0,143,2024,1900000,39833-60-2,דירה בבית,5,13287
62,קרני חיטין 22,134.95,2024,2015000,39496-109-7,קוטג' חד משפחתי,5,14931
64,0,96,2024,1080000,39509-100-4,דירה בבית,3,11250
65,0,135,2024,1550000,39833-62-1,דירה בבית,5,11481
66,0,182,2024,2300000,39833-61-2,דירה בבית,5,12637
67,0,96,2024,1190000,39833-53-12,דירה בבית,3,12396
68,0,97,2024,592000,39833-62-2,דירה בבית,3,6103
69,0,96,2024,592000,39833-59-10,דירה בבית,3,6167
70,0,95,2024,593000,39833-61-3,דירה בבית,3,6242
72,0,96,2024,1190000,39833-53-13,דירה בבית,3,12396
73,כורזין 18,68,2024,1020000,39495-12-3,דירת גן,3,15000
75,0,135,2024,1520000,39509-100-5,דירה בבית,5,11259
76,0,98,2024,1215000,39833-53-14,דירה בבית,3,12398
77,0,86,2024,1150000,39833-59-11,דירה בבית,3,13372
78,0,97,2024,591000,39833-62-3,דירה בבית,3,6093
79,0,95,2024,592000,39833-62-4,דירה בבית,3,6232
80,0,138,2024,866000,39833-60-3,דירה בבית,5,6275
81,0,95,2024,589000,39833-62-5,דירה בבית,3,6200
82,0,97,2024,593000,39833-61-4,דירה בבית,3,6113
83,0,97,2024,593000,39833-61-5,דירה בבית,3,6113
84,יגאל אלון 60,56.2,2024,450000,39511-10-41,דירה בבית,3,8007
85,0,94,2024,583000,39833-59-12,דירה בבית,3,6202
86,0,97,2024,592000,39833-59-13,דירה בבית,3,6103
87,כובשי אילת 7,42.1,2024,520000,39511-14-4,דירה בבית,2,12352
88,0,135,2024,849000,39833-59-14,דירה בבית,5,6289
89,0,94,2024,1160000,400365-2-1,דירה בבית,3,12340
90,0,97,2024,592000,39833-59-15,דירה בבית,3,6103
91,0,94,2024,583000,400365-2-2,דירה בבית,3,6202
92,0,135,2024,849000,39833-59-20,דירה בבית,5,6289
93,0,161,2024,2060000,39833-53-15,דירה בבית,5,12795
94,0,97,2024,592000,400365-2-11,דירה בבית,3,6103
96,0,135,2024,862000,400365-2-13,דירה בבית,5,6385
97,0,138,2024,849000,39833-59-21,דירה בבית,5,6152
98,יגאל אלון 58,75.4,2024,565000,39511-16-8,דירה בבית,3,7493
99,תל ערד 13,114,2024,1230000,39496-24-1,דירה בבית,4,10789
100,0,135,2024,849000,39833-59-25,דירה בבית,5,6289
101,0,135,2024,849000,400365-2-15,דירה בבית,5,6289
