city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
דימונה,נאות קטיף,172,הרמה 7,185,2017,1570000,39942-19-1,קוטג' חד משפחתי,6,8486
דימונה,נאות קטיף,173,מרחבים 68,73,2017,400000,39518-102-12,דירה בבית,4,5479
דימונה,נאות קטיף,174,מרחבים 68,73,2017,630000,39518-102-23,דירה בבית,4,8630
דימונה,נאות קטיף,175,מורג 5,153.65,2017,1450000,39943-36-2,קוטג' דו משפחתי,5,9437
דימונה,נאות קטיף,176,דוגית 43,94.9,2017,924000,39943-40-16,דירה בבית,4,9737
דימונה,נאות קטיף,177,השלווה 18,76,2017,616000,39518-90-20,דירה בבית,4,8105
דימונה,נאות קטיף,178,המעפיל 77,154,2017,1070000,39517-104-2,קוטג' חד משפחתי,6,6948
דימונה,נאות קטיף,179,המעלה 16,250,2017,1525000,39517-99-1,דירת גן,6,6100
דימונה,נאות קטיף,181,הפסגה 42,192,2017,1600000,39517-54-1,דירה בבית,7,8333
דימונה,נאות קטיף,183,דוגית 21,94.9,2017,949000,39944-15-3,דירה בבית,4,10000
דימונה,נאות קטיף,184,דוד אלעזר 1,60,2017,499000,39518-89-18,דירה בבית,3,8317
דימונה,נאות קטיף,185,דוגית 17,96.25,2017,1100000,39944-15-1,דירת גן,4,11429
דימונה,נאות קטיף,186,השלווה 18,76,2017,574000,39518-90-13,דירה בבית,4,7553
