מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,מרחבים 30,60,2025,625000,39522-32-8,דירה בבית,3,10417
2,גדולי התורה 7,67,2025,680000,39522-3-33,דירה בבית,3,10149
3,מרחבים 5,68,2025,544000,39522-13-16,דירה בבית,3,8000
4,מרחבים 1331,40,2025,480000,39522-29-30,דירה בבית,2,12000
5,מרחבים 1327,56,2025,530000,39522-35-6,דירה בבית,3,9464
6,רשי 10,64,2025,189000,39522-11-5,דירה בבית,3,2953
7,גדולי התורה 1308,56,2025,560000,39522-20-27,דירה בבית,3,10000
8,מרחבים 32,67,2025,450000,39522-31-1,דירה בבית,3,6716
9,מרחבים 22,61,2025,550000,39522-28-9,דירה בבית,3,9016
10,מרחבים 32,67,2025,560000,39522-31-5,דירה בבית,3,8358
11,מרחבים 1331,63,2025,540000,39522-29-40,דירה בבית,3,8571
12,מרחבים 1331,47,2025,585000,39522-29-28,דירה בבית,3,12447
13,רשי 16,68,2025,625000,39522-8-27,דירה בבית,4,9191
14,מרחבים 1,57,2025,615000,39522-15-3,דירה בבית,3,10789
15,מרחבים 3,57,2025,317000,39522-18-24,דירה בבית,3,5561
16,מרחבים 32,68,2025,610000,39522-31-13,דירה בבית,3,8971
