city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
הוד השרון,מתחם 1200,1,גולדה מאיר 2,116,2025,3800000,6407-302-84,דירה בבית,4,32759
הוד השרון,מתחם 1200,2,גולדה מאיר 5,144.3,2025,4725000,6407-314-47,דירה בבית,5,32744
הוד השרון,מתחם 1200,3,אפרים קציר 8,117.5,2025,3630000,6407-297-160,דירה בבית,4,30894
הוד השרון,מתחם 1200,4,גולדה מאיר 2,185,2025,4550000,6407-302-83,דירה בבית,5,24595
הוד השרון,מתחם 1200,5,עזר ויצמן 12,102.3,2025,4000000,6407-262-116,דירה בבית,4,39101
הוד השרון,מתחם 1200,6,עזר ויצמן 10,116.6,2025,3990000,6407-262-1,דירה בבית,5,34220
הוד השרון,מתחם 1200,7,אפרים קציר 15,139,2025,4400000,6407-320-54,דירה בבית,5,31655
הוד השרון,מתחם 1200,8,גולדה מאיר 1,152.3,2025,3734000,6407-338-22,דירה בבית,6,24517
הוד השרון,מתחם 1200,9,0,105,2025,3610000,6407-420-81,דירה בבית,4,34381
הוד השרון,מתחם 1200,10,גולדה מאיר 7,134.8,2025,4600000,6407-315-6,דירה בבית,5,34125
הוד השרון,מתחם 1200,11,גולדה מאיר 2,150,2025,4650000,6407-302-82,דירה בבית,5,31000
הוד השרון,מתחם 1200,13,גולדה מאיר 8,130,2025,3500000,6407-325-10,דירה בבית,4,26923
הוד השרון,מתחם 1200,14,גולדה מאיר 8,142,2025,4200000,6407-325-4,דירה בבית,5,29577
הוד השרון,מתחם 1200,15,חיים הרצוג 9,118.88,2025,3620000,6407-417-126,דירה בבית,4,30451
הוד השרון,מתחם 1200,16,עזר ויצמן 3,133.3,2025,4080000,6407-259-8,דירה בבית,5,30608
הוד השרון,מתחם 1200,17,אפרים קציר 4,169.8,2025,4500000,6407-297-98,דירה בבית,5,26502
הוד השרון,מתחם 1200,18,עזר ויצמן 10,98.2,2025,3785000,6407-262-44,דירה בבית,4,38544
הוד השרון,מתחם 1200,21,גולדה מאיר 8,152.5,2025,4800000,6407-325-42,דירה בבית,5,31475
הוד השרון,מתחם 1200,22,0,105,2025,3700000,6407-420-83,דירה בבית,4,35238
הוד השרון,מתחם 1200,24,עזר ויצמן 8,144.45,2025,4500000,6407-260-122,דירה בבית,5,31153
הוד השרון,מתחם 1200,25,עזר ויצמן 8,144.45,2025,4500000,6407-260-98,דירה בבית,5,31153
הוד השרון,מתחם 1200,26,עזר ויצמן 2,144.5,2025,4000000,6407-257-10,קוטג' דו משפחתי,5,27682
הוד השרון,מתחם 1200,29,גולדה מאיר 7,119.6,2025,3850000,6407-315-24,דירה בבית,4,32191
הוד השרון,מתחם 1200,30,גולדה מאיר 2,136,2025,4550000,6407-302-81,דירה בבית,5,33456
