מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,יצחק בן צבי 10,105.25,2025,3580000,6411-467-78,דירה בבית,4,34014
2,זלמן שזר 5,122.66,2025,4100000,6411-474-54,דירה בבית,5,33426
3,יצחק בן צבי 4,126.9,2025,3750000,6411-470-57,דירה בבית,5,29551
4,זלמן שזר 9,96,2025,3430000,6411-476-13,דירה בבית,4,35729
5,זלמן שזר 5,97.27,2025,3600000,6411-474-65,דירה בבית,4,37010
6,יצחק בן צבי 6,101.9,2025,3380000,6411-469-20,דירה בבית,4,33170
7,זלמן שזר 1,96.01,2025,3335000,6411-472-20,דירה בבית,4,34736
8,יצחק בן צבי 10,98.74,2025,3600000,6411-467-71,דירה בבית,4,36459
9,יצחק בן צבי 4,100.7,2025,3340000,6411-470-12,דירה בבית,4,33168
10,הנשיאים 6,110.9,2025,3550000,6411-471-12,דירה בבית,4,32011
11,זלמן שזר 9,96,2025,3520000,6411-476-19,דירה בבית,4,36667
12,יצחק בן צבי 8,91.6,2025,3550000,6411-468-78,דירה בבית,3.5,38755
13,זלמן שזר 9,113,2024,4075000,6411-476-15,דירה בבית,5,36062
14,זלמן שזר 1,96.9,2024,3250000,6411-472-4,דירה בבית,4,33540
15,זלמן שזר 1,96.9,2024,1600000,6411-472-14,דירה בבית,4,16512
16,זלמן שזר 7,94.46,2024,3350000,6411-475-47,דירה בבית,4,35465
17,יצחק בן צבי 8,95.1,2024,3350000,6411-468-71,דירה בבית,4,35226
18,יצחק בן צבי 10,105.25,2024,3565000,6411-467-90,דירה בבית,4,33872
19,יצחק בן צבי 10,102.16,2024,3450000,6411-467-70,דירה בבית,4,33771
20,זלמן שזר 9,104,2024,3450000,6411-476-65,דירה בבית,4,33173
21,יצחק בן צבי 8,91.6,2024,3000000,6411-468-36,דירה בבית,4,32751
22,זלמן שזר 5,97.27,2024,3510000,6411-474-23,דירה בבית,4,36085
23,יצחק בן צבי 8,95.1,2024,3550000,6411-468-77,דירה בבית,4,37329
24,יצחק בן צבי 10,111.59,2024,4200000,6411-467-57,דירה בבית,4,37638
25,יצחק בן צבי 4,81,2024,2840000,6411-470-55,דירה בבית,3,35062
26,יצחק בן צבי 6,105.58,2024,3300000,6411-469-59,דירה בבית,4,31256
27,זלמן שזר 7,119.29,2024,3840000,6411-475-48,דירה בבית,5,32190
28,יצחק בן צבי 8,99.2,2024,3500000,6411-468-25,דירה בבית,4,35282
29,יצחק בן צבי 10,132.72,2024,4130000,6411-467-62,דירה בבית,5,31118
30,יצחק בן צבי 10,98.74,2024,3370000,6411-467-65,דירה בבית,4,34130
31,זלמן שזר 7,94.32,2024,3450000,6411-475-62,דירה בבית,4,36578
32,זלמן שזר 5,122.66,2024,3710000,6411-474-12,דירה בבית,5,30246
33,הנשיאים 8,105.3,2024,3200000,6411-471-62,דירה בבית,4,30389
34,הנשיאים 4,119.48,2024,3850000,6411-472-128,דירה בבית,5,32223
35,יצחק בן צבי 10,105.25,2023,3430000,6411-467-66,דירה בבית,4,32589
37,יצחק בן צבי 4,81,2023,2550000,6411-470-7,דירה בבית,3,31481
38,יצחק בן צבי 8,86.3,2023,2830000,6411-468-50,דירה בבית,3,32793
39,יצחק בן צבי 8,91.6,2023,3135000,6411-468-48,דירה בבית,3.5,34225
40,זלמן שזר 9,104,2023,3500000,6411-476-54,דירה בבית,4,33654
41,יצחק בן צבי 6,109.32,2023,3260000,6411-469-38,דירה בבית,4,29821
42,יצחק בן צבי 4,81,2023,2900000,6411-470-49,דירה בבית,3,35802
43,יצחק בן צבי 10,111.59,2023,3855000,6411-467-75,דירה בבית,4,34546
44,יצחק בן צבי 10,98.74,2023,3500000,6411-467-77,דירה בבית,4,35447
