מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
611,0,135,2015,2350000,6455-132-12,דירה,5,17407
612,הגאולה 23,122,2015,1820000,6455-511-13,דירה בבית,5,14918
613,רמתיים 13,143.9,2015,2630000,6455-1062-71,דירה בבית,5,18277
614,בן גוריון 16,119,2015,1930000,6455-1110-5,דירה בבית,4,16218
615,0,114,2015,1930000,6455-292-10,דירה,4,16930
616,ישורון 54,147.9,2015,4279000,6455-1105-206,דירה בבית,6,28932
617,0,150,2015,2950000,6455-126-17,דירה בבית,5,19667
618,הגאולה 23,61.07,2015,1440000,6455-511-6,דירה בבית,3,23579
619,האוטהקר 1,68.55,2015,1495000,6455-487-13,דירה בבית,3,21809
620,ישורון 56,134.5,2015,2900000,6455-1105-121,דירה בבית,5,21561
621,יהושע בן גמלא 39,153.62,2015,2340000,6455-1109-22,דירה בבית,5,15232
622,0,140,2015,2340000,6455-132-11,דירה,5,16714
623,עין חי 5,128.6,2015,1599000,6455-673-2,דירה בבית,6,12434
624,הגאולה 21,124,2015,1820000,6455-512-28,דירה בבית,5,14677
625,ישורון 54,208.6,2015,4650000,6455-1105-204,דירה בבית,6,22291
626,משאבים 26,122.76,2015,2100000,6455-616-44,דירה בבית,5,17107
627,0,107,2015,1750000,6455-234-54,דירה בבית,4,16355
628,ישורון 45,230,2015,3420000,6455-747-2,דירה בבית,6,14870
629,ישורון 56,109.9,2015,2250000,6455-1105-132,דירה בבית,5,20473
630,0,135,2015,2220000,6455-132-10,דירה,5,16444
631,הגאולה 15,96.48,2015,1730000,6455-635-7,דירה בבית,4,17931
632,ישורון 29,98.84,2015,1775000,6455-855-7,דירה בבית,3,17958
633,בן גוריון 16,119,2015,1970000,6455-1110-13,דירה בבית,4,16555
634,0,113,2015,1970000,6455-292-9,דירה,4,17434
635,0,107,2015,1830000,6455-448-3,דירה בבית,4,17103
636,0,107,2015,1830000,6455-234-12,דירה,4,17103
637,בן גוריון 16,119,2015,2330000,6455-1110-1,דירה בבית,4,19580
638,0,114,2015,2330000,6455-292-8,דירת גן,4,20439
639,ישורון 54,121.5,2015,2265000,6455-1105-197,דירה בבית,5,18642
640,עוגב 1,256,2015,3840000,6451-383-1,קוטג' דו משפחתי,6,15000
641,ישורון 56,109.9,2015,2254000,6455-1105-131,דירה בבית,5,20510
