מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
102,השופטים 4,113,2015,2640000,6546-554-19,דירה בבית,6,23363
103,התנאים 7,134,2015,3000000,6546-723-30,דירה בבית,5,22388
104,שטרן אברהם 3,94,2015,2415000,6546-553-9,דירה בבית,4,25691
105,השופטים 7,102,2015,2420000,6546-540-94,דירה בבית,4,23725
106,התנאים 5,134,2015,2650000,6546-722-28,דירה בבית,5.5,19776
107,השופטים 5,121,2015,2400000,6546-540-63,דירה בבית,4,19835
108,התנאים 5,134,2015,2700000,6546-722-6,דירה בבית,5,20149
109,אברהם שטרן 11,116,2015,2720000,6546-616-16,דירה בבית,5,23448
110,התנאים 3,134,2015,2660000,6546-721-22,דירה בבית,5.5,19851
111,התנאים 2,124,2015,2500000,6546-552-67,דירה בבית,4.5,20161
112,השופטים 7,102,2015,2075000,6546-540-90,דירה בבית,4,20343
113,השופטים 7,102,2015,2270000,6546-540-74,דירה בבית,4,22255
114,שטרן אברהם 3,93,2015,2100000,6546-553-22,דירה בבית,4.5,22581
115,שטרן אברהם 3,94,2015,2495000,6546-553-24,דירה בבית,4,26543
116,השופטים 4,115,2015,2450000,6546-554-24,דירה בבית,4.5,21304
