מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
125,חוף הכרמל 2,138,2017,2120000,10013-35-6,קוטג' דו משפחתי,5,15362
126,אד גורדון 1,178,2017,1850000,10016-85-1,קוטג' חד משפחתי,5,10393
127,הכנסת 27,134.53,2017,1849000,10016-201-1,קוטג' דו משפחתי,6,13744
128,0,142,2017,1939000,10016-450-3,דירה בבית,5,13655
129,0,172,2017,2050000,10016-451-3,קוטג' דו משפחתי,5,11919
130,0,172,2017,2050000,10016-451-1,קוטג' דו משפחתי,5,11919
131,0,142,2017,1940000,10016-450-1,קוטג' דו משפחתי,5,13662
132,0,168,2017,2000000,10016-446-2,קוטג' חד משפחתי,6,11905
133,יצחק גרינבוים 9,150,2017,1800000,10016-361-3,קוטג' דו משפחתי,6,12000
134,אהרונוביץ 20,127,2017,1850000,10016-342-4,קוטג' חד משפחתי,6,14567
135,בילינסון 21,169,2017,2199000,10016-106-2,קוטג' חד משפחתי,5,13012
136,בילינסון 30,150,2017,2299000,10016-166-3,דירה בבית,6,15327
137,יצחק גרינבוים 9,240,2017,1820000,10016-361-1,קוטג' חד משפחתי,6,7583
138,חוף הכרמל 2,225,2017,2640000,10013-35-5,קוטג' דו משפחתי,8,11733
139,אוסישקין 7,110,2017,2099000,10016-148-2,קוטג' חד משפחתי,4,19082
140,ים המלח 4,150,2017,2099000,10016-423-1,קוטג' חד משפחתי,5,13993
141,אד גורדון 10,194,2017,2500000,10016-74-3,קוטג' חד משפחתי,5,12887
142,אוסישקין 42,104,2017,1640000,10016-89-2,דירה בבית,4,15769
143,המגינים 4,142.75,2017,1700000,10016-196-2,קוטג' חד משפחתי,5,11909
144,הכנסת 10,68.9,2017,1570000,10016-215-3,דירה בבית,2.5,22787
145,ההסתדרות 2,83,2017,1680000,10016-164-1,קוטג' חד משפחתי,5,20241
146,אוסקר כהן 11,150,2017,2219000,10016-65-2,קוטג' חד משפחתי,5,14793
147,עגנון 10,160,2017,1949000,10009-284-1,קוטג' דו משפחתי,5,12181
148,משה מרדכי אפשטיין 24,159,2017,1499000,10016-394-3,קוטג' דו משפחתי,6,9428
