city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
חולון,נווה רמז,1,בר אילן 8,92.76,2025,2800000,6043-1868-6,דירה בבית,4,30185
חולון,נווה רמז,2,אהרונוביץ 34,78,2025,2100000,6043-1459-18,דירה בבית,3,26923
חולון,נווה רמז,3,ביאליק 152,75.3,2025,1919000,6043-1958-5,דירה בבית,4,25485
חולון,נווה רמז,4,אהרונוביץ 31,92.5,2025,2330000,6043-1255-62,דירה בבית,4,25189
חולון,נווה רמז,5,אהרונוביץ 34,74,2025,2240000,6043-1459-17,דירה בבית,3,30270
חולון,נווה רמז,6,ולנברג ראול 3,95.17,2025,2580000,6043-1905-6,דירה בבית,4.5,27109
חולון,נווה רמז,7,בר אילן 7,119.11,2025,2295000,6043-1888-6,דירה בבית,5,19268
חולון,נווה רמז,8,אהרונוביץ 37,37,2025,950000,6043-1735-8,דירה בבית,2,25676
חולון,נווה רמז,9,קלויזנר 12,94.91,2025,2435000,6043-1814-5,דירה בבית,4,25656
חולון,נווה רמז,10,אהרונוביץ 36,80,2025,2275000,6043-1460-7,דירה בבית,3,28438
חולון,נווה רמז,12,אילת 45,57.1,2025,1880000,7127-12-36,דירה בבית,3.5,32925
חולון,נווה רמז,13,אהרונוביץ 34,79,2025,2220000,6043-1459-16,דירה בבית,3,28101
חולון,נווה רמז,14,ביאליק 152,75.3,2025,2720000,6043-1958-7,דירה בבית,4,36122
חולון,נווה רמז,15,ראובן ברקת 8,98.16,2025,2160000,6043-1923-7,דירה בבית,4,22005
חולון,נווה רמז,16,ביאליק 154,75.3,2025,2616000,6043-1958-20,דירה בבית,4,34741
חולון,נווה רמז,17,קלויזנר 16,89,2025,2350000,6043-1818-2,דירה בבית,4,26404
חולון,נווה רמז,19,ביאליק 152,90,2025,2527000,6043-1958-12,דירה בבית,4,28078
