מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
39,הרב ניסים יצחק 7,68,2019,1600000,7178-42-12,דירה בבית,3,23529
40,חכמי ישראל 32,81.95,2019,1790000,7178-63-12,דירה בבית,4,21843
41,הרב ניסים יצחק 7,68,2019,1650000,7178-42-57,דירה בבית,3,24265
42,הרב ניסים יצחק 7,68,2019,1360000,7178-42-45,דירה בבית,3,20000
43,הרב ניסים יצחק 13,82,2019,1850000,7178-40-38,דירה בבית,4,22561
44,הרב ניסים יצחק 3,75.21,2019,550000,7178-43-45,דירה בבית,3.5,7313
45,0,84,2019,1490000,7178-62-1,דירה בבית,3.5,17738
46,אגוז 7,90,2019,1650000,7178-48-46,דירה בבית,5,18333
47,רח' כג 44,87.5,2019,1980000,7178-47-24,דירה בבית,4,22629
48,הרב ניסים יצחק 7,91,2019,1820000,7178-42-47,דירה בבית,5,20000
