מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
367,0,61.3,2022,1870000,7166-130-23,דירה בבית,3,30506
368,שמעוני 3,87,2022,2110000,7174-109-3,דירה בבית,3,24253
369,ויצמן 70,48,2022,830000,7176-10-52,דירה בבית,3,17292
370,פיכמן 1,139,2022,3442000,7174-163-248,דירה בבית,5,24763
371,חנקין 88,65.25,2022,1960000,7173-208-5,דירה בבית,3,30038
372,הופיין 35,70.82,2022,1600000,6746-433-11,דירה בבית,4,22592
373,פיכמן 1,140,2022,3605000,7174-163-249,דירה בבית,5,25750
374,ביאליק 91,75.02,2022,2325000,6746-167-17,דירה בבית,4,30992
375,חומה ומגדל 27,44.24,2022,1615000,7170-73-6,דירה בבית,2,36505
376,פתח תקווה 6,50,2022,1830000,7173-184-4,דירה בבית,2,36600
377,לאון בלום 52,48,2022,1000000,7176-77-33,דירה בבית,3,20833
378,סוקולוב 30,40.27,2022,1570000,7166-140-11,דירה בבית,2,38987
379,בילו 29,64.67,2022,1818000,7173-173-1,דירה בבית,3,28112
380,בילו 24,52,2022,715000,7173-157-11,דירה בבית,2.5,13750
381,פיכמן 1,129,2022,3274000,7174-163-250,דירה בבית,5,25380
382,ההסתדרות 52,90,2022,750000,7174-126-1,דירה בבית,3,8333
384,ויצמן 19,79,2022,2010000,7172-115-3,דירה בבית,3,25443
385,פיכמן 11,108.71,2022,2975000,6867-26-25,דירה בבית,5,27366
386,דר היינץ כהן 10,93,2022,3100000,6867-33-22,דירה בבית,4,33333
387,גולומב 34,37,2022,1530000,7176-9-10,דירה בבית,2,41351
388,פיכמן 1,105,2022,3165000,7174-163-251,דירה בבית,4,30143
389,פיכמן 1,83,2022,2405000,7174-163-252,דירה בבית,3,28976
391,הופיין 21,80.3,2022,2170000,6746-371-15,דירה בבית,4.5,27024
393,ההסתדרות 22,48,2022,850000,7176-73-3,דירה בבית,4.5,17708
394,פתח תקווה 3,91.56,2022,2400000,7173-142-5,דירה בבית,4,26212
395,פתח תקווה 8,62,2022,1745000,7173-185-3,דירה בבית,3,28145
396,גרינבוים 8,50.37,2022,1745000,7176-134-9,דירה בבית,2,34644
397,פיכמן 1,105,2022,3145000,7174-163-253,דירה בבית,4,29952
399,לאון בלום 29,135,2022,3220000,7176-27-2,דירה בבית,6,23852
400,ביאליק 83,64,2022,2195000,6746-159-11,דירה בבית,3,34297
401,ארלוזורוב 103,147,2022,3390000,6746-269-1,דירה בבית,6,23061
402,חומה ומגדל 14,73,2022,1500000,7175-35-3,דירה בבית,3,20548
403,פתח תקוה 1,56,2022,1067000,7173-141-12,דירה בבית,3,19054
404,פיכמן 1,134,2022,4005000,7174-163-254,דירה בבית,5,29888
406,פיכמן 1,140,2022,3675000,7174-163-255,דירה בבית,5,26250
408,ויצמן 6,74,2022,2150000,7172-98-5,דירה בבית,3,29054
409,בילו 15,63.85,2022,1200000,7170-94-10,דירה בבית,3,18794
410,בילינסון 15,100,2022,3500000,7172-45-3,דירת גן,5,35000
411,ארלוזורוב 59,91.85,2022,3165000,7175-54-3,דירה בבית,4,34458
412,יבנה 28,74.36,2022,2235000,7173-219-8,דירה בבית,4,30056
413,פיכמן 1,140,2022,3555000,7174-163-256,דירה בבית,5,25393
414,ויצמן 76,91.3,2022,566000,6746-440-19,דירה בבית,4,6199
415,ילג 13,98,2022,3200000,7174-201-27,דירה בבית,4,32653
416,שפרינצק 15,53.5,2022,100000,7170-80-2,דירה בבית,2,1869
417,ארלוזורוב 7,72.48,2022,150000,7170-49-8,דירה בבית,4,2070
421,ביאליק 83,116,2022,3500000,6746-159-12,דירה בבית,5,30172
422,יא באדר 6,45.31,2022,1730000,7172-201-22,דירה בבית,3,38181
423,סוקולוב 32,42.18,2022,1650000,7166-141-7,דירה בבית,2,39118
425,מודיעין 9,67,2022,3100000,7174-54-31,דירה בבית,3,46269
426,פיכמן 11,89.55,2022,2550000,6867-26-24,דירה בבית,4,28476
427,ויצמן 78,91.6,2022,716000,6746-441-10,דירה בבית,4,7817
428,חנקין 58,41.51,2022,835000,7170-87-3,דירה בבית,2.5,20116
429,הצפירה 4,49.76,2022,1520000,7171-173-3,דירה בבית,2.5,30547
430,שפרינצק 17,41.41,2022,800000,7170-35-3,דירה בבית,2,19319
431,ביאליק 20,58.5,2022,500000,7172-168-12,דירה בבית,2.5,8547
433,גולומב 34,37,2022,430000,7176-9-17,דירה בבית,2,11622
434,חומה ומגדל 21,80,2022,273000,7170-61-29,דירה בבית,4,3413
435,מניה וישראל שוחט 5,60.36,2022,1730000,6746-384-4,דירה בבית,3,28661
436,פתח תקוה 2,63.3,2022,1830000,7173-247-9,דירה בבית,3,28910
438,גולומב 34,37,2022,3272700,7176-9-2,דירה בבית,2,88451
439,פיכמן 4,59.1,2022,1525000,7174-200-2,דירה בבית,3,25804
440,שפרינצק 24,52,2022,1780000,7170-21-9,דירה בבית,2,34231
441,אחד במאי 13,86.63,2022,2100000,7172-27-3,דירה בבית,4,24241
442,יא באדר 6,45.62,2022,1663000,7172-201-26,דירה בבית,2.5,36453
443,לאון בלום 68,37,2022,725000,7176-9-112,דירה בבית,2,19595
444,בילו 21,59.54,2022,1600000,7173-165-6,דירה בבית,3,26873
445,ילג 13,108,2022,2800000,7174-201-28,דירה בבית,4,25926
446,סוקולוב 50,70.74,2022,1925000,7166-205-55,דירה בבית,3,27212
447,מניה וישראל שוחט 21,59.99,2022,300000,6746-368-8,דירה בבית,3,5001
448,חומה ומגדל 54,66.79,2022,1725000,7173-166-7,דירה בבית,3,25827
449,פיכמן 1,140,2022,3550000,7174-163-257,דירה בבית,5,25357
450,חנקין 90,61.61,2022,1470000,7173-209-4,דירה בבית,3,23860
451,שפרינצק 19,28,2022,1500000,7170-34-3,דירה בבית,2,53571
452,בילו 33,55,2022,1645000,7173-199-4,דירה בבית,3,29909
