city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
חולון,רסקו ב,210,קיבוץ גלויות 6,100.02,2017,1740000,6748-123-11,דירה בבית,4,17397
חולון,רסקו ב,211,אלופי צהל 46,92,2017,1550000,7344-61-4,דירה בבית,4,16848
חולון,רסקו ב,212,ההסתדרות 158,85,2017,1200000,6020-459-1,דירה בבית,3,14118
חולון,רסקו ב,213,השחר 2,150,2017,3400000,6020-452-3,קוטג' דו משפחתי,6,22667
חולון,רסקו ב,214,אמבר 9,75.9,2017,1840000,6020-350-4,דירה בבית,4.5,24242
חולון,רסקו ב,215,אלופי צהל 30,115.1,2017,1710000,7344-53-4,דירה בבית,4,14857
חולון,רסקו ב,216,ההסתדרות 148,82.6,2017,1836700,6020-347-4,דירה בבית,4,22236
חולון,רסקו ב,217,אלופי צהל 24,129.47,2017,2250000,7344-6-26,דירה בבית,5,17379
חולון,רסקו ב,218,שמריהו לוין 23,129.27,2017,2285000,6020-442-4,דירה בבית,5,17676
חולון,רסקו ב,219,אלופי צהל 32,88,2017,1890000,7344-54-12,דירה בבית,4,21477
חולון,רסקו ב,220,ההסתדרות 176,62.84,2017,1900000,6020-717-3,דירה בבית,3,30236
חולון,רסקו ב,221,דוד אלעזר 33,61.16,2017,1500000,6748-124-1,דירה בבית,3,24526
חולון,רסקו ב,222,קיבוץ גלויות 11,137.53,2017,2850000,6020-437-6,דירה בבית,6,20723
חולון,רסקו ב,224,שטרוק 1,104,2017,308000,6020-322-2,דירה בבית,5,2962
חולון,רסקו ב,225,אלופי צהל 18,92.64,2017,1790000,7344-9-24,דירה בבית,4.5,19322
חולון,רסקו ב,226,קיבוץ גלויות 10,84.69,2017,1697000,7344-42-3,דירה בבית,4,20038
