מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
149,חמדה 1,99.1,2022,2520000,10733-111-23,דירה בבית,4,25429
151,יפעה 3,124,2022,2450000,10733-123-7,דירה בבית,5,19758
152,הוד 7,122.3,2022,2700000,10733-105-36,דירה בבית,5,22077
153,חמדה 16,99.03,2022,2400000,10733-127-4,דירה בבית,4,24235
155,חמדה 12,126.74,2022,2500000,10733-128-83,דירה בבית,5,19725
157,נוי 1,136.8,2022,1300000,10733-109-89,דירה בבית,5,9503
158,חמדה 15,95.6,2022,2250000,10733-117-39,דירה בבית,4,23536
159,חמדה 13,118.9,2022,2005000,10733-117-22,דירה בבית,5,16863
160,יפעה 3,124,2022,2500000,10733-123-6,דירה בבית,4,20161
161,זוהר 12,97.5,2022,2330000,10733-102-80,דירה בבית,4,23897
162,זוהר 12,136.7,2022,3650000,10733-102-135,דירה בבית,5,26701
163,0,129,2022,3045000,10733-104-90,דירה בבית,5,23605
165,נוי 3,118,2022,1890000,10733-109-28,דירה בבית,4,16017
167,זוהר 12,122.2,2022,2600000,10733-102-116,דירה בבית,4,21277
168,הוד 2,165.5,2022,4700000,10733-106-17,דירה בבית,6,28399
169,הוד 7,117.4,2022,2125000,10733-105-71,דירה בבית,5,18101
170,הוד 7,113.9,2022,2300000,10733-105-25,דירה בבית,4,20193
171,חמדה 15,137.6,2022,2600000,10733-117-49,דירה בבית,5,18895
172,נוי 7,136,2022,2390000,10733-109-53,דירה בבית,5,17574
173,0,123,2022,2950000,10733-104-29,דירה בבית,5,23984
174,0,105,2022,2923000,10733-104-91,דירה בבית,4,27838
177,הוד 7,123.7,2022,3650000,10733-105-68,דירה בבית,5,29507
178,זוהר 12,97.7,2022,1850000,10733-102-77,דירה בבית,4,18936
179,חמדה 9,99,2022,2570000,10733-111-121,דירה בבית,5,25960
180,0,109,2022,1800000,10733-115-1,דירה בבית,5,16514
181,יפעה 1,153,2022,2320000,10733-122-14,דירה בבית,5,15163
182,זוהר 12,144.1,2022,2700000,10733-102-123,דירה בבית,5,18737
183,הוד 7,136.5,2022,3200000,10733-105-86,דירה בבית,5,23443
184,זוהר 8,101.7,2022,1770000,10733-100-62,דירה בבית,4,17404
