מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
101,השחף 4,83.04,2023,2600000,10929-33-8,דירה בבית,4,31310
102,החיל 28,55,2023,1500000,10817-20-114,דירה בבית,2.5,27273
103,החיל 8,80,2023,1500000,10817-29-47,דירה בבית,3,18750
104,בת גלים 16,90,2023,1750000,10818-1-2,דירה בבית,3,19444
105,החיל 6,63,2023,900000,10817-29-46,דירה בבית,3,14286
106,העלייה ה 21,40.6,2023,1400000,10919-32-17,דירה בבית,2,34483
107,החיל 28,49.5,2023,1300000,10817-20-75,דירה בבית,2,26263
108,בת גלים 11,70,2023,2310000,10819-8-6,דירה בבית,3,33000
109,העלייה ה 20,36,2023,450000,11750-9-8,דירה בבית,1.5,12500
110,יעקב כספי 3,66.17,2023,2450000,10819-64-9,דירה בבית,3,37026
111,העלייה ה 62,62.5,2023,1875000,10818-4-2,דירה בבית,3,30000
112,העלייה ה 19,42.4,2023,1500000,10919-34-22,דירה בבית,2,35377
113,החיל 6,105,2023,1462000,10817-29-54,דירה בבית,4,13924
114,0,105,2023,1462000,10817-30-1,דירה בבית,4,13924
115,החיל 4,83,2023,1462000,10817-31-3,דירה בבית,3,17614
116,רציף אהרון 21,77.63,2023,2500000,10929-11-1,דירה בבית,4,32204
117,לוץ 4,87.65,2023,2000000,10819-45-22,דירה בבית,4,22818
118,העלייה ה 11,58,2023,2100000,10919-37-33,דירה בבית,2,36207
119,פינת גן 4,104.8,2023,3535300,10818-47-6,דירה בבית,4,33734
120,יונתן 1,76,2023,600000,10819-26-10,דירה בבית,3,7895
121,העלייה ה 22,78,2023,1980000,11750-4-3,דירה בבית,3,25385
122,קלח 1,33.1,2023,960000,10817-25-18,דירה בבית,1,29003
123,הצנחנים 1,30.9,2023,1250000,10817-26-18,דירה בבית,2,40453
124,השרון 45,89,2023,2056000,10818-7-7,דירה בבית,3,23101
125,החיל 28,49.5,2023,1350000,10817-20-93,דירה בבית,2,27273
126,השרון 45,88,2023,2675000,10818-7-3,דירה בבית,4,30398
127,השרון 35,100,2023,239000,10818-12-10,דירה בבית,5,2390
128,רחף 9,53.23,2023,454000,10817-12-13,דירה בבית,3,8529
129,השרון 45,98,2023,3306000,10818-7-12,דירה בבית,4,33735
130,השרון 41,106.6,2023,3290000,10818-65-2,דירה בבית,5,30863
131,השחף 4,100,2023,145000,10929-33-9,דירה בבית,5,1450
132,לוץ 32,68.68,2023,1900000,10919-24-7,דירה בבית,3,27665
133,השחף 3,73,2023,2300000,10929-36-1,דירה בבית,3,31507
134,השרון 45,74,2023,2290000,10818-7-13,דירה בבית,3,30946
135,לוץ 20,60,2023,1340000,10819-73-5,דירה בבית,3,22333
136,החיל 28,52.8,2023,1425000,10817-20-143,דירה בבית,3,26989
138,העלייה ה 42,65.1,2023,480000,10819-71-11,דירה בבית,4,7373
139,העלייה ה 9,58,2023,1750000,10919-39-3,דירה בבית,3,30172
140,השרון 35,76.8,2023,2700000,10818-12-5,דירה בבית,4,35156
141,העלייה ה 11,55,2023,1200000,10919-37-32,דירה בבית,3,21818
142,העלייה ה 19,42.4,2023,1540000,10919-34-43,דירה בבית,2.5,36321
144,העליה ה 23,44.1,2023,873000,10919-30-30,דירה בבית,2,19796
145,העלייה ה 69,72.2,2023,2000000,10817-8-2,דירה בבית,3,27701
146,העלייה ה 19,40.6,2023,1475000,10919-34-55,דירה בבית,2,36330
147,העלייה ה 21,40.6,2023,1600000,10919-32-23,דירה בבית,2,39409
148,החיל 28,55.9,2023,404000,10817-20-162,דירה בבית,3,7227
150,רחף 1,74,2023,2085000,10817-10-7,דירה בבית,3,28176
151,העלייה ה 19,42.4,2023,1400000,10919-34-54,דירה בבית,2,33019
152,החיל 6,105,2023,1830000,10817-29-45,דירה בבית,4,17429
153,יעקב כספי 4,28.61,2023,365000,10819-60-1,דירה בבית,2,12758
154,רציף אהרון 1,92,2023,2800000,10929-38-1,דירה בבית,3,30435
155,רציף אהרון 9,102,2023,3317000,10929-25-6,דירה בבית,4,32520
158,העלייה ה 20,77,2023,1850000,11750-13-5,דירה בבית,3,24026
160,העלייה ה 21,42.13,2023,521000,10919-32-61,דירה בבית,3,12366
161,החיל 28,51.4,2023,1370000,10817-20-94,דירה בבית,3,26654
162,רציף אהרון 3,54.32,2023,1850000,10929-37-7,דירה בבית,2,34057
163,יונתן 1,56,2023,1300000,10819-26-11,דירה בבית,2,23214
164,בת גלים 11,112,2023,2800000,10819-8-7,דירה בבית,4,25000
