מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
173,העצמאות 80,109.72,2021,518000,12179-1-14,דירה בבית,3,4721
180,נתנזון 8,78.47,2021,1300000,12180-7-3,דירת גן,3,16567
181,נתן קיזרמן 2,81,2021,1000000,12179-5-8,דירה בבית,4,12346
182,יפו 82,50,2021,1130000,12639-9-15,דירה בבית,3,22600
190,אלנבי 18,63,2021,768000,11679-13-5,דירה בבית,3,12190
191,שיבת ציון 7,64.15,2021,400000,12180-26-9,דירה בבית,3,6235
192,העצמאות 80,109.95,2021,251000,12179-1-12,דירה בבית,3,2283
193,0,58,2021,1130000,10834-116-10,דירה בבית,2,19483
194,0,58,2021,1350000,10834-116-15,דירה בבית,2,23276
195,יפו 82,89,2021,1520000,12639-9-25,דירה בבית,4,17079
197,שיבת ציון 1,73,2021,520000,12180-17-24,דירה בבית,3,7123
199,0,55,2021,980000,10834-116-9,דירה בבית,2,17818
202,0,56,2021,1050000,10834-116-8,דירה בבית,3,18750
205,0,39,2021,830000,10834-116-7,דירה בבית,2,21282
207,נתן קיזרמן 2,81,2021,1000000,12179-5-9,דירה בבית,4,12346
210,אלנבי 18,71,2021,490000,11679-13-6,דירה בבית,3,6901
211,0,58,2021,1039000,10834-116-6,דירה בבית,2,17914
212,0,56,2021,1000000,10834-116-5,דירה בבית,3,17857
214,0,52,2021,1300000,10834-116-4,דירה בבית,2,25000
215,0,56,2021,999000,10834-116-3,דירת גן,3,17839
218,יפו 82,89,2021,1550000,12639-9-26,דירה בבית,4,17416
220,המגינים 46,60.67,2021,1335000,12553-37-8,דירה בבית,2,22004
225,יפו 82,55,2021,1180000,12639-9-14,דירה בבית,3,21455
226,0,78,2021,1360000,12178-1-27,דירה בבית,3,17436
227,0,53,2021,1005000,12178-1-17,דירה בבית,2,18962
228,0,53,2021,1035000,12178-1-18,דירה בבית,2,19528
229,0,70,2021,1200000,12178-1-16,דירה בבית,3,17143
232,רובין 10,44.44,2021,97000,12180-35-1,דירה בבית,1,2183
234,המגינים 46,60.67,2021,1250000,12553-37-6,דירה בבית,2,20603
