מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
245,הרב ניסים אוחנה 39,47.23,2016,399000,12471-5-14,דירה בבית,2,8448
248,אירביד 3,53,2016,902000,10841-30-20,דירה בבית,3,17019
249,אירביד 3,70,2016,1470688,10841-30-12,דירה,3,21010
250,אירביד 3,72,2016,1311689,10841-30-9,דירה,3,18218
251,אירביד 3,69,2016,1200688,10841-30-8,דירה,3,17401
252,אירביד 3,48,2016,902046,10841-30-6,דירה,3,18793
253,אירביד 3,70,2016,1312688,10841-30-11,דירה,3,18753
255,אירביד 3,49,2016,948817,10841-30-7,דירה,3,19364
256,נפתלי אימבר 9,52.09,2016,470000,12471-8-10,דירה בבית,2.5,9023
257,אירביד 3,62,2016,1160000,10841-30-23,דירה בבית,3,18710
258,אירביד 3,62,2016,1160000,10841-30-4,דירה,3,18710
259,אירביד 3,46,2016,860000,10841-30-3,דירה,2,18696
262,הרב ניסים אוחנה 37,75.79,2016,669000,12471-2-2,דירה בבית,4,8827
263,אירביד 3,51,2016,1064000,10841-30-25,דירת גן,3,20863
264,אירביד 9,52,2016,1064130,10841-32-5,דירה,3,20464
265,אירביד 3,69,2016,1100000,10841-30-26,דירה בבית,3,15942
266,אירביד 3,62,2016,1100000,10841-30-2,דירה,3,17742
268,קיבוץ גלויות 12,55.15,2016,310000,12476-17-5,דירה בבית,2,5621
269,אירביד 9,51,2016,865000,10841-32-4,דירה בבית,2,16961
270,אירביד 9,51,2016,865000,10841-32-3,דירה,2,16961
272,שוקרי 10,76.3,2016,430000,12471-10-9,דירה בבית,4,5636
273,אירביד 3,48,2016,725000,10841-30-27,דירה בבית,3,15104
274,אירביד 3,48,2016,725000,10841-30-1,דירה,3,15104
275,אירביד 4,48,2016,202000,10841-19-4,דירה בבית,2,4208
277,אירביד 4,48,2016,216000,10841-19-3,דירה בבית,2,4500
278,שיבת ציון 48,50,2016,245000,10841-22-1,דירה בבית,2,4900
279,אירביד 4,47,2016,225000,10841-19-1,דירה בבית,2,4787
280,אירביד 4,48,2016,833000,10841-19-2,דירה בבית,2,17354
282,שוקרי 10,56.25,2016,80000,12471-10-3,דירה בבית,3,1422
