city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
חיפה,זיו,426,ברל כצנלסון 43,78,2019,1480000,11200-265-19,דירה בבית,3,18974
חיפה,זיו,427,ברל כצנלסון 43,78,2019,1475000,11200-265-1,דירה,3,18910
חיפה,זיו,428,ברל כצנלסון 47,78,2019,1392000,11200-268-56,דירה בבית,3,17846
חיפה,זיו,429,ברל כצנלסון 55,142,2019,2505000,11200-267-83,דירה בבית,5,17641
חיפה,זיו,430,ברל כצנלסון 45,78,2019,1515000,11200-266-15,דירה בבית,3,19423
חיפה,זיו,433,ברל כצנלסון 74,76,2019,1353000,11200-262-176,דירה בבית,3,17803
חיפה,זיו,434,ברל כצנלסון 55,180,2019,3135000,11200-267-84,דירה בבית,5,17417
חיפה,זיו,435,ברל כצנלסון 70,83,2019,1675000,11200-263-33,דירה בבית,3,20181
חיפה,זיו,438,ברל כצנלסון 74,102,2019,1885000,11200-262-179,דירה בבית,4,18480
חיפה,זיו,439,אזר 20,37,2019,800000,11200-270-11,דירה בבית,2,21622
חיפה,זיו,440,ברל כצנלסון 74,101,2019,1760000,11200-262-180,דירה בבית,4,17426
חיפה,זיו,441,ברל כצנלסון 74,102,2019,1755000,11200-262-135,דירה,4,17206
חיפה,זיו,442,ברל כצנלסון 47,152,2019,2975000,11200-268-57,דירה בבית,5,19572
חיפה,זיו,444,ברל כצנלסון 47,153,2019,2970000,11200-268-1,דירה,5,19412
חיפה,זיו,445,ברל כצנלסון 43,120,2019,1985000,11200-265-20,דירה בבית,5,16542
חיפה,זיו,447,ברל כצנלסון 70,101,2019,1835000,11200-263-34,דירה בבית,4,18168
חיפה,זיו,448,ברל כצנלסון 70,102,2019,1830000,11200-263-2,דירה,4,17941
חיפה,זיו,449,גלבוע 52,76.3,2019,1420000,11201-92-2,דירה בבית,4,18611
חיפה,זיו,450,ברל כצנלסון 43,120,2019,1995000,11200-265-22,דירה בבית,5,16625
חיפה,זיו,451,ברל כצנלסון 55,152,2019,2975000,11200-267-85,דירה בבית,5,19572
חיפה,זיו,452,ברל כצנלסון 55,120,2019,2120000,11200-267-3,דירה,5,17667
חיפה,זיו,453,ברל כצנלסון 70,120,2019,1965000,11200-263-35,דירה בבית,5,16375
חיפה,זיו,454,ברל כצנלסון 55,102,2019,1820000,11200-267-88,דירה בבית,4,17843
חיפה,זיו,455,ברל כצנלסון 55,102,2019,1814400,11200-267-2,דירה,4,17788
חיפה,זיו,456,ברל כצנלסון 55,102,2019,1645000,11200-267-89,דירה בבית,4,16127
חיפה,זיו,457,ברל כצנלסון 70,101,2019,1695000,11200-263-36,דירה בבית,4,16782
חיפה,זיו,458,ברל כצנלסון 70,102,2019,1690000,11200-263-1,דירה,4,16569
חיפה,זיו,459,ברל כצנלסון 55,102,2019,1640000,11200-267-1,דירה,4,16078
חיפה,זיו,460,ברל כצנלסון 74,102,2019,1720000,11200-262-181,דירה בבית,4,16863
חיפה,זיו,461,ברל כצנלסון 74,102,2019,1720000,11200-262-134,דירה,4,16863
חיפה,זיו,464,ברל כצנלסון 74,77,2019,1400000,11200-262-182,דירה בבית,3,18182
חיפה,זיו,465,גלבוע 29,77.48,2019,1390000,10885-98-1,דירה בבית,4,17940
חיפה,זיו,467,אריה (לובה) אליאב 20,48,2019,875000,11201-244-4,דירה בבית,2,18229
חיפה,זיו,468,ברל כצנלסון 74,78,2019,1430000,11200-262-185,דירה בבית,3,18333
חיפה,זיו,469,ברל כצנלסון 74,152,2019,2900000,11200-262-186,דירה בבית,5,19079
חיפה,זיו,470,ברל כצנלסון 74,102,2019,1810000,11200-262-189,דירה בבית,4,17745
חיפה,זיו,471,אריה (לובה) אליאב 18,50,2019,860000,11201-243-128,דירה בבית,2,17200
חיפה,זיו,472,ברל כצנלסון 47,102,2019,1610000,11200-268-58,דירה בבית,4,15784
חיפה,זיו,473,ברל כצנלסון 74,101,2019,1700000,11200-262-190,דירה בבית,4,16832
חיפה,זיו,474,ברל כצנלסון 74,142,2019,2435000,11200-262-191,דירה בבית,5,17148
חיפה,זיו,475,ברל כצנלסון 74,77,2019,1400000,11200-262-192,דירה בבית,3,18182
חיפה,זיו,477,ברל כצנלסון 32,52.5,2019,950000,11200-280-6,דירה בבית,3,18095
חיפה,זיו,478,ברל כצנלסון 74,120,2019,1870000,11200-262-193,דירה בבית,5,15583
חיפה,זיו,480,ברל כצנלסון 74,78,2019,1415000,11200-262-197,דירה בבית,3,18141
חיפה,זיו,481,ברל כצנלסון 74,82,2019,1400000,11200-262-198,דירה בבית,3,17073
חיפה,זיו,482,ברל כצנלסון 74,120,2019,2020000,11200-262-200,דירה בבית,5,16833
חיפה,זיו,483,פינסקר 66,80.53,2019,1230000,11201-63-2,דירה בבית,4,15274
חיפה,זיו,484,ברל כצנלסון 74,144,2019,2440000,11200-262-201,דירה בבית,5,16944
חיפה,זיו,486,ברל כצנלסון 74,102,2019,1800000,11200-262-133,דירה,4,17647
חיפה,זיו,487,ברל כצנלסון 74,78,2019,1470000,11200-262-202,דירה בבית,3,18846
חיפה,זיו,488,ברל כצנלסון 74,78,2019,1470000,11200-262-132,דירה,3,18846
חיפה,זיו,489,ברל כצנלסון 74,102,2019,1790000,11200-262-203,דירה בבית,4,17549
חיפה,זיו,492,אדם הכהן 8,96.8,2019,1550000,11201-55-4,דירה בבית,4,16012
חיפה,זיו,493,ברל כצנלסון 74,76,2019,1390000,11200-262-205,דירה בבית,3,18289
חיפה,זיו,494,ברל כצנלסון 74,102,2019,1580000,11200-262-206,דירה בבית,4,15490
חיפה,זיו,495,ברל כצנלסון 74,76,2019,1390000,11200-262-130,דירה,3,18289
חיפה,זיו,496,ברל כצנלסון 74,102,2019,1580000,11200-262-129,דירה,4,15490
חיפה,זיו,497,ברל כצנלסון 74,101,2019,1760000,11200-262-207,דירה בבית,4,17426
חיפה,זיו,498,ברל כצנלסון 74,102,2019,1760000,11200-262-128,דירה,4,17255
חיפה,זיו,499,ברל כצנלסון 74,101,2019,1770000,11200-262-208,דירה בבית,4,17525
חיפה,זיו,500,ברל כצנלסון 74,102,2019,1770000,11200-262-127,דירה,4,17353
