city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
חיפה,עין הים,7,העוגן 13,41.28,2024,930000,10802-64-2,דירה בבית,3,22529
חיפה,עין הים,8,התורן 36,61.24,2024,2000000,11672-13-1,דירה בבית,3,32658
חיפה,עין הים,9,התורן 14,61.24,2024,1390000,11672-21-14,דירה בבית,2,22698
חיפה,עין הים,10,התורן 8,61.24,2024,1505000,11672-25-19,דירה בבית,2.5,24575
חיפה,עין הים,11,גנרל קניג פייר 1,77.6,2024,400000,10906-301-18,דירה בבית,3,5155
חיפה,עין הים,12,התורן 20,61.24,2024,1600000,11672-19-11,דירה בבית,2.5,26127
חיפה,עין הים,13,התורן 12,61.24,2024,550000,11672-21-7,דירה בבית,2,8981
חיפה,עין הים,14,גנרל קניג פייר 1,66.4,2024,1470000,10906-301-5,דירה בבית,3,22139
חיפה,עין הים,15,יאיר שטרן 17,48.2,2024,930000,10802-160-14,דירה בבית,2.5,19295
חיפה,עין הים,17,העוגן 41,106,2024,1300000,10906-1-3,דירה בבית,3,12264
חיפה,עין הים,19,ההגה 8,54,2024,650000,10802-18-2,דירה בבית,3,12037
חיפה,עין הים,20,התורן 25,84,2024,2600000,10802-30-2,דירה בבית,3,30952
חיפה,עין הים,21,יאיר שטרן 17,59.3,2024,1040000,10802-160-16,דירה בבית,3,17538
חיפה,עין הים,22,התורן 41,56.22,2024,1300000,10906-9-5,דירה בבית,3,23123
חיפה,עין הים,23,ירמיהו הלפרן 3,108,2024,2400000,10802-85-4,דירה בבית,5,22222
חיפה,עין הים,24,התורן 40,63.7,2024,1700000,11672-12-2,דירה בבית,3.5,26688
