מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
111,יציב 5,87,2024,1861000,11585-32-5,דירה בבית,4,21391
113,חומה ומגדל 23,59.97,2024,1040000,11586-37-4,דירה בבית,3,17342
114,שבטי ישראל 68,49,2024,1040000,11583-93-14,דירה בבית,3,21224
115,הנוטר 40,84,2024,1900000,11576-63-3,דירה בבית,4,22619
116,יציב 5,73,2024,1500000,11585-32-6,דירה בבית,3,20548
117,הנוטר 64,92.09,2024,1350000,11576-39-7,דירה בבית,4,14660
118,הנוטר 76,116.34,2024,1820000,11576-33-9,דירה בבית,5,15644
119,שבטי ישראל 53,94,2024,2070000,11539-29-8,דירה בבית,6,22021
120,השיירה 42,233.26,2024,2600000,11582-82-5,דירה בבית,6,11146
121,הראשונים 15,144.43,2024,1750000,11575-50-11,דירה בבית,6,12117
122,ששת הימים 51,126,2024,2150000,11565-24-11,דירה בבית,5,17063
123,יציב 5,87,2024,1840000,11585-32-7,דירה בבית,4,21149
124,ברכה פולד 16,128.93,2024,1900000,11584-63-4,דירה בבית,5,14737
125,חומה ומגדל 11,81,2024,1500000,11586-43-3,דירה בבית,4,18519
126,יציב 5,73,2024,1537000,11585-32-8,דירה בבית,3,21055
127,ששת הימים 25,390,2024,4350000,11565-129-2,קוטג' חד משפחתי,8,11154
128,הראשונים 15,103.41,2024,1725000,11575-50-9,דירה בבית,4,16681
129,משה שרת 33,120.65,2024,2350000,11580-71-4,דירה בבית,5,19478
130,יצחק בן צבי 4,69.8,2024,1250000,11575-104-46,דירה בבית,3,17908
131,יציב 43,105.95,2024,1680000,11582-32-8,דירה בבית,4,15857
133,הנוטר 54,69.56,2024,1494000,11576-56-5,דירה בבית,4,21478
134,שמואל יבנאלי 12,80.12,2024,1525000,11586-31-5,דירה בבית,4,19034
135,הפלוגות 45,75,2024,1250000,11570-138-2,דירה בבית,3,16667
