city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
טבריה,בן גוריון,252,דוד אלעזר 4,73.2,2018,650000,15284-120-16,דירה בבית,3,8880
טבריה,בן גוריון,253,דוד אלעזר 12,73.2,2018,625000,15284-118-22,דירה בבית,3,8538
טבריה,בן גוריון,254,זלמן שזר 25,116,2018,1060000,15761-111-50,דירה בבית,4,9138
טבריה,בן גוריון,255,זלמן שזר 25,125,2018,1100000,15761-111-49,דירה,5,8800
טבריה,בן גוריון,256,זלמן שזר 25,105,2018,949000,15761-111-48,דירה בבית,4,9038
טבריה,בן גוריון,257,דוד אלעזר 5,59.2,2018,400000,15284-108-2,דירה בבית,3,6757
טבריה,בן גוריון,259,דוד אלעזר 5,59.2,2018,514000,15284-108-6,דירה בבית,3,8682
טבריה,בן גוריון,260,אריה בן אליעזר 12,73.2,2018,650000,15284-139-9,דירה בבית,3,8880
טבריה,בן גוריון,261,אריה בן אליעזר 2,148,2018,1125000,15284-134-7,דירה בבית,6,7601
טבריה,בן גוריון,262,הנשיא ויצמן 6,113.2,2018,745000,15284-141-16,דירה בבית,6,6581
טבריה,בן גוריון,263,זלמן שזר 10,77.6,2018,650000,15284-133-5,דירה בבית,3,8376
טבריה,בן גוריון,264,זלמן שזר 25,197,2018,1050000,15761-111-80,דירה בבית,5,5330
טבריה,בן גוריון,265,זלמן שזר 25,197,2018,1020000,15761-111-81,דירה בבית,5,5178
טבריה,בן גוריון,266,דוד אלעזר 15,59.2,2018,549000,15284-104-9,דירה בבית,3,9274
טבריה,בן גוריון,267,זלמן שזר 14,87,2018,750000,15284-131-14,דירה בבית,4,8621
טבריה,בן גוריון,268,זלמן שזר 25,138,2018,1300000,15761-111-82,דירה בבית,5,9420
טבריה,בן גוריון,269,זלמן שזר 25,122,2018,1300000,15761-111-46,דירה,5,10656
טבריה,בן גוריון,270,זלמן שזר 11,124,2018,945000,15284-126-3,דירה בבית,5,7621
טבריה,בן גוריון,271,דוד אלעזר 12,73.2,2018,600000,15284-118-20,דירה בבית,3,8197
טבריה,בן גוריון,272,זלמן שזר 15,118.2,2018,873000,15284-128-14,דירה בבית,5,7386
טבריה,בן גוריון,273,זלמן שזר 14,87,2018,650000,15284-131-17,דירה בבית,4,7471
טבריה,בן גוריון,274,זלמן שזר 25,145,2018,975000,15761-111-45,דירה בבית,5,6724
טבריה,בן גוריון,275,זלמן שזר 17,59.1,2018,595000,15284-129-6,דירה בבית,3,10068
טבריה,בן גוריון,276,אריה בן אליעזר 8,81.7,2018,670000,15284-137-16,דירה בבית,4,8201
