city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
טבריה,קריית שמואל,1,טבריה,קריית שמואל,אחד העם 42,160,2025,2000000,15001-5-4,דירה בבית,6,12500
טבריה,קריית שמואל,2,טבריה,קריית שמואל,ביאליק 20,124,2025,1640000,15076-36-2,דירה בבית,4,13226
טבריה,קריית שמואל,3,טבריה,קריית שמואל,0,117,2025,1570000,15172-5-35,דירה בבית,4,13419
טבריה,קריית שמואל,4,טבריה,קריית שמואל,ביאליק 4,91.53,2025,920000,15001-24-17,דירה בבית,4,10051
טבריה,קריית שמואל,5,טבריה,קריית שמואל,ביאליק 11,87.26,2025,1070000,15002-15-5,דירה בבית,3,12262
טבריה,קריית שמואל,6,טבריה,קריית שמואל,מודיעין 10,103.42,2025,1194000,15099-36-5,דירה בבית,5,11545
טבריה,קריית שמואל,7,טבריה,קריית שמואל,יהודה הנשיא 27,127,2025,1585000,15098-43-3,דירה בבית,4,12480
טבריה,קריית שמואל,8,טבריה,קריית שמואל,ביאליק 4,91.88,2025,865000,15001-24-12,דירה בבית,4,9414
טבריה,קריית שמואל,9,טבריה,קריית שמואל,טבור הארץ 15,149,2025,1650000,15172-12-6,דירה בבית,5,11074
טבריה,קריית שמואל,10,טבריה,קריית שמואל,שמעון דהאן 17,110.27,2025,1270000,15076-56-5,דירה בבית,4,11517
טבריה,קריית שמואל,12,טבריה,קריית שמואל,מודיעין 10,99.26,2025,1100000,15099-36-7,דירה בבית,4,11082
טבריה,קריית שמואל,13,טבריה,קריית שמואל,רחל 7,103,2025,1535000,15098-28-4,דירה בבית,4,14903
טבריה,קריית שמואל,14,טבריה,קריית שמואל,אוהל יעקב 7,95.92,2025,1180000,15098-31-7,דירה בבית,4.5,12302
טבריה,קריית שמואל,15,טבריה,קריית שמואל,נחמני 1,91.31,2025,1420000,15004-2-8,דירה בבית,4,15551
טבריה,קריית שמואל,16,טבריה,קריית שמואל,אוהל יעקב 22,222,2025,1700000,15099-14-4,דירה בבית,5,7658
טבריה,קריית שמואל,17,טבריה,קריית שמואל,נחמני 1,82.87,2025,1330000,15004-2-47,דירה בבית,4,16049
טבריה,קריית שמואל,18,טבריה,קריית שמואל,שמעון דהאן 5,83.91,2025,1150000,15001-9-4,דירה בבית,4,13705
טבריה,קריית שמואל,19,טבריה,קריית שמואל,ביאליק 20,186,2025,2270000,15076-36-4,דירה בבית,5,12204
טבריה,קריית שמואל,20,טבריה,קריית שמואל,טבור הארץ 9,76.18,2025,1000000,15172-15-1,דירה בבית,3,13127
טבריה,קריית שמואל,21,טבריה,קריית שמואל,אוהל יעקב 22,130,2025,1125000,15099-14-6,דירה בבית,4,8654
טבריה,קריית שמואל,22,טבריה,קריית שמואל,אחד העם 46,70.71,2025,1050000,15001-7-16,דירה בבית,3,14849
טבריה,קריית שמואל,23,טבריה,קריית שמואל,אוהל יעקב 22,156,2025,1700000,15099-14-10,דירה בבית,5,10897
טבריה,קריית שמואל,24,טבריה,קריית שמואל,טבור הארץ 17,107.66,2025,1180000,15172-10-6,דירה בבית,4,10960
טבריה,קריית שמואל,25,טבריה,קריית שמואל,מיכאל 8,70.38,2025,860000,15173-23-3,דירה בבית,3,12219
טבריה,קריית שמואל,26,טבריה,קריית שמואל,אחוזת בית 5,130,2025,1500000,15076-12-1,דירה בבית,4,11538
טבריה,קריית שמואל,27,טבריה,קריית שמואל,ניברג 18,93.59,2025,1050000,15098-2-8,דירה בבית,4,11219
טבריה,קריית שמואל,29,טבריה,קריית שמואל,מיכאל 8,70.38,2025,925000,15173-23-7,דירה בבית,3,13143
טבריה,קריית שמואל,30,טבריה,קריית שמואל,נחמני 1,74.4,2025,1000000,15004-2-39,דירה בבית,4,13441
טבריה,קריית שמואל,31,טבריה,קריית שמואל,אוהל יעקב 22,118,2025,1300000,15099-14-12,דירה בבית,4,11017
טבריה,קריית שמואל,32,טבריה,קריית שמואל,אוהל יעקב 22,120,2025,1350000,15099-14-13,דירה בבית,4,11250
