מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
69,0,102,2022,1620000,10686-10-166,דירה בבית,4,15882
70,0,102,2022,1730000,10686-10-167,דירה בבית,4,16961
71,מוצקין 37,68,2022,1170000,10686-82-65,דירה בבית,4,17206
72,0,120,2022,1830000,10686-10-168,דירה בבית,5,15250
74,0,102,2022,1620000,10686-10-171,דירה בבית,4,15882
75,0,122,2022,1710000,10686-10-172,דירה בבית,4,14016
76,0,122,2022,1620000,10686-10-174,דירה בבית,4,13279
77,0,122,2022,1850000,10686-10-176,דירה בבית,5,15164
78,0,102,2022,1660000,10686-10-177,דירה בבית,4,16275
79,0,102,2022,1700000,10686-10-178,דירה בבית,4,16667
80,0,102,2022,1670000,10686-10-179,דירה בבית,4,16373
81,0,81,2022,1200000,10686-10-180,דירה בבית,3,14815
83,מוצקין 45,68,2022,1250000,10686-82-19,דירה בבית,4,18382
84,0,102,2022,1535000,10686-10-181,דירה בבית,4,15049
85,0,122,2022,1780000,10686-10-182,דירה בבית,5,14590
86,0,81,2022,1500000,10686-10-183,דירה בבית,3,18519
87,הרדוף 12,79.9,2022,1390000,10686-83-47,דירה בבית,4,17397
88,0,122,2022,1780000,10686-10-184,דירה בבית,5,14590
89,0,102,2022,1550000,10686-10-107,דירה בבית,4,15196
90,0,122,2022,1735000,10686-10-106,דירה בבית,5,14221
91,0,81,2022,1450000,10686-10-105,דירה בבית,3,17901
92,0,102,2022,1610000,10686-10-104,דירה בבית,4,15784
93,הרדוף 22,87.3,2022,1190000,10686-84-45,דירה בבית,4,13631
94,0,122,2022,1590000,10686-10-103,דירה בבית,5,13033
95,0,122,2022,1605000,10686-10-102,דירה בבית,5,13156
96,0,122,2022,1595000,10686-10-101,דירה בבית,5,13074
97,0,122,2022,1500000,10686-10-185,דירה בבית,4,12295
98,0,102,2022,1450000,10686-10-100,דירה בבית,4,14216
99,מוצקין 35,108,2022,1400000,10686-82-3,דירה בבית,5,12963
100,0,102,2022,1490000,10686-10-187,דירה בבית,4,14608
103,הרדוף 20,89.82,2022,1170000,10686-84-24,דירה בבית,4,13026
104,הרדוף 46,74,2022,1040000,10686-81-35,דירה בבית,4,14054
105,0,81,2022,1350000,10686-10-97,דירה בבית,3,16667
106,מוצקין 39,103,2022,1300000,10686-82-57,דירה בבית,5,12621
