מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
315,רקפת 16,61.16,2016,904000,4943-103-30,דירה בבית,3.5,14781
316,הכלנית 5,40.7,2016,172000,4943-27-8,דירה בבית,3,4226
317,הרב בוכריס 4,35.2,2016,730000,4944-18-14,דירה בבית,2,20739
318,החבצלת 1,80,2016,905000,4944-143-4,דירה בבית,4,11313
319,הרב בוכריס 3,42.9,2016,833000,4944-21-15,דירה בבית,2,19417
320,דואני 47,105,2016,1100000,4944-51-5,דירה בבית,5,10476
321,הלילך 3,76.9,2016,289000,4944-125-1,דירה בבית,4,3758
322,הצבעוני 29,109,2016,1507000,5147-3-15,דירה בבית,4,13826
323,הנרקיס 11,52.63,2016,770000,4943-93-5,דירה בבית,3,14630
324,הצבעוני 43,75,2016,1250000,5147-2-59,דירה בבית,3,16667
325,שבזי 23,76.3,2016,2260000,4943-38-1,קוטג' דו משפחתי,4,29620
326,השושנים 2,80,2016,1200000,4943-32-3,דירה בבית,4,15000
327,העצמאות 28,112,2016,960000,4944-118-14,דירה בבית,5,8571
328,הצבעוני 37,93,2016,1300000,5147-3-35,דירה בבית,4,13978
329,הכלנית 7,40.7,2016,935000,4943-28-6,דירה בבית,3,22973
330,הדרור 62,68,2016,1310000,5147-6-47,דירה בבית,3,19265
331,אהרון חג'ג' 28,68,2016,1350000,3506-122-1,דירה בבית,3,19853
332,הנרקיס 11,86,2016,900000,4943-93-20,דירה בבית,5,10465
333,הצבעוני 25,92,2016,1700000,5147-4-21,דירה בבית,4,18478
334,הדרור 62,63.4,2016,1332000,5147-6-37,דירה בבית,3,21009
335,הדרור 62,68,2016,1320000,5147-6-48,קוטג' חד משפחתי,3,19412
336,הנרקיס 4,52.63,2016,820000,4943-95-1,דירה בבית,3,15580
337,הרב בוכריס 4,46,2016,900000,4944-18-12,דירה בבית,3,19565
338,הסביון 10,89.5,2016,1700000,4943-63-2,דירה בבית,4,18994
339,הרב בוכריס 1,38,2016,360000,4944-20-4,דירה בבית,2,9474
340,רקפת 4,55.97,2016,770000,4943-98-10,דירה בבית,3,13757
341,החבצלת 3,44.51,2016,800000,4944-141-2,דירה בבית,2,17973
342,הרב בוכריס 4,35.2,2016,690000,4944-18-17,דירה בבית,2,19602
343,העצמאות 28,112,2016,850000,4944-118-16,דירה בבית,5,7589
344,רקפת 6,55.97,2016,780000,4943-99-1,דירה בבית,3,13936
