מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,יבנה,נאות בגין,האמוראים 5,92.6,2025,2025000,3511-208-33,דירה בבית,4,21868
2,יבנה,נאות בגין,עולי הגרדום 10,148,2025,3000000,3511-242-2,דירה בבית,5,20270
3,יבנה,נאות בגין,עולי הגרדום 10,148,2025,3030000,3511-242-3,דירה בבית,5,20473
4,יבנה,נאות בגין,עולי הגרדום 10,86,2025,2100000,3511-242-5,דירה בבית,3,24419
5,יבנה,נאות בגין,עולי הגרדום 10,148,2025,3100000,3511-242-6,דירה בבית,5,20946
6,יבנה,נאות בגין,עולי הגרדום 10,125,2025,2600000,3511-242-7,דירה בבית,1,20800
7,יבנה,נאות בגין,עולי הגרדום 10,143,2025,2950000,3511-242-8,דירה בבית,5,20629
8,יבנה,נאות בגין,האמוראים 6,79.1,2025,2190000,3511-207-17,דירה בבית,4,27686
9,יבנה,נאות בגין,עולי הגרדום 10,138,2025,2970000,3511-242-10,דירה בבית,5,21522
11,יבנה,נאות בגין,חטיבת גבעתי 4,71.2,2025,1050000,3511-213-47,דירה בבית,3,14747
12,יבנה,נאות בגין,עולי הגרדום 10,87,2025,2120000,3511-242-11,דירה בבית,3,24368
13,יבנה,נאות בגין,דואני 16,84,2025,1800000,5377-59-30,דירה בבית,3.5,21429
14,יבנה,נאות בגין,האמוראים 7,92.6,2025,2100000,3511-209-43,דירה בבית,4,22678
15,יבנה,נאות בגין,עדעד 3,103.93,2025,2625000,5377-11-45,דירה בבית,4.5,25257
16,יבנה,נאות בגין,חטיבת גבעתי 6,83,2025,2290000,3511-212-26,דירה בבית,4,27590
17,יבנה,נאות בגין,עדעד 3,90.28,2025,2350000,5377-11-31,דירה בבית,4,26030
18,יבנה,נאות בגין,פטל 5,78.58,2025,1890000,5377-51-17,דירה בבית,3.5,24052
19,יבנה,נאות בגין,עדעד 38,135,2025,3575000,5377-24-7,דירה בבית,5,26481
20,יבנה,נאות בגין,צלף 3,106.89,2025,2280000,5377-13-34,דירה בבית,4.5,21330
21,יבנה,נאות בגין,האמוראים 18,78.2,2025,2020000,3511-205-1,דירה בבית,3,25831
22,יבנה,נאות בגין,נופר 5,102.69,2025,2450000,5377-28-18,דירה בבית,4.5,23858
23,יבנה,נאות בגין,עדעד 36,114.35,2025,2600000,5377-20-24,דירה בבית,5,22737
24,יבנה,נאות בגין,פטל 21,81.72,2025,2150000,5376-17-16,דירה בבית,3,26309
25,יבנה,נאות בגין,עדעד 72,89.4,2025,2900000,5376-27-5,דירה בבית,4,32438
26,יבנה,נאות בגין,עדעד 25,94.23,2025,2120000,5377-8-2,דירה בבית,4,22498
27,יבנה,נאות בגין,אטד 4,72.33,2025,2070000,5376-24-30,דירה בבית,3,28619
28,יבנה,נאות בגין,פטל 24,82.55,2025,1835000,5377-42-10,דירה בבית,3,22229
29,יבנה,נאות בגין,האמוראים 6,79.1,2025,1850000,3511-207-18,דירה בבית,4,23388
30,יבנה,נאות בגין,דואני 16,88,2025,1800000,5377-59-34,דירה בבית,4,20455
31,יבנה,נאות בגין,תלתן 84,157.82,2025,4400000,5376-56-4,דירה בבית,5,27880
32,יבנה,נאות בגין,חטיבת גבעתי 4,71.2,2025,2000000,3511-213-45,דירה בבית,3,28090
33,יבנה,נאות בגין,פטל 28,71.51,2025,1430000,5377-35-4,דירה בבית,3,19997
34,יבנה,נאות בגין,האמוראים 14,76,2025,2040000,3511-206-17,דירה בבית,3.5,26842
35,יבנה,נאות בגין,עדעד 17,103.52,2025,2165000,5377-9-12,דירה בבית,4.5,20914
36,יבנה,נאות בגין,תלתן 2,89.4,2025,2100000,5376-23-31,דירה בבית,4,23490
37,יבנה,נאות בגין,דואני 10,91.25,2025,2240000,5376-19-8,דירה בבית,4,24548
38,יבנה,נאות בגין,תלתן 72,157.82,2024,4000000,5376-59-3,דירה בבית,6,25345
39,יבנה,נאות בגין,עדעד 25,102.76,2024,2050000,5377-8-3,דירה בבית,4,19949
40,יבנה,נאות בגין,נופר 32,88,2024,2280000,5376-11-32,דירה בבית,4,25909
41,יבנה,נאות בגין,פטל 30,71.51,2024,2190000,5377-35-12,דירה בבית,3,30625
42,יבנה,נאות בגין,פטל 7,87.28,2024,1500000,5377-51-29,דירה בבית,3,17186
43,יבנה,נאות בגין,עדעד 23,115.66,2024,2550000,5377-8-19,דירה בבית,5,22047
44,יבנה,נאות בגין,דואני 22,76.46,2024,1640000,5377-53-30,דירה בבית,3,21449
45,יבנה,נאות בגין,האמוראים 14,76,2024,2080000,3511-206-13,דירה בבית,3.5,27368
46,יבנה,נאות בגין,נופר 1,78.37,2024,900000,5377-28-3,דירה בבית,3,11484
47,יבנה,נאות בגין,האמוראים 9,92.6,2024,2180000,3511-210-27,דירה בבית,4,23542
48,יבנה,נאות בגין,דואני 14,83,2024,1850000,5377-60-31,דירה בבית,3.5,22289
49,יבנה,נאות בגין,עדעד 72,97,2024,3230000,5376-27-1,דירה בבית,4.5,33299
50,יבנה,נאות בגין,האמוראים 5,67.8,2024,1900000,3511-208-23,דירה בבית,3,28024
51,יבנה,נאות בגין,האמוראים 5,67.8,2024,2030000,3511-208-17,דירה בבית,3,29941
52,יבנה,נאות בגין,תלתן 58,157.82,2024,4150000,5376-62-1,קוטג' דו משפחתי,7.5,26296
53,יבנה,נאות בגין,פטל 3,80.8,2024,2010000,5377-51-5,דירה בבית,4,24876
54,יבנה,נאות בגין,האמוראים 3,71.2,2024,1970000,3511-213-6,דירה בבית,3,27669
55,יבנה,נאות בגין,עדעד 38,89,2024,1850000,5377-24-8,דירה בבית,3,20787
56,יבנה,נאות בגין,דואני 16,84,2024,2075000,5377-59-18,דירה בבית,4,24702
57,יבנה,נאות בגין,האמוראים 9,92.6,2024,2130000,3511-210-43,דירה בבית,4,23002
58,יבנה,נאות בגין,נופר 6,101.83,2024,2350000,5377-31-19,דירה בבית,4.5,23078
59,יבנה,נאות בגין,נופר 26,72.33,2024,2075000,5376-15-13,דירה בבית,3,28688
60,יבנה,נאות בגין,נופר 6,105.28,2024,3250000,5377-31-17,דירה בבית,4.5,30870
61,יבנה,נאות בגין,נופר 34,72.33,2024,2050000,5376-11-13,דירה בבית,3,28342
62,יבנה,נאות בגין,דואני 14,84,2024,1900000,5377-60-29,דירה בבית,3.5,22619
63,יבנה,נאות בגין,עדעד 70,105,2024,1935000,5376-27-29,דירה בבית,4,18429
64,יבנה,נאות בגין,חטיבת גבעתי 10,87,2024,2250000,3511-212-9,דירה בבית,4,25862
65,יבנה,נאות בגין,האמוראים 7,92.6,2024,2150000,3511-209-39,דירה בבית,4,23218
66,יבנה,נאות בגין,עדעד 3,64,2024,2125000,5377-11-3,דירה בבית,3.5,33203
68,יבנה,נאות בגין,האמוראים 9,92.6,2024,2130000,3511-210-20,דירה בבית,4,23002
69,יבנה,נאות בגין,עדעד 72,102.14,2024,2700000,5376-27-9,דירה בבית,4,26434
70,יבנה,נאות בגין,עדעד 3,82.6,2024,1970000,5377-11-16,דירה בבית,3,23850
71,יבנה,נאות בגין,אטד 1,72.38,2024,1910000,5376-25-4,דירה בבית,3,26389
72,יבנה,נאות בגין,נופר 23,87.99,2024,2125000,5376-26-11,דירה בבית,4,24150
73,יבנה,נאות בגין,נופר 30,72.33,2024,1970000,5376-14-31,דירה בבית,3,27236
74,יבנה,נאות בגין,האמוראים 18,71.2,2024,1880000,3511-205-17,דירה בבית,3,26404
75,יבנה,נאות בגין,פטל 23,89.4,2024,2260000,5376-17-4,דירה בבית,4,25280
76,יבנה,נאות בגין,דואני 14,83,2024,2110000,5377-60-11,דירה בבית,3.5,25422
77,יבנה,נאות בגין,חטיבת גבעתי 10,83,2024,2195000,3511-212-6,דירה בבית,4,26446
78,יבנה,נאות בגין,דואני 14,83,2024,2100000,5377-60-27,דירה בבית,3.5,25301
79,יבנה,נאות בגין,פטל 58,81.72,2024,2125000,5376-16-25,דירה בבית,3,26003
80,יבנה,נאות בגין,האמוראים 5,92.6,2024,1960000,3511-208-38,דירה בבית,4,21166
81,יבנה,נאות בגין,חטיבת גבעתי 4,78.2,2024,2080000,3511-213-43,דירה בבית,3,26598
82,יבנה,נאות בגין,דואני 10,87.77,2024,2150000,5376-19-12,דירה בבית,4,24496
83,יבנה,נאות בגין,אטד 2,137.32,2024,3000000,5376-24-17,דירה בבית,5,21847
84,יבנה,נאות בגין,דואני 8,88,2024,2150000,5376-5-16,דירה בבית,4,24432
85,יבנה,נאות בגין,דואני 16,83,2024,1860000,5377-59-16,דירה בבית,4,22410
87,יבנה,נאות בגין,חטיבת גבעתי 12,87,2023,2209000,3511-211-9,דירה בבית,4,25391
88,יבנה,נאות בגין,האמוראים 3,78.2,2023,2050000,3511-213-7,דירה בבית,3,26215
89,יבנה,נאות בגין,דואני 16,88,2023,1870000,5377-59-33,דירה בבית,3.5,21250
90,יבנה,נאות בגין,סחלב 5,79.59,2023,1810000,5377-50-13,דירה בבית,3.5,22742
91,יבנה,נאות בגין,נופר 23,139.91,2023,3100000,5376-26-12,דירה בבית,5,22157
92,יבנה,נאות בגין,חטיבת גבעתי 4,78.2,2023,1940000,3511-213-37,דירה בבית,3,24808
93,יבנה,נאות בגין,האמוראים 5,92.6,2023,2125000,3511-208-26,דירה בבית,4,22948
94,יבנה,נאות בגין,האמוראים 9,92.6,2023,2160000,3511-210-21,דירה בבית,4,23326
95,יבנה,נאות בגין,נופר 32,72.33,2023,1830000,5376-11-30,דירה בבית,3,25301
96,יבנה,נאות בגין,האמוראים 9,67.8,2023,1570000,3511-210-5,דירה בבית,3,23156
97,יבנה,נאות בגין,דואני 12,87.77,2023,2000000,5376-18-14,דירה בבית,4,22787
98,יבנה,נאות בגין,חטיבת גבעתי 6,81,2023,950000,3511-212-34,דירה בבית,4,11728
99,יבנה,נאות בגין,פטל 21,67.7,2023,1800000,5376-17-10,דירת גן,2.5,26588
100,יבנה,נאות בגין,דואני 22,69.04,2023,1840000,5377-53-15,דירה בבית,3,26651
101,יבנה,נאות בגין,צלף 4,72.49,2023,1840000,5377-46-37,דירה בבית,3,25383
102,יבנה,נאות בגין,דואני 12,91.25,2023,2120000,5376-18-9,דירה בבית,4,23233
103,יבנה,נאות בגין,חטיבת גבעתי 12,87,2023,1970000,3511-211-4,דירה בבית,4,22644
104,יבנה,נאות בגין,פטל 28,69.93,2023,1855000,5377-35-5,דירה בבית,3,26527
105,יבנה,נאות בגין,האמוראים 9,67.8,2023,1870000,3511-210-17,דירה בבית,3,27581
106,יבנה,נאות בגין,עדעד 34,70.08,2023,1795000,5377-20-15,דירה בבית,3,25614
107,יבנה,נאות בגין,האמוראים 5,67.8,2023,1670000,3511-208-5,דירה בבית,3,24631
108,יבנה,נאות בגין,האמוראים 5,67.8,2023,1650000,3511-208-29,דירה בבית,3,24336
109,יבנה,נאות בגין,חלמונית 8,103.79,2023,2240000,5376-40-13,דירה בבית,4,21582
110,יבנה,נאות בגין,עדעד 68,78.51,2023,2250000,5376-27-20,דירה בבית,3,28659
111,יבנה,נאות בגין,נופר 23,87.98,2023,2050000,5376-26-14,דירה בבית,4,23301
112,יבנה,נאות בגין,נופר 4,74.91,2023,2132000,5377-31-8,דירה בבית,3,28461
113,יבנה,נאות בגין,האמוראים 8,79.1,2023,2120000,3511-207-5,דירה בבית,4,26802
114,יבנה,נאות בגין,אטד 4,91.25,2023,2100000,5376-24-28,דירה בבית,4,23014
115,יבנה,נאות בגין,עדעד 21,93.81,2023,2218000,5377-8-22,דירה בבית,4.5,23644
116,יבנה,נאות בגין,עדעד 19,93.57,2023,2185000,5377-9-6,דירה בבית,4.5,23352
117,יבנה,נאות בגין,עדעד 27,78.73,2023,1900000,5377-7-15,דירה בבית,4,24133
118,יבנה,נאות בגין,דואני 12,88.05,2023,2130000,5376-18-16,דירה בבית,4,24191
119,יבנה,נאות בגין,תלתן 6,81.72,2022,1900000,5376-23-6,דירה בבית,3,23250
120,יבנה,נאות בגין,עדעד 15,116.97,2022,2775000,5377-9-26,דירה בבית,4.5,23724
121,יבנה,נאות בגין,תורמוס 6,138.37,2022,4100000,5377-40-2,דירה בבית,5,29631
122,יבנה,נאות בגין,דואני 10,88.05,2022,2215000,5376-19-15,דירה בבית,4,25156
123,יבנה,נאות בגין,צלף 4,73.89,2022,1944400,5377-46-15,דירה בבית,3,26315
124,יבנה,נאות בגין,האמוראים 18,99.7,2022,2650000,3511-205-25,דירה בבית,4,26580
125,יבנה,נאות בגין,נופר 24,91.25,2022,2250000,5376-15-22,דירה בבית,4,24658
126,יבנה,נאות בגין,צלף 3,97.18,2022,2330000,5377-13-9,דירה בבית,4.5,23976
128,יבנה,נאות בגין,דואני 14,83,2022,1860000,5377-60-24,דירה בבית,3.5,22410
129,יבנה,נאות בגין,האמוראים 18,71.2,2022,2015000,3511-205-15,דירה בבית,3,28301
130,יבנה,נאות בגין,פטל 24,82.55,2022,383000,5377-42-8,דירה בבית,3,4640
132,יבנה,נאות בגין,דואני 22,69.04,2022,1640000,5377-53-11,דירה בבית,3,23754
133,יבנה,נאות בגין,עדעד 19,115.76,2022,2500000,5377-9-7,דירה בבית,4.5,21596
134,יבנה,נאות בגין,נופר 1,69.93,2022,1700000,5377-28-5,דירה בבית,3,24310
136,יבנה,נאות בגין,האמוראים 12,76,2022,2150000,3511-206-27,דירה בבית,4,28289
137,יבנה,נאות בגין,דואני 22,73.52,2022,1800000,5377-53-28,דירה בבית,3,24483
139,יבנה,נאות בגין,סחלב 5,80.7,2022,1865000,5377-50-15,דירה בבית,4,23110
140,יבנה,נאות בגין,דואני 10,132.94,2022,2890000,5376-19-17,דירה בבית,5,21739
141,יבנה,נאות בגין,אטד 4,72.33,2022,1830000,5376-24-21,דירה בבית,3,25301
143,יבנה,נאות בגין,דואני 12,88.05,2022,2020000,5376-18-32,דירה בבית,4,22942
144,יבנה,נאות בגין,דואני 8,88,2022,1970000,5376-5-8,דירה בבית,4,22386
145,יבנה,נאות בגין,תלתן 86,157.82,2022,3235000,5376-55-1,קוטג' דו משפחתי,5,20498
146,יבנה,נאות בגין,נופר 24,72.33,2022,1885000,5376-15-30,דירה בבית,3,26061
147,יבנה,נאות בגין,עדעד 41,89.4,2022,2100000,5376-36-14,דירה בבית,4,23490
148,יבנה,נאות בגין,עדעד 38,70,2022,1625000,5377-24-9,דירה בבית,3,23214
149,יבנה,נאות בגין,האמוראים 9,92.6,2022,2100000,3511-210-44,דירה בבית,4,22678
150,יבנה,נאות בגין,עדעד 3,84.44,2022,2150000,5377-11-2,דירת גן,3,25462
151,יבנה,נאות בגין,אטד 3,91.24,2022,1920000,5376-25-26,דירה בבית,4,21043
152,יבנה,נאות בגין,דואני 14,83,2022,1740000,5377-60-19,דירה בבית,4,20964
153,יבנה,נאות בגין,תורמוס 26,95,2022,2100000,5377-38-13,דירה בבית,3,22105
154,יבנה,נאות בגין,פטל 26,129.53,2022,2132000,5377-42-24,דירה בבית,4,16460
155,יבנה,נאות בגין,פטל 7,87.28,2022,1610000,5377-51-26,דירה בבית,4,18446
156,יבנה,נאות בגין,האמוראים 7,67.8,2022,1550000,3511-209-11,דירה בבית,3,22861
157,יבנה,נאות בגין,האמוראים 18,71.2,2022,1790000,3511-205-5,דירה בבית,3,25140
