מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
907,התורן 4,108.8,2019,2074000,5959-18-20,דירה בבית,5,19063
908,התורן 14,167.1,2019,2780000,5959-14-1,דירה בבית,6,16637
909,הנמל 30,102.05,2019,1810000,80005-18-26,דירה בבית,4,17736
910,המשוט 9,112.95,2019,2740000,5959-25-58,דירה בבית,4.5,24259
911,הסירה 7,101,2019,1786000,80005-14-56,דירה בבית,4,17683
912,האלמוג 1,157,2019,2945000,3514-141-5,דירה בבית,5,18758
913,האלמוג 3,126,2019,2075000,3514-35-17,דירה בבית,5,16468
914,המשוט 9,108.75,2019,1900000,5959-25-11,דירה בבית,4,17471
915,המשוט 14,120.4,2019,2290000,5959-31-20,דירה בבית,5.5,19020
916,המשוט 9,135.9,2019,2110000,5959-25-79,דירה בבית,5,15526
917,התורן 9,126.95,2019,2810000,5959-11-79,דירת גן,5,22135
918,התורן 7,130.05,2019,2070000,5959-8-91,דירה בבית,4.5,15917
919,העוגן 9,135,2019,2590000,3514-27-191,דירה בבית,5,19185
920,הסירה 18,101.4,2019,1800000,80005-13-4,דירה בבית,4,17751
921,המשוט 10,94.5,2019,1910000,5959-32-127,דירה בבית,4,20212
922,המשוט 15,215.18,2019,2925000,5959-26-129,דירה בבית,5,13593
923,הדוגית 17,91.65,2019,1900000,5959-22-15,דירה בבית,4,20731
924,העוגן 9,110,2019,2030000,3514-27-192,דירה בבית,4,18455
925,המשוט 8,111.1,2019,2100000,5959-32-83,דירה בבית,5,18902
926,הדוגית 29,111.8,2019,2470000,5960-9-67,דירה בבית,4.5,22093
927,המפרש 1,131.35,2019,2160000,5959-27-6,דירה בבית,5,16445
928,התורן 3,100.65,2019,1930000,5959-8-57,דירה בבית,4,19175
929,הדוגית 23,143.25,2019,2165000,5959-23-60,דירה בבית,5,15113
930,הדוגית 11,133.7,2019,2180000,5959-20-105,דירה בבית,5,16305
931,הנחשול 19,110.9,2019,1940000,80005-11-61,דירה בבית,4,17493
932,0,104,2019,1820000,3514-143-23,דירה בבית,4,17500
933,הדוגית 23,109.6,2019,1975000,5959-23-49,דירה בבית,4,18020
935,העוגן 9,133,2019,2250000,3514-27-194,דירה בבית,5,16917
936,המשוט 14,120.4,2019,2270000,5959-31-44,דירה בבית,6,18854
937,התורן 12,133.5,2019,2050000,5959-15-21,דירה בבית,5,15356
938,הדוגית 18,130.8,2019,1850000,5960-12-27,דירה בבית,5,14144
939,המשוט 8,94.5,2019,1925000,5959-32-100,דירה בבית,4,20370
940,האלמוג 3,126,2019,1940000,3514-35-18,דירה בבית,5,15397
941,העוגן 9,162,2019,3065000,3514-27-195,דירה בבית,5,18920
942,0,110,2019,910000,3514-122-1,דירה בבית,4,8273
943,0,156,2019,1576841,5962-6-10,דירה,6,10108
944,המשוט 17,150.91,2019,2225000,5959-26-35,דירה בבית,5,14744
945,העוגן 9,120,2019,1880000,3514-27-196,דירה בבית,5,15667
946,המשוט 17,128.1,2019,2000000,5959-26-26,דירה בבית,5,15613
947,האלמוג 3,102,2019,1840000,3514-35-19,דירה בבית,4,18039
948,המשוט 15,149.62,2019,2875000,5959-26-132,דירה בבית,5,19215
949,הדוגית 27,106.6,2019,1880000,5960-9-111,דירה בבית,4,17636
950,העוגן 9,160,2019,2350000,3514-27-197,דירה בבית,5,14688
951,הסיפון 2,153.5,2019,2925000,5960-17-81,דירה בבית,5,19055
952,העוגן 9,146,2019,2330000,3514-27-198,דירה בבית,6,15959
953,הסיפון 2,152.6,2019,1458000,5960-17-6,דירה בבית,5,9554
954,הסיפון 2,148.65,2019,1452000,5960-17-11,דירה בבית,5,9768
955,הסיפון 2,151.7,2019,1459000,5960-17-9,דירה בבית,5,9618
956,העוגן 9,139,2019,2050000,3514-27-199,דירה בבית,4.5,14748
957,העוגן 9,187,2019,2240000,3514-27-200,דירה בבית,6,11979
958,העוגן 9,120,2019,1930000,3514-27-201,דירה בבית,5,16083
959,המפרש 1,115.37,2019,1900000,5959-27-11,דירה בבית,4,16469
960,0,156,2019,2040000,5962-6-0,דירת גן,6,13077
961,הצדף 2,138.55,2019,2150000,5960-13-7,דירה בבית,5,15518
962,המפרש 8,125.25,2019,2100000,5959-29-103,דירה בבית,5,16766
963,0,174,2019,2010000,5520-3-157,דירה בבית,5,11552
964,הדוגית 21,138.95,2019,1100000,5959-23-10,דירה בבית,5,7917
965,התורן 9,141.95,2019,950000,5959-11-60,דירה בבית,5,6692
966,הנמל 42,138,2019,2280000,80005-10-28,דירה בבית,5,16522
967,הסיפון 2,138.8,2019,1461000,5960-17-44,דירה בבית,5,10526
968,המשוט 10,94.5,2019,1880000,5959-32-143,דירה בבית,4,19894
969,העוגן 9,183,2019,2450000,3514-27-203,דירה בבית,6,13388
970,המפרש 9,101,2019,1920000,5959-24-11,דירה בבית,4,19010
971,הצדף 18,110.9,2019,2140000,5960-18-50,דירה בבית,5,19297
972,התורן 9,141.6,2019,2145000,5959-11-91,דירה בבית,5,15148
973,0,176,2019,2178000,3515-93-1,דירה בבית,6,12375
974,התורן 2,96.96,2019,2190000,5959-19-13,דירה בבית,4,22587
975,סנפיר 7,144.8,2019,2600000,80004-8-33,דירה בבית,5,17956
976,העוגן 9,85,2019,1575000,3514-27-204,דירה בבית,3,18529
977,הדייגים 3,156,2019,3150000,5961-9-85,דירה בבית,5,20192
978,הדוגית 11,133.7,2019,2090000,5959-20-97,דירה בבית,5,15632
979,האלמוג 3,127,2019,1990000,3514-35-20,דירה בבית,4,15669
980,הצדף 6,110.47,2019,2070000,5960-14-68,דירה בבית,4,18738
981,0,176,2019,2193000,3515-93-2,דירה בבית,6,12460
982,הסיפון 2,151.7,2019,1457000,5960-17-49,דירה בבית,5,9604
983,הסיפון 2,148.65,2019,1450000,5960-17-35,דירה בבית,5,9754
984,הסיפון 2,151.7,2019,1463000,5960-17-37,דירה בבית,5,9644
985,הסיפון 2,148.65,2019,1448000,5960-17-67,דירה בבית,5,9741
986,הסיפון 2,138.8,2019,1307000,5960-17-32,דירה בבית,5,9416
987,הסיפון 2,148.65,2019,1453000,5960-17-39,דירה בבית,5,9775
988,הסיפון 2,138.8,2019,1306000,5960-17-64,דירה בבית,5,9409
989,הסיפון 2,138.8,2019,1313000,5960-17-48,דירה בבית,5,9460
990,הסיפון 2,148.65,2019,1454000,5960-17-47,דירה בבית,5,9781
991,הסיפון 2,138.8,2019,1311000,5960-17-36,דירה בבית,5,9445
992,הסיפון 2,148.65,2019,1448000,5960-17-51,דירה בבית,5,9741
993,הסיפון 2,151.7,2019,1456000,5960-17-65,דירה בבית,5,9598
994,התורן 3,111.1,2019,1900000,5959-8-51,דירה בבית,4,17102
995,הדוגית 7,118.6,2019,2530000,5959-20-30,דירת גן,5,21332
996,0,176,2019,2213000,3515-93-3,דירה בבית,6,12574
997,התורן 9,123,2019,1990000,5959-11-101,דירה בבית,4.5,16179
998,המשוט 15,150.91,2019,2200000,5959-26-85,דירה בבית,5,14578
999,0,162,2019,2177000,3515-93-4,דירה בבית,6,13438
1000,0,128,2019,2178000,3515-93-5,דירה בבית,5,17016
991,הסיפון 2,138.8,2019,1311000,5960-17-36,דירה בבית,5,9445
992,הסיפון 2,148.65,2019,1448000,5960-17-51,דירה בבית,5,9741
993,הסיפון 2,151.7,2019,1456000,5960-17-65,דירה בבית,5,9598
994,התורן 3,111.1,2019,1900000,5959-8-51,דירה בבית,4,17102
995,הדוגית 7,118.6,2019,2530000,5959-20-30,דירת גן,5,21332
996,0,176,2019,2213000,3515-93-3,דירה בבית,6,12574
997,התורן 9,123,2019,1990000,5959-11-101,דירה בבית,4.5,16179
998,המשוט 15,150.91,2019,2200000,5959-26-85,דירה בבית,5,14578
999,0,162,2019,2177000,3515-93-4,דירה בבית,6,13438
1000,0,128,2019,2178000,3515-93-5,דירה בבית,5,17016
991,הסיפון 2,138.8,2019,1311000,5960-17-36,דירה בבית,5,9445
992,הסיפון 2,148.65,2019,1448000,5960-17-51,דירה בבית,5,9741
993,הסיפון 2,151.7,2019,1456000,5960-17-65,דירה בבית,5,9598
994,התורן 3,111.1,2019,1900000,5959-8-51,דירה בבית,4,17102
995,הדוגית 7,118.6,2019,2530000,5959-20-30,דירת גן,5,21332
996,0,176,2019,2213000,3515-93-3,דירה בבית,6,12574
997,התורן 9,123,2019,1990000,5959-11-101,דירה בבית,4.5,16179
998,המשוט 15,150.91,2019,2200000,5959-26-85,דירה בבית,5,14578
