city,neighborhood,transaction_id,שם העיר,שם השכונה,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,אזור תעשיה הר החוצב,7,ירושלים,אזור תעשיה הר החוצב,0,104,2021,1694000,30758-6-16,דירה בבית,4,16288
ירושלים,אזור תעשיה הר החוצב,8,ירושלים,אזור תעשיה הר החוצב,0,82,2021,1505000,30758-6-17,דירה בבית,3,18354
ירושלים,אזור תעשיה הר החוצב,9,ירושלים,אזור תעשיה הר החוצב,0,105,2021,1829000,30758-6-18,דירה בבית,4,17419
ירושלים,אזור תעשיה הר החוצב,10,ירושלים,אזור תעשיה הר החוצב,0,124,2021,2363000,30758-6-19,דירה בבית,5,19056
ירושלים,אזור תעשיה הר החוצב,11,ירושלים,אזור תעשיה הר החוצב,0,104,2021,1804000,30758-6-20,דירה בבית,4,17346
ירושלים,אזור תעשיה הר החוצב,15,ירושלים,אזור תעשיה הר החוצב,0,112,2021,1674000,30758-6-21,דירה בבית,4,14946
ירושלים,אזור תעשיה הר החוצב,16,ירושלים,אזור תעשיה הר החוצב,0,104,2020,1459000,30758-6-25,דירה בבית,4,14029
ירושלים,אזור תעשיה הר החוצב,17,ירושלים,אזור תעשיה הר החוצב,0,112,2020,1562000,30758-6-26,דירה בבית,4,13946
ירושלים,אזור תעשיה הר החוצב,18,ירושלים,אזור תעשיה הר החוצב,0,104,2020,1688200,30758-6-13,דירה,4,16233
ירושלים,אזור תעשיה הר החוצב,19,ירושלים,אזור תעשיה הר החוצב,0,174,2020,2738896,30758-6-28,דירה בבית,5,15741
ירושלים,אזור תעשיה הר החוצב,20,ירושלים,אזור תעשיה הר החוצב,0,113,2020,1919096,30758-6-4,דירה בבית,4,16983
ירושלים,אזור תעשיה הר החוצב,21,ירושלים,אזור תעשיה הר החוצב,0,151,2020,2085896,30758-6-7,דירה בבית,5,13814
ירושלים,אזור תעשיה הר החוצב,22,ירושלים,אזור תעשיה הר החוצב,0,113,2020,2272896,30758-6-9,דירה בבית,5,20114
ירושלים,אזור תעשיה הר החוצב,23,ירושלים,אזור תעשיה הר החוצב,0,124,2020,2112896,30758-6-8,דירה בבית,5,17039
ירושלים,אזור תעשיה הר החוצב,24,ירושלים,אזור תעשיה הר החוצב,0,132,2020,1954896,30758-6-5,דירה בבית,5,14810
ירושלים,אזור תעשיה הר החוצב,25,ירושלים,אזור תעשיה הר החוצב,0,112,2020,2004096,30758-6-6,דירה בבית,4,17894
ירושלים,אזור תעשיה הר החוצב,26,ירושלים,אזור תעשיה הר החוצב,0,133,2020,1914896,30758-6-3,דירה בבית,5,14398
