city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,בית חנינא,251,0,96,2019,1900000,31307-15-4,דירה בבית,4,19792
ירושלים,בית חנינא,253,0,78,2019,1685000,31307-15-5,דירה בבית,4,21603
ירושלים,בית חנינא,254,רמאללה 15,103,2019,1300000,30604-270-2,דירה בבית,4,12621
ירושלים,בית חנינא,256,0,60,2019,453000,31307-15-6,דירה בבית,3,7550
ירושלים,בית חנינא,260,0,58,2019,1735000,31307-15-7,דירה בבית,3,29914
ירושלים,בית חנינא,261,0,100,2019,282000,30614-320-5,דירה בבית,3,2820
ירושלים,בית חנינא,262,0,68,2019,840000,30607-133-7,דירה בבית,3,12353
ירושלים,בית חנינא,264,0,100,2019,353000,30614-320-7,דירה בבית,3,3530
ירושלים,בית חנינא,267,0,116,2019,1225000,30607-36-1,דירה בבית,4,10560
ירושלים,בית חנינא,269,0,78,2019,359000,30607-86-1,דירה בבית,3,4603
ירושלים,בית חנינא,273,0,127,2019,930000,30611-73-1,דירה בבית,4,7323
ירושלים,בית חנינא,274,0,148,2019,940400,30607-17-4,דירה בבית,5,6354
ירושלים,בית חנינא,275,ח'ליל א-סכאכיני 1,100,2019,540000,30611-83-10,דירה בבית,3,5400
ירושלים,בית חנינא,276,0,83,2019,1950000,31307-15-8,דירה בבית,4,23494
ירושלים,בית חנינא,277,0,69,2019,1439000,30614-38-2,דירה בבית,3,20855
