city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
ירושלים,הבוכרים,257,דוד החזן 14,93,2018,2000000,30103-107-2,דירה בבית,3.5,21505
ירושלים,הבוכרים,260,אביתר הכהן 6,42,2018,1200000,30101-62-3,דירה בבית,2,28571
ירושלים,הבוכרים,262,ישא ברכה 6,33,2018,1449000,30080-180-10,דירה בבית,2,43909
ירושלים,הבוכרים,263,רחובות הבוכרים 3,31.9,2018,580000,30085-107-18,דירה בבית,1,18182
ירושלים,הבוכרים,265,אדניהו הכהן 30,75,2018,1980000,30103-4-2,דירה בבית,3,26400
ירושלים,הבוכרים,266,אבינדב 9,64,2018,1950000,30103-96-31,דירה בבית,3,30469
ירושלים,הבוכרים,267,אבינדב 18,102,2018,3000000,30103-99-13,דירה בבית,5,29412
ירושלים,הבוכרים,268,פולונסקי 7,100,2018,2650000,30085-153-4,דירה בבית,4,26500
ירושלים,הבוכרים,270,אדניהו הכהן 34,40,2018,1599000,30103-89-4,דירה בבית,3,39975
ירושלים,הבוכרים,272,יואל 29,48.8,2018,1479000,30085-102-6,דירה בבית,2,30307
ירושלים,הבוכרים,273,יואל 21,62,2018,1900000,30085-106-14,דירה בבית,3,30645
ירושלים,הבוכרים,274,רבנו גרשום 30,61,2018,2525000,30103-83-92,דירה בבית,4,41393
ירושלים,הבוכרים,275,ישא ברכה 4,76,2018,1750000,30080-181-3,דירה בבית,3,23026
ירושלים,הבוכרים,276,אדניהו הכהן 44,60,2018,2252500,30101-89-3,דירה בבית,3,37542
ירושלים,הבוכרים,277,אהרון פישל 7,88,2018,1900000,30084-170-2,דירה בבית,3,21591
ירושלים,הבוכרים,278,אבינדב 9,84.65,2018,177000,30103-96-45,דירה בבית,4,2091
ירושלים,הבוכרים,279,בר אילן 25,36,2018,924000,30103-82-8,דירה בבית,2,25667
ירושלים,הבוכרים,280,רחובות הבוכרים 20,72.6,2018,1999000,30084-110-19,דירה בבית,3,27534
ירושלים,הבוכרים,281,ישא ברכה 14,62,2018,2250000,30080-189-7,דירה בבית,4,36290
ירושלים,הבוכרים,282,ישא ברכה 39,60,2018,2310000,30085-32-13,דירה בבית,3,38500
ירושלים,הבוכרים,283,רבנו גרשום 3,67,2018,1650000,30085-100-4,דירה בבית,3,24627
ירושלים,הבוכרים,284,עזרא 18,68.6,2018,1500000,30084-161-8,דירה בבית,3,21866
ירושלים,הבוכרים,285,רבנו גרשום 10,42,2018,539000,30085-59-5,דירה בבית,2,12833
ירושלים,הבוכרים,286,יחזקאל 26,40,2018,1550000,30085-43-13,דירה בבית,2.5,38750
ירושלים,הבוכרים,287,0,75,2018,1880000,30085-65-1,דירה בבית,3.5,25067
ירושלים,הבוכרים,288,ישא ברכה 14,45,2018,1795000,30080-189-6,דירה בבית,3,39889
ירושלים,הבוכרים,289,בר אילן 41,55.8,2018,450000,30080-168-2,דירה בבית,2,8065
ירושלים,הבוכרים,290,אבינדב 10,93.7,2018,2650000,30103-123-3,דירה בבית,4,28282
ירושלים,הבוכרים,291,בר אילן 25,61,2018,2850000,30103-82-70,דירה בבית,3,46721
ירושלים,הבוכרים,292,אבינדב 24,61,2018,1800000,30103-153-11,דירה בבית,3,29508
ירושלים,הבוכרים,294,רחובות הבוכרים 3,40.9,2018,700000,30085-107-2,דירה בבית,2,17115
ירושלים,הבוכרים,295,פולונסקי 1,91,2018,2100000,30085-151-5,דירה בבית,4,23077
