מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
195,שלמה מוסיוף 5,40,2020,733000,30085-46-5,דירה בבית,2,18325
196,ישא ברכה 22,88.8,2020,3325000,30084-76-1,דירה בבית,3,37444
197,ישא ברכה 22,46.1,2020,1674000,30084-76-3,דירה בבית,2,36312
198,ישא ברכה 22,120.7,2020,3900000,30084-76-2,דירה בבית,4,32312
199,אבינדב 9,44,2020,440000,30103-96-41,דירה בבית,3,10000
201,ישא ברכה 24,35.7,2020,1700000,30084-75-2,דירה בבית,3,47619
202,בר אילן 25,65,2020,2370000,30103-82-45,דירה בבית,4,36462
203,רבנו גרשום 43,50.5,2020,258000,30101-22-7,דירה בבית,3,5109
205,אהרון פישל 19,120,2020,3300000,30103-83-33,דירה בבית,7,27500
208,דוד החזן 14,93,2020,5450000,30103-107-6,דירה בבית,8,58602
209,0,75,2020,2325000,30103-140-8,דירה בבית,4,31000
211,בן ציון גול 1,58,2020,1100000,30085-13-2,דירה בבית,3,18966
212,בר אילן 25,61,2020,1700000,30103-82-17,דירה בבית,3,27869
213,ישא ברכה 15,110,2020,392000,30084-174-2,דירה בבית,4,3564
215,רבנו גרשום 31,230,2020,1450000,30103-8-3,דירה בבית,2.5,6304
216,עזרא 18,67,2020,1060000,30084-161-14,דירה בבית,3,15821
217,גול בן ציון 11,41,2020,1300000,30085-3-11,דירה בבית,2,31707
218,גול בן ציון 11,40,2020,1550000,30085-3-6,דירה בבית,3,38750
220,אבינדב 10,100.7,2020,3225000,30103-123-6,דירה בבית,6,32026
222,בר אילן 25,61,2020,1775000,30103-82-15,דירה בבית,3,29098
223,רבנו גרשום 30,69,2020,2300000,30103-83-94,דירה בבית,4,33333
