מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
69,אלקלעי 7,159.51,2023,14366000,30021-46-4,דירה בבית,8,90063
71,אלקלעי 11,45.24,2023,2400000,30021-67-38,דירה בבית,2.5,53050
72,0,67,2023,2230000,30028-38-9,דירה בבית,3,33284
73,0,47,2023,586000,30028-23-5,דירה בבית,3,12468
74,מנדלי מוכר ספרים 12,47,2023,1551000,30027-62-65,דירה בבית,2,33000
75,אחד העם 7,60,2023,191000,30027-30-7,דירה בבית,2,3183
77,0,50,2023,4097000,30028-56-7,דירה בבית,2,81940
78,0,45,2023,2634000,30028-56-5,דירה בבית,2,58533
79,0,68,2023,5268000,30028-56-6,דירה בבית,2,77471
80,אחד העם 6,132,2023,7050000,30027-10-1,דירה בבית,6,53409
81,0,40,2023,2600000,30028-21-17,דירה בבית,3,65000
83,0,232,2023,14500000,30028-139-56,דירה בבית,5,62500
84,פינסקר 1,68,2023,2000000,30021-65-28,דירה בבית,3,29412
85,0,40,2023,2200000,30028-18-7,דירה בבית,2,55000
86,0,93,2023,2216000,30036-34-77,דירה בבית,3,23828
87,שלום עליכם 4,47,2023,1700000,30027-125-5,דירה בבית,2,36170
88,מרכוס 4,91,2023,5650000,30022-2-5,דירה בבית,4,62088
89,0,69,2023,3450000,30028-53-5,דירה בבית,3,50000
90,קרן היסוד 17,70,2023,2171700,30028-36-1,דירה בבית,2,31024
91,סוקולוב 3,82,2023,2020200,30027-51-11,דירה בבית,3,24637
92,דוד המלך 16,129,2023,2192000,30036-35-5,דירה בבית,4,16992
93,סוקולוב 3,77,2023,2650000,30027-51-10,דירה בבית,3,34416
94,פינסקר 1,79,2023,2500000,30021-65-27,דירה בבית,4,31646
95,0,94.3,2023,4825000,30028-40-28,דירה בבית,3,51166
97,0,116,2023,5000000,30028-109-16,דירה בבית,4,43103
98,מנה 6,232,2023,6133000,30021-70-10,דירה בבית,5,26435
99,פינסקר 12,580,2023,32154000,30021-113-3,דירה בבית,9,55438
102,0,104,2023,6236000,30036-34-78,דירה בבית,3,59962
103,מנדלי מוכר ספרים 12,98,2023,3600000,30027-62-64,דירה בבית,5,36735
104,ז'בוטינסקי 36,56,2023,2200000,30027-19-5,דירה בבית,2,39286
105,אלקלעי 6,73,2023,3200000,30021-33-1,דירה בבית,3,43836
106,0,191,2023,12564000,30028-139-61,דירה בבית,5,65780
107,0,231,2023,21000000,30021-101-4,דירה בבית,6,90909
108,אחד העם 23,128,2023,3672700,30027-43-6,דירה בבית,4,28693
109,0,95,2023,4466000,30036-34-79,דירה בבית,3,47011
110,פינסקר 1,78,2023,2510000,30021-65-26,דירה בבית,3.5,32179
111,פינסקר 1,92,2023,2500000,30021-65-25,דירה בבית,4,27174
112,מנדלי מוכר ספרים 8,59,2023,3100000,30027-56-7,דירה בבית,3,52542
113,0,60,2023,4250000,30028-56-13,דירה בבית,2,70833
114,0,44,2023,2464600,30028-15-2,דירה בבית,3,56014
115,0,85,2023,1850000,30028-13-28,דירה בבית,4,21765
116,מרכוס 5,70,2023,1000000,30021-29-10,דירה בבית,3,14286
117,מרכוס 9,99,2023,5430000,30021-53-7,דירה בבית,3.5,54848
118,0,95.3,2023,3920000,30036-86-7,דירה בבית,3,41133
119,0,31,2023,2620000,30028-23-11,דירה בבית,3,84516
120,מרכוס 14,97,2023,6000000,30022-7-2,דירה בבית,4,61856
121,חובבי ציון 13,71,2023,4200000,30021-19-6,דירה בבית,3,59155
123,0,45,2023,750000,30028-41-20,דירה בבית,2,16667
124,0,68,2023,6606000,30028-56-4,דירה בבית,4,97147
125,הרכבי 8,44,2023,1625000,30023-75-1,דירה בבית,2,36932
126,0,39.6,2023,2000000,30028-55-8,דירה בבית,1,50505
129,0,46,2023,1650000,30028-27-3,דירה בבית,2,35870
130,אלקלעי 11,45.24,2023,866000,30021-67-36,דירה בבית,2,19142
132,0,206,2023,17600000,30021-101-5,דירה בבית,6,85437
133,ז'בוטינסקי 10,80,2023,1800000,30027-89-17,דירה בבית,3,22500
134,פינסקר 1,77,2023,2550000,30021-65-24,דירה בבית,3,33117
135,מנה 6,213,2023,16400000,30021-70-11,דירה בבית,5,76995
136,ז'בוטינסקי 29,59,2023,3150000,30021-12-6,דירה בבית,3,53390
137,0,46,2023,3150000,30028-23-18,דירה בבית,3,68478
139,מנדלי מוכר ספרים 12,59,2023,2180000,30027-62-63,דירה בבית,3,36949
