מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
251,0,38,2017,750000,30108-35-1,דירה בבית,2,19737
255,המדרגות 2,100,2017,820000,30109-157-1,דירה בבית,4,8200
256,0,80,2017,1999000,30109-238-1,דירה בבית,4,24988
257,רפאלי 8,32,2017,875000,30109-10-1,דירה בבית,2,27344
258,בצלאל 41,61,2017,1695000,30109-170-2,דירה בבית,3,27787
259,0,165.2,2017,7800000,30109-164-2,דירה בבית,6,47215
260,0,44,2017,629000,30039-194-7,דירה בבית,2,14295
261,שבזי 39,24,2017,1449000,30040-43-5,דירה בבית,2,60375
262,0,98,2017,4732000,30039-31-1,דירה בבית,לא ידוע,48286
263,כהנוב 14,64,2017,4056000,30039-32-1,דירה בבית,3,63375
264,0,49,2017,315000,30109-237-3,דירה בבית,2,6429
267,0,55,2017,1900000,30109-224-3,דירה בבית,2,34545
268,0,54.5,2017,2600000,30041-14-1,דירה בבית,3,47706
269,0,22,2017,1020000,30109-232-11,דירה בבית,1,46364
