מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
102,שאול המלך 7,90.1,2021,2700000,30106-72-9,דירה בבית,4,29967
103,הרב בלוי 17,40,2021,1160000,30106-42-3,דירה בבית,2,29000
104,האדמור מויז'ניץ 114,69,2021,2675000,30244-135-28,דירה בבית,4,38768
105,מעגלי הרים לוין 127,43,2021,1600000,30244-114-67,דירה בבית,2,37209
106,הרב בלוי 10,100,2021,2795000,30106-57-40,דירה בבית,5,27950
108,מעגלי הרים לוין 126,105,2021,3000000,30244-114-44,דירה בבית,5,28571
110,שאול המלך 12,72,2021,2700000,30106-46-6,דירה בבית,3,37500
111,מיכל 4,71.2,2021,2130000,30099-76-2,דירה בבית,3,29916
112,0,66,2021,2400000,30106-48-6,דירה בבית,3,36364
113,דושינסקי 102,48.8,2021,1645800,30244-143-22,דירה בבית,3,33725
114,מעגלי הרים לוין 130,125,2021,3100000,30244-114-119,דירה בבית,5,24800
115,הסנהדרין 4,75,2021,1575000,30106-80-15,דירה בבית,3,21000
116,שאול המלך 31,107.85,2021,2800000,30106-158-4,דירה בבית,4,25962
117,אחינועם 12,55,2021,1300000,30099-90-4,דירה בבית,2,23636
118,מעגלי הרים לוין 49,112,2021,3000000,30244-126-9,דירה בבית,5,26786
119,מעגלי הרים לוין 137,124.1,2021,2850000,30244-123-5,דירה בבית,5,22965
120,אופירה 5,91,2021,2400000,30244-161-2,דירה בבית,4,26374
121,מיכל 3,31,2021,1000000,30099-137-3,דירה בבית,2,32258
122,הרב בלוי 27,23.8,2021,910000,30106-29-4,דירה בבית,1,38235
123,שאול המלך 57,54,2021,1775000,30106-163-1,דירה בבית,3,32870
124,אופירה 5,91,2021,3500000,30244-161-11,דירה בבית,4,38462
125,מעגלי הרים לוין 109,77.4,2021,2710000,30244-130-95,דירה בבית,3,35013
126,מעגלי הרים לוין 108,72,2021,3400000,30244-130-55,דירה בבית,4,47222
127,הרב בלוי 12,140,2021,3730000,30106-57-50,דירה בבית,8,26643
128,אחינועם 10,52,2021,800000,30099-78-7,דירה בבית,2,15385
129,מיכל 13,68,2021,1980000,30099-86-6,דירה בבית,3,29118
130,שאול המלך 63,81,2021,2275000,30245-78-4,דירה בבית,4,28086
131,אחינועם 13,48,2021,1975000,30099-50-7,דירה בבית,2,41146
132,מיכל 13,76,2021,2400000,30099-86-5,דירה בבית,4,31579
