מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,הרב בלוי 10,86,2025,4180000,30106-57-7,דירה בבית,5,48605
3,האדמור מויז'ניץ 1,125,2025,4400000,30244-138-8,דירה בבית,4,35200
5,הרב בלוי 8,66,2025,775500,30106-58-9,דירה בבית,3,11750
6,מעגלי הרים לוין 104,91,2025,4400000,30244-129-18,דירה בבית,5,48352
7,מעגלי הרים לוין 130,66.3,2025,388000,30244-114-135,דירה בבית,3,5852
9,אופירה 2,80,2025,3800000,30245-78-2,דירה בבית,4,47500
10,הרב בלוי 10,40,2025,1820000,30106-57-22,דירה בבית,2,45500
12,ים סוף 29,140,2025,6722200,30244-66-12,דירה בבית,6,48016
13,מעגלי הרים לוין 107,90,2025,4900000,30244-130-2,דירה בבית,5,54444
14,הרב בלוי 31,104,2025,4650000,30106-134-1,דירה בבית,4,44712
15,הרב בלוי 7,38,2024,1100000,30106-51-6,דירה בבית,2,28947
16,אחינועם 11,76,2024,3600000,30099-63-2,דירה בבית,3,47368
17,אל-עשה 4,72,2024,4000000,30099-165-4,דירה בבית,4,55556
18,הרב בלוי 14,104,2024,1500000,30106-56-1,דירה בבית,4,14423
19,הרב בלוי 16,66,2024,500000,30099-115-15,דירה בבית,3,7576
20,הסנהדרין 6,89,2024,4300000,30106-84-5,דירה בבית,5,48315
22,מעגלי הרים לוין 136,95.45,2024,3790300,30244-124-3,דירה בבית,4,39710
23,אל-עשה 1,49,2024,1980000,30099-90-7,דירה בבית,2.5,40408
24,שאול המלך 47,37,2024,526000,30106-107-5,דירה בבית,2,14216
25,מעגלי הרים לוין 130,116,2024,832000,30244-114-125,דירה בבית,6,7172
26,הרב בלוי 14,101,2024,4100000,30106-56-10,דירה בבית,4,40594
28,אחינועם 10,65,2024,275000,30099-78-9,דירה בבית,3,4231
29,מעגלי הרים לוין 109,144,2024,6327200,30244-130-86,דירה בבית,5.5,43939
30,מעגלי הרים לוין 104,113,2024,4600000,30244-129-57,דירה בבית,5,40708
32,אחינועם 7,45,2024,102000,30099-73-1,דירה בבית,2,2267
33,מעגלי הרים לוין 134,118,2024,5000000,30244-126-42,דירה בבית,6,42373
34,האדמור מויז'ניץ 1,330,2023,3600000,30244-138-7,דירה בבית,9,10909
35,שאול המלך 47,58,2023,2670000,30106-107-4,דירה בבית,3,46034
36,אל-עשה 1,45,2023,283333,30099-90-6,דירה בבית,2,6296
39,אוריאל 7,100,2023,3680000,30106-59-1,דירה בבית,4,36800
40,הסנהדרין 4,119,2023,5356000,30106-80-14,דירה בבית,5,45008
41,מעגלי הרים לוין 127,72.6,2023,3100000,30244-114-66,דירה בבית,3,42700
43,האדמור מויז'ניץ 1,97,2023,387000,30244-138-9,דירה בבית,4,3990
46,אחינועם 18,45,2023,1800000,30099-93-9,דירה בבית,2,40000
48,אופירה 7,90,2023,3400000,30244-160-7,דירה בבית,4,37778
49,הראם 3,70,2023,2670000,30106-112-2,דירה בבית,3,38143
50,מעגלי הרים לוין 137,88.4,2023,3850000,30244-123-8,דירה בבית,4,43552
52,אל-עשה 3,60,2023,2730000,30099-95-2,דירה בבית,3,45500
53,מעגלי הרים לוין 108,54.8,2023,2266000,30244-130-83,דירה בבית,3,41350
55,מעגלי הרים לוין 124,72.6,2023,3400000,30244-114-9,דירה בבית,4,46832
58,ים סוף 105,73.2,2023,3900000,30244-129-85,דירה בבית,4,53279
59,מעגלי הרים לוין 125,61.5,2022,2760000,30244-114-35,דירה בבית,3,44878
60,אחינועם 16,61,2022,2460000,30099-94-8,דירה בבית,3,40328
62,אופירה 2,94,2022,3820000,30245-78-12,דירה בבית,5,40638
63,ים סוף 101,55.8,2022,2300000,30244-141-22,דירה בבית,3,41219
64,האדמור מויז'ניץ 1,91,2022,3600000,30244-138-10,דירה בבית,4,39560
65,מעגלי הרים לוין 115,138,2022,1697000,30244-134-6,דירה בבית,6,12297
66,ים סוף 105,93,2022,1301000,30244-129-75,דירה בבית,5,13989
67,שאול המלך 37,58,2022,1600000,30106-101-4,דירה בבית,3,27586
68,הראם 3,80,2022,3250000,30106-112-3,דירה בבית,3,40625
69,האדמור מויז'ניץ 1,140,2022,5361500,30244-138-6,דירה בבית,5,38296
70,אופירה 7,78,2022,3150000,30244-160-9,דירה בבית,3,40385
71,מעגלי הרים לוין 132,98,2022,3904000,30244-126-23,דירה בבית,4,39837
72,האדמור מגור 2,90,2022,3750000,30244-141-14,דירה בבית,5,41667
73,הרב בלוי 33,62,2022,2400000,30106-133-4,דירה בבית,3,38710
74,מעגלי הרים לוין 130,38,2022,1420000,30244-114-131,דירה בבית,2,37368
75,הרב בלוי 18,102.25,2022,2646400,30099-160-3,דירה בבית,5,25882
76,הרב בלוי 6,93,2022,3580000,30106-62-5,דירה בבית,5,38495
77,הרב בלוי 10,38,2022,1725000,30106-57-19,דירה בבית,2,45395
78,מעגלי הרים לוין 49,145,2022,4200000,30244-126-2,דירה בבית,6,28966
79,מעגלי הרים לוין 108,111,2022,3750000,30244-130-62,דירה בבית,5,33784
82,האדמור מויז'ניץ 114,54.8,2022,2835000,30244-135-46,דירה בבית,3,51734
83,אופירה 14,72,2022,2650000,30244-68-3,דירה בבית,3,36806
84,מעגלי הרים לוין 109,64.2,2022,2700000,30244-130-94,דירה בבית,3,42056
85,אופירה 8,87,2022,3142800,30244-72-14,דירה בבית,3,36124
86,אופירה 8,90,2022,3000000,30244-72-9,דירה בבית,3,33333
87,שאול המלך 12,72,2022,2750000,30106-46-2,דירה בבית,3,38194
88,הרב בלוי 16,78.1,2022,2325000,30099-115-9,דירה בבית,4,29770
89,הרב בלוי 12,91,2022,2350000,30106-57-62,דירה בבית,4,25824
90,האדמור מויז'ניץ 1,89,2022,3750000,30244-138-11,דירה בבית,4,42135
91,0,65,2022,1900000,30099-96-4,דירה בבית,2,29231
92,מעגלי הרים לוין 134,133,2022,3350000,30244-126-46,דירה בבית,5,25188
94,שאול המלך 7,92.5,2022,3190000,30106-72-4,דירה בבית,4,34486
95,הרב בלוי 10,40,2022,2070700,30106-57-21,דירה בבית,3,51768
96,מעגלי הרים לוין 104,127,2022,4300000,30244-129-19,דירה בבית,6,33858
98,מעגלי הרים לוין 135,70,2022,850000,30244-125-29,דירה בבית,4,12143
99,מעגלי הרים לוין 49,85,2022,2710000,30244-126-12,דירה בבית,4,31882
100,שמואל הנביא 110,58,2022,2200000,30106-68-4,דירה בבית,3,37931
102,שאול המלך 7,90.1,2021,2700000,30106-72-9,דירה בבית,4,29967
103,הרב בלוי 17,40,2021,1160000,30106-42-3,דירה בבית,2,29000
104,האדמור מויז'ניץ 114,69,2021,2675000,30244-135-28,דירה בבית,4,38768
105,מעגלי הרים לוין 127,43,2021,1600000,30244-114-67,דירה בבית,2,37209
106,הרב בלוי 10,100,2021,2795000,30106-57-40,דירה בבית,5,27950
108,מעגלי הרים לוין 126,105,2021,3000000,30244-114-44,דירה בבית,5,28571
110,שאול המלך 12,72,2021,2700000,30106-46-6,דירה בבית,3,37500
111,מיכל 4,71.2,2021,2130000,30099-76-2,דירה בבית,3,29916
112,0,66,2021,2400000,30106-48-6,דירה בבית,3,36364
