מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
551,חיים בג'יו 1,52.7,2020,2300000,30010-108-88,דירה בבית,2,43643
552,הלה 9,65,2020,2226000,30009-2-9,דירת,3.5,34246
553,הלה 7,68,2020,1800000,30009-153-7,דירה בבית,2,26471
554,הפלמח 3,49,2020,2049000,30023-98-4,דירה בבית,2,41816
555,רחל אימנו 33,25,2020,1400000,30009-111-1,דירה בבית,1,56000
556,כובשי קטמן 11,50,2020,1850000,30009-149-8,דירה בבית,2.5,37000
557,השיירות 26,66,2020,2960000,30006-12-14,דירה בבית,3,44848
558,רחל אימנו 35,191,2020,6840000,30009-160-1,דירת גן,5,35812
559,הפלמח 15,70,2020,2200000,30023-117-19,דירה בבית,3,31429
560,דוסתאי 7,24.15,2020,1270000,30005-214-4,דירה בבית,1,52588
561,אלי כהן 3,90,2020,2450000,30009-134-9,דירה בבית,4,27222
562,הפלמח 25,66.21,2020,1800000,30023-136-12,דירה בבית,3,27186
563,אבא חלקיה 8,72,2020,2340000,30005-56-6,דירה בבית,4,32500
564,בוסתנאי 32,50,2020,1350000,30007-161-38,דירה בבית,3,27000
566,יהושע בן גמלא 12,83,2020,2925000,30004-171-7,דירה בבית,4,35241
567,רחל אימנו 45,130,2020,4800000,30007-104-4,דירה בבית,4,36923
568,ברוריה 24,84,2020,2800000,30005-57-7,דירה בבית,3,33333
569,יורם 1,124,2020,2764000,30023-115-1,דירה בבית,5,22290
570,כובשי קטמן 22,50,2020,1860000,30007-163-8,דירה בבית,2,37200
571,מחלקי המים 8,232.9,2020,1600000,30007-262-1,דירה בבית,5,6870
572,רבי חלפתא 12,47,2020,2000000,30005-2-15,דירה בבית,3,42553
573,בית אשל 4,78,2020,2600000,30007-103-3,דירה בבית,3,33333
574,קליין 1,78,2020,2899000,30010-23-37,דירה בבית,3,37167
575,בוסתנאי 33,28.87,2020,1030000,30007-167-24,דירה בבית,2,35677
576,רבי מאיר 2,47.06,2020,2170000,30005-77-2,דירה בבית,3,46111
577,דוד אלרואי 5,98,2020,2450000,30009-146-30,דירה בבית,4,25000
578,דוד אלרואי 5,110,2020,2800000,30009-146-20,דירה בבית,4,25455
579,החים 4,161.6,2020,5900000,30006-144-4,דירה בבית,6,36510
580,השיירות 19,43,2020,1634000,30006-19-4,דירה בבית,2,38000
581,הפורצים 17,60,2020,1870000,30007-21-30,דירה בבית,3,31167
582,דוד אלרואי 5,98,2020,2625000,30009-145-3,דירה בבית,4,26786
583,רחל אימנו 26,43,2020,1780000,30009-93-4,דירה בבית,2,41395
584,הפלמח 15,44,2020,1710000,30023-117-13,דירה בבית,2,38864
585,מחלקי המים 7,63,2020,533000,30006-35-6,דירה בבית,2,8460
586,כט בנובמבר 22,67,2020,2609700,30009-23-5,דירה בבית,3,38951
